threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.3687293099057805,3340,7410,2896
0.001,0.42723902905655864,4073,7863,3573
0.01,0.5124594926807464,5173,8362,4586
0.05,0.59808,6223,8759,5607
0.1,0.64557489836339,6803,8983,6193
0.2,0.7135683541709367,7509,9212,6963
0.5,0.8411280610196709,8713,9632,8381
1.0,1.0,10042,10042,10042
