threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.2710292754007153,3176,6419,2046
0.001,0.34191720059142433,3917,6974,2775
0.01,0.43563570375411137,4961,7697,3841
0.05,0.5390238658353043,6030,8286,5014
0.1,0.5961518242035537,6619,8562,5670
0.2,0.6710932674490426,7345,8888,6519
0.5,0.8135252088155379,8585,9436,8084
1.0,1.0,10042,10042,10042
