threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5935324500336852,3920,3176,2643
0.001,0.6024682124158564,4653,3917,3222
0.01,0.618400976502899,5646,4961,4053
0.05,0.6481240229286086,6621,6030,4975
0.1,0.6747720364741642,7156,6619,5550
0.2,0.7082583258325833,7838,7345,6295
0.5,0.810757591460255,8887,8585,7823
1.0,1.0,10042,10042,10042
