Method,Real->Syn,Syn->Real
ComBat,0.7659412544919852,0.0
GANomics_baseline,0.7293387726163314,0.7324964323559716
QN,0.631856331963544,0.5493156516841525
TDM,0.6813258950711154,0.0894307957887208
YuGene,0.1521807656042794,0.0
