threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5771340794382269,3968,3219,2630
0.001,0.584027526258602,4741,4006,3225
0.01,0.60990803915752,5756,5098,4112
0.05,0.6472838561591431,6768,6150,5076
0.1,0.6691246431969553,7317,6717,5626
0.2,0.713617116113216,7945,7433,6404
0.5,0.8100587447181284,8922,8641,7860
1.0,1.0,10042,10042,10042
