threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.3019210799584631,3219,1796,1163
0.001,0.3142917816946273,4006,2183,1480
0.01,0.33665372277562045,5098,2819,1994
0.05,0.36578129415089006,6150,3517,2589
0.1,0.40417801998183467,6717,4105,3115
0.2,0.481995763709108,7433,5161,4096
0.5,0.7363112391930836,8641,8229,7154
1.0,1.0,10042,10042,10042
