threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5780803865583132,3968,3217,2632
0.001,0.5854234823700473,4741,3982,3221
0.01,0.6089153046062407,5756,5072,4098
0.05,0.6471339205923656,6768,6134,5069
0.1,0.668015230842456,7317,6701,5614
0.2,0.711866295264624,7945,7419,6389
0.5,0.8091311965371535,8922,8632,7851
1.0,1.0,10042,10042,10042
