threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5847240051347882,4100,3307,2733
0.001,0.5933535822762194,4847,4071,3321
0.01,0.6135528443333823,5847,5130,4174
0.05,0.6466498103666245,6834,6191,5115
0.1,0.6749555950266429,7383,6762,5700
0.2,0.7194156351065016,7975,7443,6451
0.5,0.8166443229864907,8969,8647,7919
1.0,1.0,10042,10042,10042
