threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5849743150684932,4108,3297,2733
0.001,0.5924731182795699,4839,4047,3306
0.01,0.6135422826729746,5816,5098,4150
0.05,0.6513901231433287,6856,6152,5131
0.1,0.6766694342308148,7389,6747,5705
0.2,0.7164545657512837,7954,7422,6418
0.5,0.8152689058314445,8967,8652,7913
1.0,1.0,10042,10042,10042
