set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
DNA replication,1.1281389261009316,1.0,0.5861499755037592,68.0
Ribosome,0.9500119984375548,2.0,0.5379242090131638,173.0
RNA polymerase,0.9342305930646548,3.0,0.6188104285060015,32.0
One carbon pool by folate,0.9268733977644412,4.0,0.5262892593764168,201.0
Homologous recombination,0.9222086359294128,5.0,0.6676811762571782,13.0
Base excision repair,0.9188179032088473,6.0,0.5990200161608864,47.0
Steroid biosynthesis,0.8194186264040456,7.0,0.8418458579966573,1.0
Fanconi anemia pathway,0.8115138196933975,8.0,0.6080669214491302,37.0
Ribosome biogenesis in eukaryotes,0.7991967375846434,9.0,0.5013658834589231,246.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.7798108716185242,10.0,0.6434279774001365,21.0
RNA transport,0.7701283059945385,11.0,0.5458602735822788,154.0
Cell cycle,0.7627858964197715,12.0,0.5908795038102699,60.0
Mismatch repair,0.7348343433539223,13.0,0.5795119007026303,76.0
Spliceosome,0.733165077637791,14.0,0.488512318966177,264.0
Pyrimidine metabolism,0.7254529709311935,15.0,0.49932429728128763,252.0
mRNA surveillance pathway,0.7218535334965032,16.0,0.6060400275976535,39.0
Bladder cancer,0.7139270425474128,17.0,0.6511912218693225,17.0
Synthesis and degradation of ketone bodies,0.7076005608687005,18.0,0.40502577462690714,307.0
Nucleotide excision repair,0.7071828308031888,19.0,0.3459453798826127,315.0
Aminoacyl-tRNA biosynthesis,0.6940339012382615,20.0,0.5351830071355694,178.0
Oocyte meiosis,0.6868875663478766,21.0,0.600354875570194,45.0
Progesterone-mediated oocyte maturation,0.6599559983733704,22.0,0.5124156265863071,228.0
Vasopressin-regulated water reabsorption,0.6544120169929907,23.0,0.5126748002325208,227.0
RNA degradation,0.6478033736451327,24.0,0.5316702190397089,185.0
Pentose phosphate pathway,0.6339406380736579,25.0,0.5593209949195552,122.0
Fructose and mannose metabolism,0.6166648889559314,26.0,0.5150208097327312,221.0
Oxidative phosphorylation,0.6145218287194095,27.0,0.5474592218330934,149.0
Amyotrophic lateral sclerosis,0.6139810769577343,28.0,0.5149325945356751,222.0
Parkinson disease,0.6125589947517953,29.0,0.5793975716096028,77.0
Non-small cell lung cancer,0.6112001759497013,30.0,0.5741572306281468,87.0
Cellular senescence,0.6032754738069346,31.0,0.6866237075365687,9.0
Protein export,0.6029763933698694,32.0,0.5941145943469742,55.0
Butanoate metabolism,0.5989881350418549,33.0,0.5964824335721742,51.0
Thyroid cancer,0.5985790299556009,34.0,0.536438184525335,176.0
Small cell lung cancer,0.597073710505265,35.0,0.6220637008120705,29.0
Huntington disease,0.5906487657125249,36.0,0.552738999897306,134.0
Amino sugar and nucleotide sugar metabolism,0.5851210745209386,37.0,0.5964880445034255,50.0
Epithelial cell signaling in Helicobacter pylori infection,0.5810948212934096,38.0,0.48065941370458076,268.0
p53 signaling pathway,0.5758025357944889,39.0,0.5647847755346663,110.0
Mitophagy,0.5736331381569133,40.0,0.5912300853257499,58.0
Pancreatic cancer,0.5727332796972124,41.0,0.6719038027800869,12.0
Human T-cell leukemia virus 1 infection,0.5717616602300187,42.0,0.5567647958350737,128.0
Glutathione metabolism,0.5696827642196661,43.0,0.5649832487767639,108.0
Diabetic cardiomyopathy,0.5689085235512623,44.0,0.5451482778215436,157.0
Non-homologous end-joining,0.567942823438816,45.0,0.5071764710199116,243.0
Basal transcription factors,0.563556285334135,46.0,0.43808396899212,297.0
Apoptosis,0.5569009329397215,47.0,0.5718475449485148,91.0
Lysine degradation,0.555087799511314,48.0,0.5434498968481378,161.0
Glioma,0.5529146237204884,49.0,0.696934449440057,7.0
Chronic myeloid leukemia,0.5480498971535352,50.0,0.5829198911003749,71.0
"Valine, leucine and isoleucine degradation",0.5479500704570618,51.0,0.597760863690213,48.0
Non-alcoholic fatty liver disease,0.5456310334939412,52.0,0.5300626580160006,189.0
Endocytosis,0.5456229472606859,53.0,0.5803629243121057,74.0
Collecting duct acid secretion,0.5447295311046129,54.0,0.45121806142899384,284.0
Melanoma,0.5446445162419449,55.0,0.684575606115544,10.0
Thermogenesis,0.5431013844895041,56.0,0.5468703233657015,152.0
Proteasome,0.5412219417984266,57.0,0.4644110383280516,278.0
Prostate cancer,0.5321822144528416,58.0,0.5610381979023942,117.0
Pantothenate and CoA biosynthesis,0.5314845852342638,59.0,0.7997032990554436,2.0
Ubiquitin mediated proteolysis,0.529882335062972,60.0,0.5170347290485441,214.0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.5271397167676338,61.0,0.655752020012249,15.0
AMPK signaling pathway,0.5266525769414789,62.0,0.5108308334207209,233.0
Prion disease,0.5262716152500005,63.0,0.5244574453341035,206.0
Vitamin digestion and absorption,0.525969794337003,64.0,0.44307634012626146,294.0
VEGF signaling pathway,0.5223264680065915,65.0,0.5482628238491345,148.0
Salmonella infection,0.5219795545473966,66.0,0.5196701014508964,210.0
Synaptic vesicle cycle,0.5209181152305866,67.0,0.5089443773213056,239.0
Phagosome,0.5197915652241162,68.0,0.49825650858362186,254.0
Purine metabolism,0.5195377677106734,69.0,0.5327150446648674,182.0
Pathways of neurodegeneration,0.5161510200845622,70.0,0.5603851503262129,119.0
Hepatitis B,0.5157607877143078,71.0,0.5347471918825051,179.0
Vibrio cholerae infection,0.5150476612239022,72.0,0.5508298346135599,140.0
Retrograde endocannabinoid signaling,0.5140520249425066,73.0,0.5363421479470923,177.0
Cardiac muscle contraction,0.5138954148301556,74.0,0.526401817515643,200.0
Sulfur relay system,0.5132665682527955,75.0,0.7621072168126304,4.0
Choline metabolism in cancer,0.511930020236721,76.0,0.6337350651500774,24.0
