set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
DNA replication,1.1281389261009316,1.0,1.237504255681789,1.0
Ribosome,0.9500119984375548,2.0,1.2026764342351999,2.0
RNA polymerase,0.9342305930646548,3.0,1.0882799459638945,3.0
One carbon pool by folate,0.9268733977644412,4.0,1.048299055596673,5.0
Homologous recombination,0.9222086359294128,5.0,1.0699029320238,4.0
Base excision repair,0.9188179032088473,6.0,1.0384330142631606,6.0
Steroid biosynthesis,0.8194186264040456,7.0,0.9917208356994747,7.0
Fanconi anemia pathway,0.8115138196933975,8.0,0.8783163952420763,12.0
Ribosome biogenesis in eukaryotes,0.7991967375846434,9.0,0.9625411862282345,8.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.7798108716185242,10.0,0.7296069510350505,38.0
RNA transport,0.7701283059945385,11.0,0.9351356486887038,10.0
Cell cycle,0.7627858964197715,12.0,0.8720227641303849,14.0
Mismatch repair,0.7348343433539223,13.0,0.8362008042994762,16.0
Spliceosome,0.733165077637791,14.0,0.932967709324977,11.0
Pyrimidine metabolism,0.7254529709311935,15.0,0.7378366425792857,34.0
mRNA surveillance pathway,0.7218535334965032,16.0,0.8405528822475936,15.0
Bladder cancer,0.7139270425474128,17.0,0.8024170835816397,21.0
Synthesis and degradation of ketone bodies,0.7076005608687005,18.0,0.4911460186930709,197.0
Nucleotide excision repair,0.7071828308031888,19.0,0.7772540012054862,26.0
Aminoacyl-tRNA biosynthesis,0.6940339012382615,20.0,0.8067416248114627,20.0
Oocyte meiosis,0.6868875663478766,21.0,0.7567139722214407,29.0
Progesterone-mediated oocyte maturation,0.6599559983733704,22.0,0.7274312559247417,39.0
Vasopressin-regulated water reabsorption,0.6544120169929907,23.0,0.5904745483387522,87.0
RNA degradation,0.6478033736451327,24.0,0.7720778744404908,27.0
Pentose phosphate pathway,0.6339406380736579,25.0,0.7475381355106822,32.0
Fructose and mannose metabolism,0.6166648889559314,26.0,0.7320459638776267,35.0
Oxidative phosphorylation,0.6145218287194095,27.0,0.873735532361059,13.0
Amyotrophic lateral sclerosis,0.6139810769577343,28.0,0.7877760492109178,23.0
Parkinson disease,0.6125589947517953,29.0,0.833937833536843,17.0
Non-small cell lung cancer,0.6112001759497013,30.0,0.7449135921387151,33.0
Cellular senescence,0.6032754738069346,31.0,0.6620849766020986,54.0
Protein export,0.6029763933698694,32.0,0.9420673948262888,9.0
Butanoate metabolism,0.5989881350418549,33.0,0.6026819610324347,76.0
Thyroid cancer,0.5985790299556009,34.0,0.7839423801023645,24.0
Small cell lung cancer,0.597073710505265,35.0,0.636952193789584,64.0
Huntington disease,0.5906487657125249,36.0,0.8005180504702316,22.0
Amino sugar and nucleotide sugar metabolism,0.5851210745209386,37.0,0.6920851954990023,49.0
Epithelial cell signaling in Helicobacter pylori infection,0.5810948212934096,38.0,0.6439089561313105,59.0
p53 signaling pathway,0.5758025357944889,39.0,0.6767083307692734,51.0
Mitophagy,0.5736331381569133,40.0,0.6271189643784876,68.0
Pancreatic cancer,0.5727332796972124,41.0,0.7112815429540721,44.0
Human T-cell leukemia virus 1 infection,0.5717616602300187,42.0,0.6403744213036467,62.0
Glutathione metabolism,0.5696827642196661,43.0,0.6984542690080487,46.0
Diabetic cardiomyopathy,0.5689085235512623,44.0,0.7827351263269958,25.0
Non-homologous end-joining,0.567942823438816,45.0,0.8236522090263032,18.0
