set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
positive regulation of establishment of protein localization to telomere (GO:1904851),1.088091769706449,66.0,1.7113700502249451,8.0
regulation of establishment of protein localization to telomere (GO:0070203),1.088091769706449,66.0,1.7113700502249451,8.0
regulation of protein localization to Cajal body (GO:1904869),1.088091769706449,66.0,1.7113700502249451,8.0
positive regulation of protein localization to Cajal body (GO:1904871),1.088091769706449,66.0,1.7113700502249451,8.0
"positive regulation of protein localization to chromosome, telomeric region (GO:1904816)",1.088091769706449,66.0,1.7113700502249451,8.0
regulation of sister chromatid cohesion (GO:0007063),1.0815206304558518,69.0,1.3428751061140458,35.0
protein localization to microtubule cytoskeleton (GO:0072698),1.0735270318991295,70.0,1.2877709984218422,45.0
regulation of spindle organization (GO:0090224),1.062697793474376,71.0,1.1014887771248743,121.0
pyrimidine-containing compound metabolic process (GO:0072527),1.0546908911554282,72.0,1.0730620628264962,147.0
DNA replication-dependent nucleosome organization (GO:0034723),1.0522634918689204,73.5,1.2778237501064382,49.5
DNA replication-dependent nucleosome assembly (GO:0006335),1.0522634918689204,73.5,1.2778237501064382,49.5
mitochondrial calcium ion transmembrane transport (GO:0006851),1.050048053130544,75.0,1.2960508246453446,43.0
rRNA modification (GO:0000154),1.0464686662477318,76.0,1.2863167515926237,46.0
mitochondrial gene expression (GO:0140053),1.03993788981661,77.0,1.1435219833008046,94.0
serine transport (GO:0032329),1.0388958641362827,78.0,1.0858506853925363,132.0
cerebral cortex neuron differentiation (GO:0021895),1.0355862616441998,79.0,1.2136426105037716,71.0
pyrimidine-containing compound biosynthetic process (GO:0072528),1.0327944317026738,80.0,1.011840505868925,203.0
negative regulation of microtubule depolymerization (GO:0007026),1.0310309299222589,81.0,1.052203700338896,165.0
positive regulation of neuron migration (GO:2001224),1.0263272243168926,82.0,1.150500053146372,91.0
termination of RNA polymerase II transcription (GO:0006369),1.0250520767529103,83.0,1.1111090528125622,117.0
negative regulation of DNA-dependent DNA replication (GO:2000104),1.025014055344,84.0,1.172386960975769,83.0
regulation of mitotic sister chromatid separation (GO:0010965),1.0234377219012454,85.0,1.033828888825861,181.0
protein import into mitochondrial matrix (GO:0030150),1.021359704439289,86.0,1.1421830460289875,95.0
carnitine transport (GO:0015879),1.0180939231473265,87.0,0.8953189539595799,381.0
enzyme-directed rRNA pseudouridine synthesis (GO:0000455),1.017137802096476,88.5,1.425700840439551,25.5
rRNA pseudouridine synthesis (GO:0031118),1.017137802096476,88.5,1.425700840439551,25.5
DNA ligation (GO:0006266),1.0106083681345235,90.0,1.1767970206777068,81.0
chromosome condensation (GO:0030261),1.0084912847831808,91.0,1.1366255247315942,99.0
regulation of DNA-dependent DNA replication (GO:0090329),1.0043813209964803,92.0,1.0857748165070513,133.0
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015),1.0034912047783484,93.5,0.7510306625086646,802.5
5-phosphoribose 1-diphosphate metabolic process (GO:0046391),1.0034912047783484,93.5,0.7510306625086646,802.5
protein K29-linked ubiquitination (GO:0035519),1.0004443029303844,95.0,1.073110634075254,146.0
mitotic DNA integrity checkpoint signaling (GO:0044774),0.9888142076271573,96.0,1.1127622840101064,115.0
G-quadruplex DNA unwinding (GO:0044806),0.9871200436807026,97.0,1.2143157983084236,68.0
spliceosomal snRNP assembly (GO:0000387),0.9841136902787679,98.0,1.0828539876191312,134.0
V(D)J recombination (GO:0033151),0.9826216315736976,99.0,1.1014036892272214,122.0
nephron tubule development (GO:0072080),0.982573942226828,100.0,0.9582304397435499,268.0
mitotic chromosome condensation (GO:0007076),0.9783125065499746,101.0,1.0010902269360065,216.0
negative regulation of telomere maintenance via telomere lengthening (GO:1904357),0.9779356949114815,102.0,0.9337240878847786,306.0
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166),0.9717883325370255,103.0,1.2644728984085107,57.0
pyrimidine nucleoside biosynthetic process (GO:0046134),0.9693600864247506,104.0,0.9211854312239038,328.0
telomeric loop disassembly (GO:0090657),0.9691166182898376,105.0,0.9815103218662478,232.0
microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.9669547706877122,106.0,1.078241049595172,137.0
stress-activated protein kinase signaling cascade (GO:0031098),0.966166707961259,107.0,1.006608373814284,210.0
positive regulation of DNA-directed DNA polymerase activity (GO:1900264),0.9656416696522706,108.5,1.2137817588085473,69.5
regulation of DNA-directed DNA polymerase activity (GO:1900262),0.9656416696522706,108.5,1.2137817588085473,69.5
histone phosphorylation (GO:0016572),0.9646079854586642,110.0,1.1332325064619706,101.0
histone exchange (GO:0043486),0.9640879305298053,111.0,0.9991481117280823,217.0
microtubule depolymerization (GO:0007019),0.9629787541208467,112.0,1.0104598534141849,207.0
mitochondrial translational termination (GO:0070126),0.9540108854681605,113.0,1.1636765693268643,86.0
regulation of protein kinase A signaling (GO:0010738),0.9487142046864293,114.0,0.8840329156187097,415.0
histone-serine phosphorylation (GO:0035404),0.9480235680591244,115.0,0.860594500084123,468.0
attachment of mitotic spindle microtubules to kinetochore (GO:0051315),0.9476250141166839,116.0,1.1316066499223536,102.0
positive regulation of viral transcription (GO:0050434),0.9474147290035978,117.0,1.194685265753833,78.0
regulation of vesicle fusion (GO:0031338),0.9444237717270291,118.0,0.8766126913052257,430.0
leucine catabolic process (GO:0006552),0.9421549638560955,119.5,0.957995551456662,269.5
leucine metabolic process (GO:0006551),0.9421549638560955,119.5,0.957995551456662,269.5
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",0.9380222458760141,121.0,1.1482339011911755,93.0
mitotic spindle organization (GO:0007052),0.9370502753860794,122.0,1.062355376531983,154.0
lysosomal microautophagy (GO:0016237),0.9347654372152966,123.5,0.9917399526722442,224.5
piecemeal microautophagy of the nucleus (GO:0034727),0.9347654372152966,123.5,0.9917399526722442,224.5
mitochondrial translational elongation (GO:0070125),0.9337406347646179,125.0,1.1550475556597708,90.0
establishment of protein localization to mitochondrion (GO:0072655),0.9311043028509214,126.0,1.008571610336226,209.0
membrane biogenesis (GO:0044091),0.9303788090570259,127.0,1.0239884852624852,191.0
translational termination (GO:0006415),0.929978288767707,128.0,1.156951650365725,87.0
negative regulation of chromosome organization (GO:2001251),0.929202151661703,129.0,0.7668219868752986,750.0
GDP-mannose metabolic process (GO:0019673),0.9249434250728479,130.0,0.9574921131820537,273.0
dopamine transport (GO:0015872),0.9238528969570274,131.0,0.9620740254722333,261.0
nucleotide biosynthetic process (GO:0009165),0.9221875199573107,132.0,0.9453875224291107,293.0
mitochondrial RNA processing (GO:0000963),0.9215339373120601,133.0,1.0253169741238757,189.0
regulation of protein K63-linked ubiquitination (GO:1900044),0.9214692525461867,134.0,0.9124464034800248,347.0
translational elongation (GO:0006414),0.921066153593655,135.0,1.1398153047536241,96.0
regulation of DNA recombination at telomere (GO:0072695),0.9206445851037679,136.5,1.1214601578482204,107.5
negative regulation of DNA recombination at telomere (GO:0048239),0.9206445851037679,136.5,1.1214601578482204,107.5
DNA alkylation (GO:0006305),0.9205446906989622,138.5,1.047035057650684,170.5
DNA methylation or demethylation (GO:0044728),0.9205446906989622,138.5,1.047035057650684,170.5
negative regulation of chemokine-mediated signaling pathway (GO:0070100),0.9197151504231235,140.0,0.9105545655250077,351.0
maturation of SSU-rRNA (GO:0030490),0.9186329151600148,141.0,1.061706618564191,155.0
monoamine transport (GO:0015844),0.9166260814773035,142.0,1.0174719799697438,194.0
negative regulation of cellular respiration (GO:1901856),0.9138447172903802,143.0,0.8025756379825535,622.0
organic cation transport (GO:0015695),0.9122539097730602,144.0,0.8483394933642442,494.0
protein localization to presynapse (GO:1905383),0.9095851155837384,146.0,1.0713600768529972,149.0
axo-dendritic protein transport (GO:0099640),0.9095851155837384,146.0,1.0713600768529972,149.0
anterograde axonal protein transport (GO:0099641),0.9095851155837384,146.0,1.0713600768529972,149.0
regulation of cytochrome-c oxidase activity (GO:1904959),0.9081818609158887,148.0,1.1379024267295488,98.0
