set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
DNA replication,1.1281389261009316,1.0,1.0479853241779247,1.0
Ribosome,0.9500119984375548,2.0,0.8954133444769923,3.0
RNA polymerase,0.9342305930646548,3.0,0.9006145537768899,2.0
One carbon pool by folate,0.9268733977644412,4.0,0.8825404016297684,4.0
Homologous recombination,0.9222086359294128,5.0,0.8549601600201001,5.0
Base excision repair,0.9188179032088473,6.0,0.8371499751089794,6.0
Steroid biosynthesis,0.8194186264040456,7.0,0.8096073211946113,7.0
Fanconi anemia pathway,0.8115138196933975,8.0,0.7721357478108918,9.0
Ribosome biogenesis in eukaryotes,0.7991967375846434,9.0,0.7723548790347424,8.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.7798108716185242,10.0,0.7414818628112833,10.0
RNA transport,0.7701283059945385,11.0,0.712489300615442,13.0
Cell cycle,0.7627858964197715,12.0,0.7237350178981754,11.0
Mismatch repair,0.7348343433539223,13.0,0.6900695185867431,17.0
Spliceosome,0.733165077637791,14.0,0.6821642861115738,19.0
Pyrimidine metabolism,0.7254529709311935,15.0,0.7207498910310499,12.0
mRNA surveillance pathway,0.7218535334965032,16.0,0.664098106789347,20.0
Bladder cancer,0.7139270425474128,17.0,0.6949290068169142,15.0
Synthesis and degradation of ketone bodies,0.7076005608687005,18.0,0.7080106894455673,14.0
Nucleotide excision repair,0.7071828308031888,19.0,0.6575653830865179,21.0
Aminoacyl-tRNA biosynthesis,0.6940339012382615,20.0,0.6286613924220489,24.0
Oocyte meiosis,0.6868875663478766,21.0,0.6920323931659347,16.0
Progesterone-mediated oocyte maturation,0.6599559983733704,22.0,0.6566076109782474,23.0
Vasopressin-regulated water reabsorption,0.6544120169929907,23.0,0.6830608528029349,18.0
RNA degradation,0.6478033736451327,24.0,0.6091744273468468,27.0
Pentose phosphate pathway,0.6339406380736579,25.0,0.6016502106284806,29.0
Fructose and mannose metabolism,0.6166648889559314,26.0,0.5920432868814025,37.0
Oxidative phosphorylation,0.6145218287194095,27.0,0.5959723906244621,32.0
Amyotrophic lateral sclerosis,0.6139810769577343,28.0,0.598877260358277,30.0
Parkinson disease,0.6125589947517953,29.0,0.5923587755039491,35.0
Non-small cell lung cancer,0.6112001759497013,30.0,0.5922040042390889,36.0
Cellular senescence,0.6032754738069346,31.0,0.5947056355776085,33.0
Protein export,0.6029763933698694,32.0,0.6567761860676624,22.0
Butanoate metabolism,0.5989881350418549,33.0,0.6160986686075949,25.0
Thyroid cancer,0.5985790299556009,34.0,0.6084931453525205,28.0
Small cell lung cancer,0.597073710505265,35.0,0.5937416427957037,34.0
Huntington disease,0.5906487657125249,36.0,0.5681484349734965,42.0
Amino sugar and nucleotide sugar metabolism,0.5851210745209386,37.0,0.5982431226651753,31.0
Epithelial cell signaling in Helicobacter pylori infection,0.5810948212934096,38.0,0.6094349631983778,26.0
p53 signaling pathway,0.5758025357944889,39.0,0.5537355642019274,47.0
Mitophagy,0.5736331381569133,40.0,0.5916566253826347,38.0
Pancreatic cancer,0.5727332796972124,41.0,0.5572646453982696,45.0
Human T-cell leukemia virus 1 infection,0.5717616602300187,42.0,0.5793952961092753,40.0
Glutathione metabolism,0.5696827642196661,43.0,0.5519832009549792,51.0
Diabetic cardiomyopathy,0.5689085235512623,44.0,0.5497224487142963,52.0
Non-homologous end-joining,0.567942823438816,45.0,0.5354349465300338,57.0
Basal transcription factors,0.563556285334135,46.0,0.5384251793247631,55.0
Apoptosis,0.5569009329397215,47.0,0.5810933469253939,39.0
Lysine degradation,0.555087799511314,48.0,0.5659583570808217,44.0
Glioma,0.5529146237204884,49.0,0.5495459277749319,53.0
Chronic myeloid leukemia,0.5480498971535352,50.0,0.5407836089593354,54.0
"Valine, leucine and isoleucine degradation",0.5479500704570618,51.0,0.5679245650335415,43.0
Non-alcoholic fatty liver disease,0.5456310334939412,52.0,0.5324615860569606,59.0
Endocytosis,0.5456229472606859,53.0,0.5570254241456642,46.0
Collecting duct acid secretion,0.5447295311046129,54.0,0.5734217069928245,41.0
Melanoma,0.5446445162419449,55.0,0.5188290077469118,64.0
Thermogenesis,0.5431013844895041,56.0,0.5204601304299068,61.0
Proteasome,0.5412219417984266,57.0,0.4963977389735019,83.0
Prostate cancer,0.5321822144528416,58.0,0.5122070751333553,68.0
