set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
"DNA replication, synthesis of RNA primer (GO:0006269)",1.6456276667370193,1.0,1.5516688530602225,1.0
nucleobase biosynthetic process (GO:0046112),1.5636162358288914,2.0,1.5046934924751463,2.0
nuclear RNA surveillance (GO:0071027),1.495544722218115,3.0,1.4510903702054827,3.0
DNA strand elongation involved in DNA replication (GO:0006271),1.4605985646186153,4.0,1.3630325390368407,6.0
purine nucleoside monophosphate biosynthetic process (GO:0009127),1.442363573111268,5.5,1.4066368629334836,4.5
ribonucleoside monophosphate biosynthetic process (GO:0009156),1.442363573111268,5.5,1.4066368629334836,4.5
mitotic DNA replication (GO:1902969),1.4423632745933583,7.0,1.3450812769926233,7.0
sno(s)RNA 3'-end processing (GO:0031126),1.3889771717599926,8.0,1.3172151150839497,9.0
rRNA 3'-end processing (GO:0031125),1.3882310102460886,9.0,1.3135647937345238,10.0
ribose phosphate metabolic process (GO:0019693),1.3740126178315903,10.0,1.3325606563867405,8.0
U4 snRNA 3'-end processing (GO:0034475),1.3633080526369585,11.0,1.3071495245847857,11.0
DNA strand elongation (GO:0022616),1.3038816856917916,12.0,1.2147437842671875,14.0
establishment of protein localization to chromosome (GO:0070199),1.294390314464057,13.0,1.2447661383746844,12.0
chromatin remodeling at centromere (GO:0031055),1.2480644791218425,14.0,1.10040023427941,29.0
centromere complex assembly (GO:0034508),1.2206505171986082,15.0,1.0845306030462856,38.0
telomeric D-loop disassembly (GO:0061820),1.219785378668042,16.0,1.105899722972248,26.0
CENP-A containing chromatin organization (GO:0061641),1.2197433181895363,17.5,1.0721278806236525,42.5
CENP-A containing nucleosome assembly (GO:0034080),1.2197433181895363,17.5,1.0721278806236525,42.5
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),1.2191113489840457,19.0,1.1297014692226677,18.0
nucleocytoplasmic transport (GO:0006913),1.215153405494956,20.0,1.1527926158379045,17.0
