threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.584407352630467,4149,3350,2766
0.001,0.5934513274336283,4888,4115,3353
0.01,0.6146348559790515,5895,5204,4225
0.05,0.6553068410462777,6924,6239,5211
0.1,0.6812330223219558,7435,6800,5768
0.2,0.721475391623153,8007,7488,6494
0.5,0.8166941128036229,8957,8694,7935
1.0,1.0,10042,10042,10042
