threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5746830002149151,4049,3278,2674
0.001,0.5850267379679145,4818,4074,3282
0.01,0.6099985382254056,5810,5204,4173
0.05,0.6497062132766596,6897,6299,5197
0.1,0.6777239995278007,7370,6842,5741
0.2,0.7203512281871735,7975,7503,6481
0.5,0.8188644311869986,8965,8718,7961
1.0,1.0,10042,10042,10042
