================ Training Loss (Sat Mar  7 12:56:49 2026) ================
(epoch: 5, iters: 40, time: 0.008, data: 0.001) G_A: 0.342 G_B: 7.968 D_A: 0.655 D_B: 2.592 cycle_A: 20.157 cycle_B: 12.330 feedback_A: 7.780 feedback_B: 7.593 idt_A: 5.782 idt_B: 8.423 
(epoch: 6, iters: 0, time: 0.008, data: 0.001) G_A: 4.571 G_B: 0.081 D_A: 6.160 D_B: 3.077 cycle_A: 14.000 cycle_B: 9.862 feedback_A: 7.705 feedback_B: 7.395 idt_A: 5.628 idt_B: 6.492 
(epoch: 6, iters: 10, time: 0.008, data: 0.001) G_A: 0.021 G_B: 1.145 D_A: 1.355 D_B: 3.478 cycle_A: 11.809 cycle_B: 11.906 feedback_A: 7.291 feedback_B: 7.267 idt_A: 5.252 idt_B: 6.587 
(epoch: 6, iters: 20, time: 0.008, data: 0.001) G_A: 8.307 G_B: 9.337 D_A: 3.930 D_B: 2.627 cycle_A: 14.847 cycle_B: 14.777 feedback_A: 7.852 feedback_B: 7.366 idt_A: 6.554 idt_B: 7.869 
(epoch: 6, iters: 30, time: 0.008, data: 0.001) G_A: 0.000 G_B: 0.169 D_A: 4.269 D_B: 1.739 cycle_A: 14.344 cycle_B: 14.302 feedback_A: 8.003 feedback_B: 7.170 idt_A: 6.408 idt_B: 6.047 
(epoch: 6, iters: 40, time: 0.009, data: 0.001) G_A: 0.002 G_B: 7.341 D_A: 3.703 D_B: 1.625 cycle_A: 13.735 cycle_B: 14.557 feedback_A: 7.710 feedback_B: 7.278 idt_A: 5.668 idt_B: 6.512 
(epoch: 7, iters: 0, time: 0.008, data: 0.001) G_A: 0.898 G_B: 0.096 D_A: 2.722 D_B: 0.302 cycle_A: 14.554 cycle_B: 10.074 feedback_A: 7.674 feedback_B: 7.383 idt_A: 5.515 idt_B: 7.288 
(epoch: 7, iters: 10, time: 0.008, data: 0.001) G_A: 3.925 G_B: 0.002 D_A: 1.040 D_B: 0.632 cycle_A: 17.880 cycle_B: 18.135 feedback_A: 7.381 feedback_B: 6.868 idt_A: 5.803 idt_B: 6.576 
(epoch: 7, iters: 20, time: 0.008, data: 0.001) G_A: 4.468 G_B: 0.512 D_A: 2.305 D_B: 21.957 cycle_A: 22.659 cycle_B: 10.055 feedback_A: 7.669 feedback_B: 7.010 idt_A: 5.727 idt_B: 6.727 
(epoch: 7, iters: 30, time: 0.008, data: 0.001) G_A: 188.817 G_B: 0.570 D_A: 96.228 D_B: 10.024 cycle_A: 33.060 cycle_B: 17.203 feedback_A: 7.318 feedback_B: 7.626 idt_A: 8.844 idt_B: 7.153 
(epoch: 7, iters: 40, time: 0.008, data: 0.001) G_A: 222.124 G_B: 147.277 D_A: 98.541 D_B: 90.845 cycle_A: 40.243 cycle_B: 35.536 feedback_A: 8.152 feedback_B: 8.301 idt_A: 14.281 idt_B: 14.123 
(epoch: 8, iters: 0, time: 0.008, data: 0.001) G_A: 179.174 G_B: 0.007 D_A: 79.506 D_B: 9.399 cycle_A: 33.140 cycle_B: 17.713 feedback_A: 8.281 feedback_B: 6.928 idt_A: 11.801 idt_B: 9.504 
(epoch: 8, iters: 10, time: 0.008, data: 0.001) G_A: 98.915 G_B: 0.004 D_A: 40.013 D_B: 1.769 cycle_A: 34.175 cycle_B: 20.005 feedback_A: 7.587 feedback_B: 8.308 idt_A: 11.203 idt_B: 10.468 
(epoch: 8, iters: 20, time: 0.008, data: 0.001) G_A: 0.850 G_B: 1.690 D_A: 0.034 D_B: 0.191 cycle_A: 22.481 cycle_B: 13.200 feedback_A: 7.904 feedback_B: 7.361 idt_A: 8.092 idt_B: 6.521 
(epoch: 8, iters: 30, time: 0.008, data: 0.001) G_A: 0.021 G_B: 0.448 D_A: 0.434 D_B: 0.105 cycle_A: 13.431 cycle_B: 11.088 feedback_A: 7.784 feedback_B: 6.182 idt_A: 6.195 idt_B: 6.558 
(epoch: 8, iters: 40, time: 0.008, data: 0.001) G_A: 0.011 G_B: 0.516 D_A: 0.617 D_B: 0.079 cycle_A: 10.996 cycle_B: 13.446 feedback_A: 7.781 feedback_B: 5.904 idt_A: 4.703 idt_B: 5.872 
(epoch: 9, iters: 0, time: 0.008, data: 0.001) G_A: 0.152 G_B: 0.311 D_A: 0.196 D_B: 1.769 cycle_A: 12.928 cycle_B: 10.768 feedback_A: 7.667 feedback_B: 5.676 idt_A: 4.482 idt_B: 5.386 
(epoch: 9, iters: 10, time: 0.008, data: 0.001) G_A: 0.015 G_B: 0.585 D_A: 0.640 D_B: 0.067 cycle_A: 13.354 cycle_B: 10.293 feedback_A: 7.546 feedback_B: 5.689 idt_A: 4.500 idt_B: 5.796 
