================ Training Loss (Sat Mar  7 14:38:49 2026) ================
(epoch: 1, iters: 0, time: 0.378, data: 0.006) G_A: 0.165 G_B: 0.000 D_A: 0.295 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 17.500 idt_A: 0.000 idt_B: 0.000 
(epoch: 1, iters: 10, time: 0.003, data: 0.001) G_A: 42.924 G_B: 0.000 D_A: 19.092 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 13.818 idt_A: 0.000 idt_B: 0.000 
(epoch: 1, iters: 20, time: 0.003, data: 0.001) G_A: 116.880 G_B: 0.000 D_A: 78.036 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 12.614 idt_A: 0.000 idt_B: 0.000 
(epoch: 1, iters: 30, time: 0.003, data: 0.001) G_A: 0.010 G_B: 0.000 D_A: 3.323 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 10.898 idt_A: 0.000 idt_B: 0.000 
(epoch: 1, iters: 40, time: 0.003, data: 0.001) G_A: 2.152 G_B: 0.000 D_A: 28.284 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 9.850 idt_A: 0.000 idt_B: 0.000 
(epoch: 2, iters: 0, time: 0.003, data: 0.001) G_A: 7.338 G_B: 0.000 D_A: 6.631 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 10.110 idt_A: 0.000 idt_B: 0.000 
(epoch: 2, iters: 10, time: 0.003, data: 0.001) G_A: 11.483 G_B: 0.000 D_A: 11.157 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 9.492 idt_A: 0.000 idt_B: 0.000 
(epoch: 2, iters: 20, time: 0.003, data: 0.001) G_A: 0.054 G_B: 0.000 D_A: 2.804 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 9.078 idt_A: 0.000 idt_B: 0.000 
(epoch: 2, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.000 D_A: 2.843 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 8.959 idt_A: 0.000 idt_B: 0.000 
(epoch: 2, iters: 40, time: 0.003, data: 0.001) G_A: 0.740 G_B: 0.000 D_A: 6.797 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 8.854 idt_A: 0.000 idt_B: 0.000 
(epoch: 3, iters: 0, time: 0.003, data: 0.001) G_A: 0.127 G_B: 0.000 D_A: 1.503 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 9.519 idt_A: 0.000 idt_B: 0.000 
(epoch: 3, iters: 10, time: 0.003, data: 0.001) G_A: 6.133 G_B: 0.000 D_A: 4.843 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 8.191 idt_A: 0.000 idt_B: 0.000 
(epoch: 3, iters: 20, time: 0.003, data: 0.001) G_A: 2.041 G_B: 0.000 D_A: 5.916 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 8.051 idt_A: 0.000 idt_B: 0.000 
(epoch: 3, iters: 30, time: 0.003, data: 0.001) G_A: 0.687 G_B: 0.000 D_A: 1.692 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 8.146 idt_A: 0.000 idt_B: 0.000 
(epoch: 3, iters: 40, time: 0.003, data: 0.001) G_A: 1.716 G_B: 0.000 D_A: 0.858 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 8.166 idt_A: 0.000 idt_B: 0.000 
(epoch: 4, iters: 0, time: 0.004, data: 0.001) G_A: 1.906 G_B: 0.000 D_A: 4.409 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 8.196 idt_A: 0.000 idt_B: 0.000 
(epoch: 4, iters: 10, time: 0.003, data: 0.001) G_A: 0.488 G_B: 0.000 D_A: 13.222 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.742 idt_A: 0.000 idt_B: 0.000 
(epoch: 4, iters: 20, time: 0.003, data: 0.001) G_A: 0.231 G_B: 0.000 D_A: 2.706 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 8.256 idt_A: 0.000 idt_B: 0.000 
