================ Training Loss (Tue Mar 10 10:18:41 2026) ================
================ Training Loss (Tue Mar 10 10:18:41 2026) ================
(epoch: 3, iters: 10, time: 0.015, data: 0.008) G_A: 7.938 G_B: 8709142.000 D_A: 135068.703 D_B: 4357524.500 cycle_A: 4.773 cycle_B: 806.094 feedback_A: 2317.127 feedback_B: 375.563 idt_A: 278.450 idt_B: 4.390 
(epoch: 3, iters: 20, time: 0.015, data: 0.008) G_A: 4.970 G_B: 9755676.000 D_A: 709.219 D_B: 4874715.000 cycle_A: 5.514 cycle_B: 685.285 feedback_A: 2047.616 feedback_B: 427.831 idt_A: 340.482 idt_B: 7.288 
(epoch: 3, iters: 20, time: 0.015, data: 0.008) G_A: 4.970 G_B: 9755676.000 D_A: 709.219 D_B: 4874715.000 cycle_A: 5.514 cycle_B: 685.285 feedback_A: 2047.616 feedback_B: 427.831 idt_A: 340.482 idt_B: 7.288 
(epoch: 3, iters: 30, time: 0.016, data: 0.008) G_A: 13.931 G_B: 84187.883 D_A: 34803.090 D_B: 42384.605 cycle_A: 5.723 cycle_B: 467.856 feedback_A: 1038.471 feedback_B: 453.877 idt_A: 311.063 idt_B: 4.059 
(epoch: 3, iters: 30, time: 0.016, data: 0.008) G_A: 13.931 G_B: 84187.883 D_A: 34803.090 D_B: 42384.605 cycle_A: 5.723 cycle_B: 467.856 feedback_A: 1038.471 feedback_B: 453.877 idt_A: 311.063 idt_B: 4.059 
(epoch: 3, iters: 40, time: 0.016, data: 0.008) G_A: 8.642 G_B: 180.880 D_A: 3928.263 D_B: 77.892 cycle_A: 5.674 cycle_B: 476.592 feedback_A: 1329.891 feedback_B: 317.049 idt_A: 271.312 idt_B: 4.602 
(epoch: 3, iters: 40, time: 0.017, data: 0.008) G_A: 8.642 G_B: 180.880 D_A: 3928.263 D_B: 77.892 cycle_A: 5.674 cycle_B: 476.592 feedback_A: 1329.891 feedback_B: 317.049 idt_A: 271.312 idt_B: 4.602 
(epoch: 4, iters: 0, time: 0.017, data: 0.008) G_A: 31.463 G_B: 1198701.250 D_A: 213042.656 D_B: 600446.312 cycle_A: 4.070 cycle_B: 403.678 feedback_A: 1799.353 feedback_B: 438.014 idt_A: 278.196 idt_B: 3.753 
(epoch: 4, iters: 0, time: 0.015, data: 0.008) G_A: 31.463 G_B: 1198701.250 D_A: 213042.656 D_B: 600446.312 cycle_A: 4.070 cycle_B: 403.678 feedback_A: 1799.353 feedback_B: 438.014 idt_A: 278.196 idt_B: 3.753 
(epoch: 4, iters: 10, time: 0.015, data: 0.008) G_A: 4.786 G_B: 280113.062 D_A: 138126.734 D_B: 139527.828 cycle_A: 4.417 cycle_B: 472.731 feedback_A: 1552.572 feedback_B: 363.085 idt_A: 329.221 idt_B: 3.400 
(epoch: 4, iters: 10, time: 0.015, data: 0.008) G_A: 4.786 G_B: 280113.062 D_A: 138126.734 D_B: 139527.828 cycle_A: 4.417 cycle_B: 472.731 feedback_A: 1552.572 feedback_B: 363.085 idt_A: 329.221 idt_B: 3.400 
(epoch: 4, iters: 20, time: 0.015, data: 0.008) G_A: 0.050 G_B: 1388.857 D_A: 1754.833 D_B: 657.810 cycle_A: 4.432 cycle_B: 369.992 feedback_A: 1033.357 feedback_B: 325.651 idt_A: 189.392 idt_B: 2.860 
(epoch: 4, iters: 20, time: 0.015, data: 0.008) G_A: 0.050 G_B: 1388.857 D_A: 1754.833 D_B: 657.810 cycle_A: 4.432 cycle_B: 369.992 feedback_A: 1033.357 feedback_B: 325.651 idt_A: 189.392 idt_B: 2.860 
(epoch: 4, iters: 30, time: 0.015, data: 0.008) G_A: 27.899 G_B: 8329.646 D_A: 13962.710 D_B: 4074.171 cycle_A: 5.222 cycle_B: 393.527 feedback_A: 963.720 feedback_B: 458.701 idt_A: 212.328 idt_B: 3.664 
(epoch: 4, iters: 30, time: 0.016, data: 0.008) G_A: 27.899 G_B: 8329.646 D_A: 13962.710 D_B: 4074.171 cycle_A: 5.222 cycle_B: 393.527 feedback_A: 963.720 feedback_B: 458.701 idt_A: 212.328 idt_B: 3.664 
