================ Training Loss (Sat Mar  7 14:38:48 2026) ================
(epoch: 5, iters: 40, time: 0.003, data: 0.001) G_A: 26.261 G_B: 0.000 D_A: 13.208 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.484 idt_A: 0.000 idt_B: 0.000 
(epoch: 6, iters: 0, time: 0.003, data: 0.001) G_A: 1.551 G_B: 0.000 D_A: 4.636 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.667 idt_A: 0.000 idt_B: 0.000 
(epoch: 6, iters: 10, time: 0.003, data: 0.001) G_A: 35.268 G_B: 0.000 D_A: 15.978 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.612 idt_A: 0.000 idt_B: 0.000 
(epoch: 6, iters: 20, time: 0.003, data: 0.001) G_A: 0.609 G_B: 0.000 D_A: 0.269 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.855 idt_A: 0.000 idt_B: 0.000 
(epoch: 6, iters: 30, time: 0.003, data: 0.001) G_A: 4.924 G_B: 0.000 D_A: 0.881 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.709 idt_A: 0.000 idt_B: 0.000 
(epoch: 6, iters: 40, time: 0.003, data: 0.001) G_A: 0.376 G_B: 0.000 D_A: 2.107 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.475 idt_A: 0.000 idt_B: 0.000 
(epoch: 7, iters: 0, time: 0.003, data: 0.001) G_A: 0.670 G_B: 0.000 D_A: 0.076 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.729 idt_A: 0.000 idt_B: 0.000 
(epoch: 7, iters: 10, time: 0.003, data: 0.001) G_A: 0.440 G_B: 0.000 D_A: 1.494 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.468 idt_A: 0.000 idt_B: 0.000 
(epoch: 7, iters: 20, time: 0.003, data: 0.001) G_A: 0.567 G_B: 0.000 D_A: 8.652 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.335 idt_A: 0.000 idt_B: 0.000 
(epoch: 7, iters: 30, time: 0.003, data: 0.001) G_A: 1.229 G_B: 0.000 D_A: 0.109 D_B: 0.000 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 0.000 feedback_B: 7.356 idt_A: 0.000 idt_B: 0.000 
