threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.49266355946832385,3114,5533,2854
0.001,0.5333534560821008,3883,6277,3534
0.01,0.5905934756976288,4957,7184,4508
0.05,0.6437122199834064,5981,7887,5431
0.1,0.6778371009882994,6555,8215,5967
0.2,0.7248917748917749,7294,8644,6698
0.5,0.8254923971833861,8590,9298,8089
1.0,1.0,10042,10042,10042
