threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.41179856115107916,3291,6521,2862
0.001,0.4585404132879937,4023,7129,3506
0.01,0.5331039392501187,5119,7802,4493
0.05,0.6145810180040009,6198,8330,5530
0.1,0.6578295074900312,6774,8609,6104
0.2,0.7162727462873876,7467,8944,6849
0.5,0.8340743734842361,8664,9486,8254
1.0,1.0,10042,10042,10042
