threshold,jaccard,n_real
0.0001,0.5820293978188715,2951
0.001,0.5951911706740244,3644
0.01,0.6067005398539219,4625
0.05,0.6372931521592896,5696
0.1,0.6579339458654085,6295
0.2,0.6915320270425117,7040
0.5,0.7872584856396867,8358
