threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.3887563884156729,3344,4808,2282
0.001,0.4283185840707965,4117,5567,2904
0.01,0.4878329918032787,5154,6463,3809
0.05,0.5653537818055071,6221,7252,4866
0.1,0.6102581219403649,6797,7676,5485
0.2,0.67061586081759,7472,8180,6283
0.5,0.8060050890585242,8661,9083,7919
1.0,1.0,10042,10042,10042
