threshold,jaccard,n_real
0.0001,0.5972290945076695,2951
0.001,0.607995105037732,3644
0.01,0.6233000163853842,4625
0.05,0.6513357201872763,5696
0.1,0.6705461056401074,6295
0.2,0.6981775426219871,7040
0.5,0.7853607161664033,8358
