threshold,jaccard,n_real
0.0001,0.27452085682074406,2951
0.001,0.2894736842105263,3644
0.01,0.3022567517573067,4625
0.05,0.32544560540872775,5696
0.1,0.3435660218671152,6295
0.2,0.3827726809378186,7040
0.5,0.654292343387471,8358
