Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_24_P251661	KCNMB3	potassium large conductance calcium-activated channel, subfamily M beta member 3	GO:0001508(regulation of action potential)|GO:0005216(ion channel activity)|GO:0005513(detection of calcium ion)|GO:0005515(protein binding)|GO:0006811(ion transport)|GO:0006813(potassium ion transport)|GO:0008076(voltage-gated potassium channel complex)|
UKv4_A_23_P83200	C9orf98	chromosome 9 open reading frame 98	GO:0000166(nucleotide binding)|GO:0004017(adenylate kinase activity)|GO:0005524(ATP binding)|GO:0006139(nucleobase, nucleoside, nucleotide and nucleic acid metabolic process)|GO:0016301(kinase activity)|GO:0016740(transferase activity)
UKv4_A_32_P17416	DPF3	D4, zinc and double PHD fingers, family 3	GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0008150=biological_process|GO:0005634=nucleus|GO:0005737=cytoplasm|GO:0046872=metal ion binding|GO:0008270=zinc ion binding
UKv4_A_23_P92467	GPR103	G protein-coupled receptor 103	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0004983(neuropeptide Y receptor activity)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)|GO:0016021(integr
UKv4_A_23_P377339	C4orf36	chromosome 4 open reading frame 36	
UKv4_A_23_P318296	PLEKHA8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	
UKv4_A_23_P67618	ZNF792	zinc finger protein 792	GO:0003676(nucleic acid binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P57910	RTP3	receptor (chemosensory) transporter protein 3	GO:0001580=detection of chemical stimulus involved in sensory perception of bitter taste|GO:0006612=protein targeting to membrane|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005737=cytoplasm|GO:0005515=protein binding
UKv4_A_23_P148327	CACNA1F	calcium channel, voltage-dependent, L type, alpha 1F subunit	GO:0005245(voltage-gated calcium channel activity)|GO:0005509(calcium ion binding)|GO:0005891(voltage-gated calcium channel complex)|GO:0006811(ion transport)|GO:0006816(calcium ion transport)|GO:0015270(dihydropyridine-sensitive calcium channel activity)
UKv4_A_23_P53450	KRT82	keratin 82	GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0005882(intermediate filament)|GO:0008150(biological_process)|GO:0030280(structural constituent of epidermis)
UKv4_A_23_P353541	DLX6	distal-less homeobox 6	GO:0001501=skeletal development|GO:0006355=regulation of transcription, DNA-dependent|GO:0007275=multicellular organismal development|GO:0007399=nervous system development|GO:0030326=embryonic limb morphogenesis|GO:0005634=nucleus|GO:0003700=transcription
UKv4_A_23_P154256	RBED1	RNA binding motif and ELMO/CED-12 domain 1	GO:0005856(cytoskeleton)|GO:0006909(phagocytosis)
UKv4_A_23_P150238	C11orf68	chromosome 11 open reading frame 68	
UKv4_A_23_P122976	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	GO:0007165=signal transduction|GO:0007186=G-protein coupled receptor protein signaling pathway|GO:0005886=plasma membrane|GO:0005834=heterotrimeric G-protein complex|GO:0000166=nucleotide binding|GO:0005515=protein binding|GO:0003924=GTPase activity|GO:00
UKv4_A_23_P311818	GHRH	growth hormone releasing hormone	GO:0007189=G-protein signaling, adenylate cyclase activating pathway|GO:0007267=cell-cell signaling|GO:0040018=positive regulation of multicellular organism growth|GO:0060124=positive regulation of growth hormone secretion|GO:0005576=extracellular region|
UKv4_A_32_P101570	SUGT1L1	SGT1, suppressor of G2 allele of SKP1 like 1 (S. cerevisiae)	
UKv4_A_23_P355377	SLC12A5	solute carrier family 12, (potassium-chloride transporter) member 5	GO:0005215(transporter activity)|GO:0006811(ion transport)|GO:0006813(potassium ion transport)|GO:0006814(sodium ion transport)|GO:0006821(chloride transport)|GO:0006873(cell ion homeostasis)|GO:0015293(symporter activity)|GO:0015379(potassium:chloride sy
UKv4_A_23_P55551	CHMP1B	chromatin modifying protein 1B	GO:0015031(protein transport)
UKv4_A_24_P185186	SAMD14	sterile alpha motif domain containing 14	
