Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_23_P386364	CXorf43	chromosome X open reading frame 43	GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0043565(sequence-specific DNA binding)
UKv4_A_23_P105475	SLCO1B3	solute carrier organic anion transporter family, member 1B3	GO:0005215(transporter activity)|GO:0005887(integral to plasma membrane)|GO:0006811(ion transport)|GO:0008514(organic anion transporter activity)|GO:0015711(organic anion transport)|GO:0016020(membrane)
UKv4_A_32_P16975	ANKS3	ankyrin repeat and sterile alpha motif domain containing 3	
UKv4_A_23_P429491	C11orf82	chromosome 11 open reading frame 82	GO:0006915=apoptosis|GO:0007049=cell cycle|GO:0007050=cell cycle arrest|GO:0005634=nucleus|GO:0005737=cytoplasm
UKv4_A_23_P131308	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	GO:0005506(iron ion binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0006118(electron transport)|GO:0008395(steroid hydroxylase activity)|GO:0016020(membrane)|GO:0020037(heme binding)|GO:0046872(metal ion binding)|GO:0047749(
UKv4_A_23_P37545	FLJ11506	hypothetical protein FLJ11506	GO:0015031=protein transport|GO:0005737=cytoplasm
UKv4_A_23_P93431	AIG1	androgen-induced 1	GO:0016020=membrane|GO:0016021=integral to membrane
UKv4_A_23_P6909	CCRL1	chemokine (C-C motif) receptor-like 1	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006935(chemotaxis)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled
UKv4_A_32_P88719	RAB40A	RAB40A, member RAS oncogene family	GO:0000166(nucleotide binding)|GO:0005525(GTP binding)|GO:0007264(small GTPase mediated signal transduction)|GO:0015031(protein transport)|GO:0016020(membrane)
UKv4_A_23_P380951	ZNF420	zinc finger protein 420	GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_24_P352864	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	GO:0000502(proteasome complex (sensu Eukaryota))|GO:0005829(cytosol)|GO:0008537(proteasome activator complex)|GO:0008538(proteasome activator activity)|GO:0042802(identical protein binding)
UKv4_A_23_P318262	DLX5	distal-less homeobox 5	GO:0001501=skeletal development|GO:0006355=regulation of transcription, DNA-dependent|GO:0007275=multicellular organismal development|GO:0007399=nervous system development|GO:0007409=axonogenesis|GO:0030326=embryonic limb morphogenesis|GO:0042472=inner ea
UKv4_A_32_P315770	RBMS1	RNA binding motif, single stranded interacting protein 1	GO:0000166(nucleotide binding)|GO:0003677(DNA binding)|GO:0003690(double-stranded DNA binding)|GO:0003697(single-stranded DNA binding)|GO:0003723(RNA binding)|GO:0005575(cellular_component)|GO:0005634(nucleus)|GO:0006260(DNA replication)|GO:0006396(RNA pr
UKv4_A_24_P188800	MARCH1	membrane-associated ring finger (C3HC4) 1	GO:0005515(protein binding)|GO:0006512(ubiquitin cycle)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016874(ligase activity)|GO:0046872(metal ion binding)
UKv4_A_23_P26729	COIL	coilin	GO:0001674(female germ cell nucleus)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0015030(Cajal body)
UKv4_A_23_P217468	AFF2	AF4/FMR2 family, member 2	GO:0007420(brain development)|GO:0007611(learning and/or memory)
UKv4_A_23_P384072	EPN1	epsin 1	GO:0005634(nucleus)|GO:0006897(endocytosis)|GO:0008289(lipid binding)
UKv4_A_23_P253321	PNOC	prepronociceptin	GO:0001515(opioid peptide activity)|GO:0005184(neuropeptide hormone activity)|GO:0005576(extracellular region)|GO:0007165(signal transduction)|GO:0007218(neuropeptide signaling pathway)|GO:0007268(synaptic transmission)|GO:0007600(sensory perception)
UKv4_A_24_P945312	PAPOLB	poly(A) polymerase beta (testis specific)	
UKv4_A_24_P354429	HTN1	histatin 1	GO:0001503(ossification)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0006805(xenobiotic metabolic process)|GO:0042742(defense response to bacterium)|GO:0050832(defense response to fungus)
UKv4_A_23_P256663	GALR3	galanin receptor 3	GO:0007165=signal transduction|GO:0007194=negative regulation of adenylate cyclase activity|GO:0007218=neuropeptide signaling pathway|GO:0007268=synaptic transmission|GO:0007611=learning and/or memory|GO:0007631=feeding behavior|GO:0005886=plasma membrane
UKv4_A_23_P24433	CTSF	cathepsin F	GO:0005764(lysosome)|GO:0006508(proteolysis)|GO:0016946(cathepsin F activity)
UKv4_A_23_P8253	RAET1E	retinoic acid early transcript 1E	GO:0005515(protein binding)|GO:0005886(plasma membrane)|GO:0006955(immune response)|GO:0016021(integral to membrane)|GO:0019882(antigen processing and presentation)|GO:0042612(MHC class I protein complex)
UKv4_A_23_P85441	IGSF9	immunoglobulin superfamily, member 9	
UKv4_A_23_P49657	MYH1	myosin, heavy chain 1, skeletal muscle, adult	GO:0006941=striated muscle contraction|GO:0005737=cytoplasm|GO:0005863=striated muscle thick filament|GO:0016459=myosin complex|GO:0000166=nucleotide binding|GO:0003774=motor activity|GO:0003779=actin binding|GO:0005516=calmodulin binding|GO:0005524=ATP b
UKv4_A_23_P29067	TMPRSS2	transmembrane protease, serine 2	GO:0004252(serine-type endopeptidase activity)|GO:0005044(scavenger receptor activity)|GO:0005887(integral to plasma membrane)|GO:0006508(proteolysis)|GO:0016020(membrane)
UKv4_A_23_P78383	C18orf8	chromosome 18 open reading frame 8	
UKv4_A_32_P37360	LACE1	lactation elevated 1	GO:0000166(nucleotide binding)|GO:0005524(ATP binding)
UKv4_A_23_P419503	LRRC4B	leucine rich repeat containing 4B	GO:0005515(protein binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P345710	C3orf21	chromosome 3 open reading frame 21	GO:0016020=membrane|GO:0016021=integral to membrane
UKv4_A_23_P27767	ZNF444	zinc finger protein 444	GO:0003700(transcription factor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P317839	GLIPR1L1	GLI pathogenesis-related 1 like 1	GO:0005576(extracellular region)
UKv4_A_23_P140074	PROZ	protein Z, vitamin K-dependent plasma glycoprotein	GO:0004252(serine-type endopeptidase activity)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006508(proteolysis)|GO:0007596(blood coagulation)
UKv4_A_23_P359043	PALM2-AKAP2	PALM2-AKAP2 protein	
UKv4_A_23_P25994	LGMN	legumain	GO:0001509(legumain activity)|GO:0005764(lysosome)|GO:0006508(proteolysis)
UKv4_A_24_P186274	IGFBPL1	insulin-like growth factor binding protein-like 1	GO:0001558(regulation of cell growth)|GO:0005520(insulin-like growth factor binding)|GO:0005576(extracellular region)
UKv4_A_23_P112874	GPC5	glypican 5	GO:0005578(proteinaceous extracellular matrix)|GO:0005887(integral to plasma membrane)|GO:0016020(membrane)|GO:0048503(GPI anchor binding)
UKv4_A_23_P370682	BATF2	basic leucine zipper transcription factor, ATF-like 2	GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0043565(sequence-specific DNA binding)|GO:0046983(protein dimerization activity)
UKv4_A_23_P128263	PRB1	proline-rich protein BstNI subfamily 1	GO:0001584(rhodopsin-like receptor activity)|GO:0003674(molecular_function)|GO:0005576(extracellular region)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0008150(biological_process)|GO:0016021(integral to membrane)
UKv4_A_23_P380208	VEPH1	ventricular zone expressed PH domain homolog 1 (zebrafish)	
UKv4_A_23_P87329	NAT10	N-acetyltransferase 10	GO:0008152=metabolic process|GO:0005634=nucleus|GO:0000166=nucleotide binding|GO:0005515=protein binding|GO:0003674=molecular_function|GO:0005524=ATP binding|GO:0008080=N-acetyltransferase activity|GO:0008415=acyltransferase activity|GO:0016740=transferas
UKv4_A_23_P125579	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005874(microtubule)|GO:0007026(negative regulation of microtubule depolymerization)
UKv4_A_23_P101093	COPZ2	coatomer protein complex, subunit zeta 2	GO:0005783(endoplasmic reticulum)|GO:0005801(cis-Golgi network)|GO:0006886(intracellular protein transport)|GO:0006888(ER to Golgi vesicle-mediated transport)|GO:0016020(membrane)|GO:0030126(COPI vesicle coat)|GO:0030662(coated vesicle membrane)
UKv4_A_23_P84705	TNFRSF13B	tumor necrosis factor receptor superfamily, member 13B	GO:0004872(receptor activity)|GO:0005515(protein binding)|GO:0005887(integral to plasma membrane)|GO:0006955(immune response)|GO:0007166(cell surface receptor linked signal transduction)|GO:0016020(membrane)
UKv4_A_23_P346969	PIK3CB	phosphoinositide-3-kinase, catalytic, beta polypeptide	GO:0000074(regulation of progression through cell cycle)|GO:0000187(activation of MAPK activity)|GO:0001952(regulation of cell-matrix adhesion)|GO:0004428(inositol or phosphatidylinositol kinase activity)|GO:0005942(phosphoinositide 3-kinase complex)|GO:0
UKv4_A_23_P65455	C14orf94	chromosome 14 open reading frame 94	
UKv4_A_23_P422849	FERD3L	Fer3-like (Drosophila)	GO:0005634(nucleus)|GO:0030528(transcription regulator activity)|GO:0045449(regulation of transcription)
UKv4_A_23_P25215	RECQL	RecQ protein-like (DNA helicase Q1-like)	GO:0000166(nucleotide binding)|GO:0003677(DNA binding)|GO:0004003(ATP-dependent DNA helicase activity)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0006281(DNA repair)|GO:0006310(DNA recombination)|GO:0016787(hydrolase activi
UKv4_A_23_P90058	BIRC8	baculoviral IAP repeat-containing 8	GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0006915(apoptosis)|GO:0006916(anti-apoptosis)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P111635	STYXL1	serine/threonine/tyrosine interacting-like 1	GO:0005515(protein binding)|GO:0006470(protein amino acid dephosphorylation)|GO:0007242(intracellular signaling cascade)|GO:0008138(protein tyrosine/serine/threonine phosphatase activity)|GO:0016787(hydrolase activity)
UKv4_A_23_P167389	CENTD3	centaurin, delta 3	GO:0001726(ruffle)|GO:0005547(phosphatidylinositol-3,4,5-triphosphate binding)|GO:0005622(intracellular)|GO:0005737(cytoplasm)|GO:0007010(cytoskeleton organization and biogenesis)|GO:0007165(signal transduction)|GO:0008060(ARF GTPase activator activity)|G
UKv4_A_23_P136413	MMP17	matrix metallopeptidase 17 (membrane-inserted)	GO:0000270(peptidoglycan metabolic process)|GO:0004222(metalloendopeptidase activity)|GO:0005509(calcium ion binding)|GO:0005578(proteinaceous extracellular matrix)|GO:0005887(integral to plasma membrane)|GO:0006508(proteolysis)|GO:0008047(enzyme activato
UKv4_A_23_P60016	PTTG3	pituitary tumor-transforming 3	GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006259(DNA metabolic process)|GO:0051276(chromosome organization and biogenesis)
UKv4_A_23_P4489	NETO1	neuropilin (NRP) and tolloid (TLL)-like 1	GO:0004872(receptor activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P66241	MT1M	metallothionein 1M	GO:0005507(copper ion binding)|GO:0008270(zinc ion binding)|GO:0046870(cadmium ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P157051	AP4M1	adaptor-related protein complex 4, mu 1 subunit	GO:0016192=vesicle-mediated transport|GO:0016192=vesicle-mediated transport|GO:0006886=intracellular protein transport|GO:0000138=Golgi trans cisterna|GO:0016020=membrane|GO:0005794=Golgi apparatus|GO:0005905=coated pit|GO:0030131=clathrin adaptor complex
UKv4_A_23_P258093	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	GO:0003841(1-acylglycerol-3-phosphate O-acyltransferase activity)|GO:0005783(endoplasmic reticulum)|GO:0006654(phosphatidic acid biosynthetic process)|GO:0008152(metabolic process)|GO:0008415(acyltransferase activity)|GO:0008654(phospholipid biosynthetic
UKv4_A_23_P300740	NPB	neuropeptide B	GO:0005515(protein binding)|GO:0007218(neuropeptide signaling pathway)
UKv4_A_32_P223140	RASGEF1A	RasGEF domain family, member 1A	GO:0051056=regulation of small GTPase mediated signal transduction|GO:0005622=intracellular|GO:0005085=guanyl-nucleotide exchange factor activity
UKv4_A_23_P91015	SMYD5	SMYD family member 5	GO:0008150=biological_process|GO:0005575=cellular_component|GO:0005634=nucleus|GO:0003674=molecular_function|GO:0046872=metal ion binding|GO:0008270=zinc ion binding
UKv4_A_23_P82099	NOX3	NADPH oxidase 3	GO:0001659(thermoregulation)|GO:0005506(iron ion binding)|GO:0006118(electron transport)|GO:0009629(response to gravity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016491(oxidoreductase activity)|GO:0050660(FAD binding)
UKv4_A_23_P403445	CGREF1	cell growth regulator with EF-hand domain 1	GO:0005509(calcium ion binding)|GO:0006950(response to stress)|GO:0007049(cell cycle)|GO:0007050(cell cycle arrest)|GO:0008285(negative regulation of cell proliferation)
UKv4_A_23_P214594	RPP21	ribonuclease P 21kDa subunit	GO:0004526(ribonuclease P activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0008033(tRNA processing)|GO:0016787(hydrolase activity)
UKv4_A_23_P33875	SSX4	synovial sarcoma, X breakpoint 4	GO:0003676(nucleic acid binding)|GO:0005622(intracellular)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)
UKv4_A_23_P161727	HSPB2	heat shock 27kDa protein 2	GO:0006986=response to unfolded protein|GO:0007525=somatic muscle development|GO:0005829=cytosol|GO:0005625=soluble fraction|GO:0005515=protein binding|GO:0008047=enzyme activator activity
UKv4_A_23_P48610	TMEM55B	transmembrane protein 55B	GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016787(hydrolase activity)
UKv4_A_24_P404245	PCYT2	phosphate cytidylyltransferase 2, ethanolamine	GO:0008654=phospholipid biosynthetic process|GO:0009058=biosynthetic process|GO:0005575=cellular_component|GO:0004306=ethanolamine-phosphate cytidylyltransferase activity|GO:0016740=transferase activity
UKv4_A_23_P328545	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	GO:0006811=ion transport|GO:0005886=plasma membrane|GO:0016021=integral to membrane|GO:0030054=cell junction|GO:0045202=synapse|GO:0045211=postsynaptic membrane|GO:0004890=GABA-A receptor activity|GO:0005216=ion channel activity|GO:0005230=extracellular l
UKv4_A_32_P158966	KLRF1	killer cell lectin-like receptor subfamily F, member 1	GO:0005529(sugar binding)|GO:0005887(integral to plasma membrane)|GO:0007166(cell surface receptor linked signal transduction)|GO:0016020(membrane)|GO:0032393(MHC class I receptor activity)
UKv4_A_24_P912372	KIAA0754	hypothetical LOC643314	
UKv4_A_23_P10025	NELL2	NEL-like 2 (chicken)	GO:0007155=cell adhesion|GO:0007155=cell adhesion|GO:0005576=extracellular region|GO:0005515=protein binding|GO:0005509=calcium ion binding|GO:0005509=calcium ion binding|GO:0005198=structural molecule activity|GO:0005198=structural molecule activity
UKv4_A_23_P114155	GPKOW	G patch domain and KOW motifs	GO:0003674(molecular_function)|GO:0003676(nucleic acid binding)|GO:0005575(cellular_component)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0008150(biological_process)
UKv4_A_23_P72651	ECSM2	endothelial cell-specific molecule 2	
UKv4_A_23_P74097	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	GO:0006357=regulation of transcription from RNA polymerase II promoter|GO:0006368=RNA elongation from RNA polymerase II promoter|GO:0016021=integral to membrane|GO:0005634=nucleus|GO:0005654=nucleoplasm|GO:0008023=transcription elongation factor complex|G
UKv4_A_23_P338542	SLC5A8	solute carrier family 5 (iodide transporter), member 8	GO:0005215(transporter activity)|GO:0006811(ion transport)|GO:0006814(sodium ion transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P76249	KRT6B	keratin 6B	GO:0005200(structural constituent of cytoskeleton)|GO:0005882(intermediate filament)|GO:0007398(ectoderm development)
UKv4_A_23_P45345	HTATSF1	HIV-1 Tat specific factor 1	GO:0000166(nucleotide binding)|GO:0003676(nucleic acid binding)|GO:0003702(RNA polymerase II transcription factor activity)|GO:0003711(transcriptional elongation regulator activity)|GO:0003723(RNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|G
UKv4_A_24_P173746	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	GO:0005085(guanyl-nucleotide exchange factor activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0007264(small GTPase mediated signal transduction)
UKv4_A_23_P219161	OLFM1	olfactomedin 1	GO:0005515(protein binding)|GO:0005783(endoplasmic reticulum)|GO:0007275(multicellular organismal development)|GO:0007399(nervous system development)|GO:0016020(membrane)|GO:0016524(latrotoxin receptor activity)|GO:0051259(protein oligomerization)
UKv4_A_23_P101380	B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	GO:0006486(protein amino acid glycosylation)|GO:0008378(galactosyltransferase activity)|GO:0016020(membrane)|GO:0016262(protein N-acetylglucosaminyltransferase activity)|GO:0016757(transferase activity, transferring glycosyl groups)|GO:0030311(poly-N-acet
UKv4_A_23_P380298	ProSAPiP1	ProSAPiP1 protein	GO:0016020=membrane|GO:0005737=cytoplasm|GO:0005198=structural molecule activity
UKv4_A_23_P107238	MBTD1	mbt domain containing 1	GO:0005634(nucleus)|GO:0008270(zinc ion binding)|GO:0045449(regulation of transcription)
UKv4_A_24_P16124	IFITM4P	interferon induced transmembrane protein 4 pseudogene	
UKv4_A_23_P4885	AP2A1	adaptor-related protein complex 2, alpha 1 subunit	GO:0005198(structural molecule activity)|GO:0005905(coated pit)|GO:0006461(protein complex assembly)|GO:0006886(intracellular protein transport)|GO:0006895(Golgi to endosome transport)|GO:0006897(endocytosis)|GO:0030122(AP-2 adaptor complex)|GO:0030130(cl
UKv4_A_23_P161297	OGDHL	oxoglutarate dehydrogenase-like	GO:0004591(oxoglutarate dehydrogenase (succinyl-transferring) activity)|GO:0006096(glycolysis)|GO:0008152(metabolic process)|GO:0030976(thiamin pyrophosphate binding)
UKv4_A_23_P112406	GTF3C5	general transcription factor IIIC, polypeptide 5, 63kDa	GO:0000127(transcription factor TFIIIC complex)|GO:0003677(DNA binding)|GO:0003709(RNA polymerase III transcription factor activity)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006383(transcription from RNA polymerase III promoter)
UKv4_A_23_P34733	FH	fumarate hydratase	GO:0006099=tricarboxylic acid cycle|GO:0006106=fumarate metabolic process|GO:0045786=negative regulation of cell cycle|GO:0048873=homeostasis of number of cells within a tissue|GO:0005739=mitochondrion|GO:0005737=cytoplasm|GO:0005759=mitochondrial matrix|
UKv4_A_23_P145865	CENTA1	centaurin, alpha 1	GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005886(plasma membrane)|GO:0007166(cell surface receptor linked signal transduction)|GO:0008060(ARF GTPase activator activity)|GO:0008270(zinc ion binding)|GO:0043087(regulation of
UKv4_A_32_P305500	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2	GO:0005251(delayed rectifier potassium channel activity)|GO:0005515(protein binding)|GO:0006811(ion transport)|GO:0006813(potassium ion transport)|GO:0006940(regulation of smooth muscle contraction)|GO:0008076(voltage-gated potassium channel complex)|GO:0
UKv4_A_23_P150255	RBM14	RNA binding motif protein 14	GO:0006260=DNA replication|GO:0006281=DNA repair|GO:0006310=DNA recombination|GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0009725=response to hormone stimulus|GO:0016575=histone deacetylation|GO:0030520=estrogen recep
UKv4_A_24_P229377	RYK	RYK receptor-like tyrosine kinase	GO:0000166(nucleotide binding)|GO:0004713(protein-tyrosine kinase activity)|GO:0004714(transmembrane receptor protein tyrosine kinase activity)|GO:0004872(receptor activity)|GO:0005524(ATP binding)|GO:0005624(membrane fraction)|GO:0005886(plasma membrane)
UKv4_A_23_P127418	MTNR1B	melatonin receptor 1B	GO:0007165=signal transduction|GO:0007187=G-protein signaling, coupled to cyclic nucleotide second messenger|GO:0007268=synaptic transmission|GO:0005886=plasma membrane|GO:0005887=integral to plasma membrane|GO:0004872=receptor activity|GO:0008502=melaton
UKv4_A_32_P184464	ROPN1	ropporin, rhophilin associated protein 1	GO:0007165(signal transduction)|GO:0008603(cAMP-dependent protein kinase regulator activity)|GO:0015288(porin activity)|GO:0016021(integral to membrane)|GO:0019867(outer membrane)
UKv4_A_23_P353125	FSIP1	fibrous sheath interacting protein 1	
UKv4_A_23_P27207	SCGB1C1	secretoglobin, family 1C, member 1	GO:0005496(steroid binding)
UKv4_A_23_P381261	ADCY4	adenylate cyclase 4	GO:0000287(magnesium ion binding)|GO:0004016(adenylate cyclase activity)|GO:0005622(intracellular)|GO:0006171(cAMP biosynthetic process)|GO:0007188(G-protein signaling, coupled to cAMP nucleotide second messenger)|GO:0007242(intracellular signaling cascad
UKv4_A_24_P160380	PDLIM2	PDZ and LIM domain 2 (mystique)	GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005856(cytoskeleton)|GO:0008270(zinc ion binding)|GO:0009986(cell surface)|GO:0046872(metal ion binding)
UKv4_A_24_P319715	PDIA6	protein disulfide isomerase family A, member 6	GO:0003756(protein disulfide isomerase activity)|GO:0005515(protein binding)|GO:0005783(endoplasmic reticulum)|GO:0005793(ER-Golgi intermediate compartment)|GO:0006457(protein folding)|GO:0016853(isomerase activity)|GO:0045454(cell redox homeostasis)
UKv4_A_23_P101521	C19orf41	chromosome 19 open reading frame 41	
UKv4_A_24_P251734	FSTL5	follistatin-like 5	GO:0005509(calcium ion binding)
UKv4_A_23_P60339	C9orf64	chromosome 9 open reading frame 64	
UKv4_A_23_P149448	HES4	hairy and enhancer of split 4 (Drosophila)	GO:0003677(DNA binding)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicellular organismal development)|GO:0007399(nervous system development)|GO:0030154(cell differentiation)|GO:0030528(transcription regulator
UKv4_A_23_P165162	HAMP	hepcidin antimicrobial peptide	GO:0005179(hormone activity)|GO:0005576(extracellular region)|GO:0006805(xenobiotic metabolic process)|GO:0006879(iron ion homeostasis)|GO:0006955(immune response)|GO:0042742(defense response to bacterium)|GO:0050832(defense response to fungus)
UKv4_A_24_P732099	HBBP1	hemoglobin, beta pseudogene 1	
UKv4_A_23_P156017	GOLPH3	golgi phosphoprotein 3 (coat-protein)	GO:0005794(Golgi apparatus)|GO:0016020(membrane)
UKv4_A_23_P87752	LEPREL2	leprecan-like 2	GO:0005506(iron ion binding)|GO:0005783(endoplasmic reticulum)|GO:0016491(oxidoreductase activity)|GO:0016702(oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen)|GO:0016706(oxidore
UKv4_A_24_P377489	C7orf28A	chromosome 7 open reading frame 28A	
UKv4_A_23_P30175	ERBB2IP	erbb2 interacting protein	GO:0005176(ErbB-2 class receptor binding)|GO:0005178(integrin binding)|GO:0005200(structural constituent of cytoskeleton)|GO:0005515(protein binding)|GO:0005604(basement membrane)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0007049(cell cycle)|GO:0007155
UKv4_A_23_P37897	MGC16824	esophageal cancer associated protein	
UKv4_A_23_P374082	ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)	GO:0006508=proteolysis|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0004222=metalloendopeptidase activity|GO:0046872=metal ion binding|GO:0008270=zinc ion binding
UKv4_A_23_P29110	CESK1	T-complex protein 1	GO:0000166(nucleotide binding)|GO:0005253(anion channel activity)|GO:0005524(ATP binding)|GO:0006457(protein folding)|GO:0006810(transport)|GO:0015269(calcium-activated potassium channel activity)|GO:0051082(unfolded protein binding)
UKv4_A_23_P4754	CLPP	ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)	GO:0005739(mitochondrion)|GO:0006508(proteolysis)|GO:0008233(peptidase activity)|GO:0008462(endopeptidase Clp activity)
UKv4_A_23_P1374	PRKCQ	protein kinase C, theta	GO:0001558=regulation of cell growth|GO:0006468=protein amino acid phosphorylation|GO:0006468=protein amino acid phosphorylation|GO:0007242=intracellular signaling cascade|GO:0007242=intracellular signaling cascade|GO:0051092=positive regulation of NF-kap
UKv4_A_23_P46369	RAB13	RAB13, member RAS oncogene family	GO:0016192=vesicle-mediated transport|GO:0007155=cell adhesion|GO:0006355=regulation of transcription, DNA-dependent|GO:0007264=small GTPase mediated signal transduction|GO:0015031=protein transport|GO:0005886=plasma membrane|GO:0005622=intracellular|GO:0
UKv4_A_23_P389907	ATXN2	ataxin 2	GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0008219(cell death)|GO:0048471(perinuclear region of cytoplasm)
UKv4_A_24_P140788	FGD2	FYVE, RhoGEF and PH domain containing 2	GO:0001726(ruffle)|GO:0005085(guanyl-nucleotide exchange factor activity)|GO:0005089(Rho guanyl-nucleotide exchange factor activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005737(cytoplasm)|GO:0005794(Golgi apparatus)|GO:0005856(cytoske
UKv4_A_23_P252462	GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	GO:0004653(polypeptide N-acetylgalactosaminyltransferase activity)|GO:0004812(aminoacyl-tRNA ligase activity)|GO:0005509(calcium ion binding)|GO:0005524(ATP binding)|GO:0005529(sugar binding)|GO:0006412(translation)|GO:0006493(protein amino acid O-linked
UKv4_A_32_P8156	C10orf107	chromosome 10 open reading frame 107	
UKv4_A_23_P170464	RNF208	ring finger protein 208	
UKv4_A_23_P49768	MRPL27	mitochondrial ribosomal protein L27	GO:0003735(structural constituent of ribosome)|GO:0005622(intracellular)|GO:0005739(mitochondrion)|GO:0005762(mitochondrial large ribosomal subunit)|GO:0005840(ribosome)|GO:0006412(translation)
UKv4_A_24_P350124	KIAA1618	KIAA1618	GO:0016491(oxidoreductase activity)|GO:0046914(transition metal ion binding)
UKv4_A_24_P282108	ZZEF1	zinc finger, ZZ-type with EF-hand domain 1	GO:0030071=regulation of mitotic metaphase/anaphase transition|GO:0005680=anaphase-promoting complex|GO:0005515=protein binding|GO:0005509=calcium ion binding|GO:0008270=zinc ion binding
UKv4_A_23_P12686	GFRA1	GDNF family receptor alpha 1	GO:0004872(receptor activity)|GO:0005102(receptor binding)|GO:0007166(cell surface receptor linked signal transduction)|GO:0007399(nervous system development)|GO:0016020(membrane)|GO:0016167(glial cell line-derived neurotrophic factor receptor activity)|G
UKv4_A_23_P29330	SMC1B	structural maintenance of chromosomes 1B	GO:0000166(nucleotide binding)|GO:0000775(chromosome, pericentric region)|GO:0000800(lateral element)|GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0005694(chromosome)|GO:0006259(DNA metabolic process)|
