threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5788801362571855,4109,3307,2719
0.001,0.5893934019155729,4882,4079,3323
0.01,0.6135632855890091,5893,5147,4198
0.05,0.6479419492055548,6957,6215,5179
0.1,0.6773889478025215,7452,6784,5749
0.2,0.7159179145867998,8022,7447,6454
0.5,0.8162740458800535,8982,8674,7935
1.0,1.0,10042,10042,10042
