threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5491926803013993,4008,3188,2551
0.001,0.5665640282557508,4769,3880,3128
0.01,0.5939984996249063,5760,4864,3959
0.05,0.6211267605633802,6803,5858,4851
0.1,0.6479914173322208,7346,6479,5436
0.2,0.6912108722290298,7927,7255,6205
0.5,0.8019597730789066,8921,8549,7775
1.0,1.0,10042,10042,10042
