threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5874616396317405,3234,4008,2680
0.001,0.6010248901903368,3984,4764,3284
0.01,0.6180731889469754,5071,5762,4138
0.05,0.6527298299450198,6119,6807,5105
0.1,0.6742748454588683,6731,7353,5672
0.2,0.7128170745334674,7392,7936,6379
0.5,0.8115912137774569,8646,8921,7870
1.0,1.0,10042,10042,10042
