================ Training Loss (Thu Sep 25 20:11:58 2025) ================
(epoch: 52, iters: 50, time: 0.304, data: 0.318) D_A: 97.050 G_A: 0.170 cycle_A: 13.603 idt_A: 35.901 D_B: 59.938 G_B: 0.130 cycle_B: 15.957 idt_B: 4.960 median_A: 95.878 median_B: 73.201 
(epoch: 54, iters: 50, time: 0.303, data: 0.320) D_A: 107.012 G_A: 0.867 cycle_A: 13.355 idt_A: 35.626 D_B: 78.884 G_B: 6.703 cycle_B: 15.343 idt_B: 4.812 median_A: 95.831 median_B: 72.547 
(epoch: 56, iters: 50, time: 0.305, data: 0.297) D_A: 115.304 G_A: 4.397 cycle_A: 10.795 idt_A: 35.191 D_B: 70.333 G_B: 1.726 cycle_B: 14.846 idt_B: 4.725 median_A: 95.760 median_B: 71.686 
(epoch: 58, iters: 50, time: 0.306, data: 0.247) D_A: 103.811 G_A: 0.108 cycle_A: 9.298 idt_A: 34.776 D_B: 61.828 G_B: 23.860 cycle_B: 14.303 idt_B: 4.681 median_A: 95.751 median_B: 71.107 
(epoch: 60, iters: 50, time: 0.306, data: 0.249) D_A: 79.116 G_A: 0.461 cycle_A: 9.397 idt_A: 34.252 D_B: 48.851 G_B: 1.149 cycle_B: 14.083 idt_B: 4.618 median_A: 95.742 median_B: 70.229 
(epoch: 62, iters: 50, time: 0.306, data: 0.254) D_A: 88.740 G_A: 0.565 cycle_A: 10.336 idt_A: 36.211 D_B: 87.601 G_B: 0.011 cycle_B: 15.496 idt_B: 4.574 median_A: 95.760 median_B: 73.234 
(epoch: 64, iters: 50, time: 0.307, data: 0.296) D_A: 27.601 G_A: 6.298 cycle_A: 9.256 idt_A: 35.514 D_B: 28.337 G_B: 0.364 cycle_B: 14.459 idt_B: 4.524 median_A: 95.667 median_B: 70.930 
(epoch: 66, iters: 50, time: 0.306, data: 0.298) D_A: 3.138 G_A: 1.022 cycle_A: 8.998 idt_A: 35.240 D_B: 13.312 G_B: 0.506 cycle_B: 13.608 idt_B: 4.545 median_A: 95.661 median_B: 70.267 
(epoch: 68, iters: 50, time: 0.307, data: 0.275) D_A: 2.011 G_A: 3.060 cycle_A: 9.586 idt_A: 35.026 D_B: 7.602 G_B: 2.188 cycle_B: 13.189 idt_B: 4.473 median_A: 95.668 median_B: 69.676 
(epoch: 70, iters: 50, time: 0.307, data: 0.296) D_A: 13.207 G_A: 1.366 cycle_A: 9.589 idt_A: 34.886 D_B: 12.720 G_B: 5.075 cycle_B: 12.770 idt_B: 4.426 median_A: 95.683 median_B: 69.584 
