================ Training Loss (Wed Oct  1 14:04:46 2025) ================
(epoch: 236, iters: 10, time: 0.227, data: 0.276) D_A: 35.823 G_A: 0.017 cycle_A: 1.926 idt_A: 3.231 D_B: 46.955 G_B: 0.806 cycle_B: 3.163 idt_B: 1.217 median_A: 11.662 median_B: 24.649 
(epoch: 245, iters: 10, time: 0.227, data: 0.296) D_A: 178.144 G_A: 6.962 cycle_A: 7.238 idt_A: 3.616 D_B: 52.675 G_B: 0.847 cycle_B: 14.804 idt_B: 1.190 median_A: 13.878 median_B: 25.044 
(epoch: 254, iters: 10, time: 0.220, data: 0.297) D_A: 377.479 G_A: 6260.954 cycle_A: 28.766 idt_A: 7.398 D_B: 20.322 G_B: 2.477 cycle_B: 12.302 idt_B: 1.054 median_A: 12.199 median_B: 30.299 
(epoch: 263, iters: 10, time: 0.227, data: 0.301) D_A: 78.280 G_A: 22.358 cycle_A: 6.204 idt_A: 4.010 D_B: 24.936 G_B: 31.102 cycle_B: 17.316 idt_B: 1.379 median_A: 14.934 median_B: 24.951 
(epoch: 272, iters: 10, time: 0.227, data: 0.203) D_A: 22.023 G_A: 0.635 cycle_A: 3.523 idt_A: 3.433 D_B: 2.729 G_B: 1.783 cycle_B: 4.905 idt_B: 1.159 median_A: 12.045 median_B: 24.675 
(epoch: 281, iters: 10, time: 0.226, data: 0.225) D_A: 0.864 G_A: 0.133 cycle_A: 2.308 idt_A: 3.513 D_B: 6.525 G_B: 0.247 cycle_B: 4.639 idt_B: 1.077 median_A: 11.945 median_B: 24.569 
(epoch: 290, iters: 10, time: 0.227, data: 0.217) D_A: 17.114 G_A: 0.059 cycle_A: 1.594 idt_A: 2.860 D_B: 4.261 G_B: 0.801 cycle_B: 2.752 idt_B: 1.076 median_A: 11.598 median_B: 24.489 
(epoch: 299, iters: 10, time: 0.227, data: 0.232) D_A: 18.161 G_A: 0.013 cycle_A: 1.590 idt_A: 2.690 D_B: 0.305 G_B: 0.048 cycle_B: 2.610 idt_B: 1.326 median_A: 11.580 median_B: 24.460 
(epoch: 308, iters: 10, time: 0.225, data: 0.236) D_A: 19.615 G_A: 1.013 cycle_A: 1.638 idt_A: 2.758 D_B: 0.140 G_B: 0.834 cycle_B: 2.549 idt_B: 1.184 median_A: 11.550 median_B: 24.492 
(epoch: 317, iters: 10, time: 0.227, data: 0.248) D_A: 24.788 G_A: 1.137 cycle_A: 1.873 idt_A: 2.711 D_B: 1.916 G_B: 0.892 cycle_B: 8.047 idt_B: 1.084 median_A: 12.271 median_B: 24.436 
(epoch: 326, iters: 10, time: 0.226, data: 0.255) D_A: 21.487 G_A: 0.025 cycle_A: 1.869 idt_A: 2.708 D_B: 0.241 G_B: 0.094 cycle_B: 2.226 idt_B: 1.171 median_A: 11.477 median_B: 24.393 
(epoch: 335, iters: 10, time: 0.224, data: 0.273) D_A: 10.694 G_A: 1.064 cycle_A: 1.314 idt_A: 2.888 D_B: 0.738 G_B: 0.040 cycle_B: 3.289 idt_B: 1.052 median_A: 11.451 median_B: 24.351 
(epoch: 344, iters: 10, time: 0.224, data: 0.262) D_A: 2.105 G_A: 0.018 cycle_A: 1.507 idt_A: 3.294 D_B: 0.417 G_B: 0.358 cycle_B: 2.470 idt_B: 1.302 median_A: 11.481 median_B: 24.372 
(epoch: 353, iters: 10, time: 0.226, data: 0.272) D_A: 0.371 G_A: 0.271 cycle_A: 1.147 idt_A: 3.077 D_B: 0.192 G_B: 0.362 cycle_B: 2.294 idt_B: 1.123 median_A: 11.409 median_B: 24.305 
(epoch: 362, iters: 10, time: 0.225, data: 0.307) D_A: 3.122 G_A: 0.052 cycle_A: 1.324 idt_A: 2.707 D_B: 1.500 G_B: 0.056 cycle_B: 2.356 idt_B: 1.223 median_A: 11.402 median_B: 24.215 
(epoch: 371, iters: 10, time: 0.224, data: 0.337) D_A: 5.591 G_A: 0.394 cycle_A: 1.274 idt_A: 2.736 D_B: 5.902 G_B: 0.003 cycle_B: 1.741 idt_B: 1.194 median_A: 11.358 median_B: 24.113 
(epoch: 380, iters: 10, time: 0.225, data: 0.307) D_A: 11.908 G_A: 0.000 cycle_A: 1.709 idt_A: 2.369 D_B: 15.936 G_B: 0.296 cycle_B: 2.121 idt_B: 1.170 median_A: 11.369 median_B: 24.022 
(epoch: 389, iters: 10, time: 0.224, data: 0.214) D_A: 2.559 G_A: 3.791 cycle_A: 1.926 idt_A: 2.363 D_B: 165.805 G_B: 331.126 cycle_B: 14.198 idt_B: 1.168 median_A: 12.952 median_B: 24.099 
(epoch: 398, iters: 10, time: 0.225, data: 0.201) D_A: 2.648 G_A: 0.008 cycle_A: 1.016 idt_A: 2.359 D_B: 36.263 G_B: 1.033 cycle_B: 5.925 idt_B: 1.159 median_A: 11.400 median_B: 23.966 
(epoch: 407, iters: 10, time: 0.225, data: 0.233) D_A: 4.632 G_A: 2.802 cycle_A: 6.815 idt_A: 2.619 D_B: 45.352 G_B: 23.466 cycle_B: 22.182 idt_B: 1.242 median_A: 14.910 median_B: 24.544 
(epoch: 416, iters: 10, time: 0.225, data: 0.243) D_A: 1.519 G_A: 0.397 cycle_A: 0.933 idt_A: 2.258 D_B: 26.275 G_B: 0.051 cycle_B: 2.936 idt_B: 1.136 median_A: 11.365 median_B: 23.891 
(epoch: 425, iters: 10, time: 0.224, data: 0.241) D_A: 5.541 G_A: 2.433 cycle_A: 1.660 idt_A: 2.173 D_B: 12.086 G_B: 0.308 cycle_B: 2.316 idt_B: 1.090 median_A: 11.366 median_B: 23.885 
(epoch: 434, iters: 10, time: 0.226, data: 0.264) D_A: 5.858 G_A: 16.976 cycle_A: 6.288 idt_A: 2.669 D_B: 347.323 G_B: 5.820 cycle_B: 5.846 idt_B: 1.098 median_A: 11.967 median_B: 23.526 
(epoch: 443, iters: 10, time: 0.226, data: 0.264) D_A: 13.318 G_A: 1.641 cycle_A: 3.238 idt_A: 2.418 D_B: 2.902 G_B: 0.259 cycle_B: 4.339 idt_B: 1.007 median_A: 11.878 median_B: 23.625 
(epoch: 452, iters: 10, time: 0.228, data: 0.272) D_A: 3.291 G_A: 0.087 cycle_A: 1.352 idt_A: 2.472 D_B: 1.316 G_B: 4.837 cycle_B: 4.037 idt_B: 1.233 median_A: 11.214 median_B: 23.630 
(epoch: 461, iters: 10, time: 0.227, data: 0.278) D_A: 7.576 G_A: 0.021 cycle_A: 2.135 idt_A: 2.225 D_B: 20.775 G_B: 54.920 cycle_B: 6.131 idt_B: 1.052 median_A: 12.619 median_B: 23.349 
(epoch: 470, iters: 10, time: 0.227, data: 0.265) D_A: 7.130 G_A: 0.029 cycle_A: 1.172 idt_A: 2.059 D_B: 0.058 G_B: 0.666 cycle_B: 2.542 idt_B: 1.078 median_A: 11.960 median_B: 23.335 
(epoch: 479, iters: 10, time: 0.224, data: 0.301) D_A: 7.046 G_A: 0.427 cycle_A: 1.007 idt_A: 2.024 D_B: 0.335 G_B: 0.191 cycle_B: 3.561 idt_B: 1.006 median_A: 11.676 median_B: 23.266 
(epoch: 488, iters: 10, time: 0.227, data: 0.319) D_A: 6.882 G_A: 0.315 cycle_A: 1.504 idt_A: 2.070 D_B: 0.649 G_B: 0.019 cycle_B: 3.337 idt_B: 0.971 median_A: 11.747 median_B: 23.156 
(epoch: 497, iters: 10, time: 0.226, data: 0.217) D_A: 6.195 G_A: 0.051 cycle_A: 1.657 idt_A: 2.046 D_B: 0.820 G_B: 2.013 cycle_B: 3.784 idt_B: 1.148 median_A: 11.746 median_B: 23.119 
(epoch: 506, iters: 10, time: 0.227, data: 0.223) D_A: 6.352 G_A: 0.806 cycle_A: 1.092 idt_A: 2.067 D_B: 0.012 G_B: 0.102 cycle_B: 3.171 idt_B: 1.067 median_A: 11.668 median_B: 23.153 
(epoch: 515, iters: 10, time: 0.227, data: 0.224) D_A: 5.569 G_A: 0.813 cycle_A: 1.177 idt_A: 1.967 D_B: 0.120 G_B: 0.260 cycle_B: 2.159 idt_B: 1.036 median_A: 11.682 median_B: 23.081 
(epoch: 524, iters: 10, time: 0.225, data: 0.245) D_A: 2.734 G_A: 3.646 cycle_A: 1.450 idt_A: 2.046 D_B: 0.076 G_B: 1.143 cycle_B: 1.869 idt_B: 1.083 median_A: 11.680 median_B: 22.926 
(epoch: 533, iters: 10, time: 0.227, data: 0.260) D_A: 0.548 G_A: 0.001 cycle_A: 2.165 idt_A: 2.072 D_B: 18.480 G_B: 7.044 cycle_B: 2.849 idt_B: 1.038 median_A: 12.703 median_B: 22.794 
(epoch: 542, iters: 10, time: 0.227, data: 0.251) D_A: 3.005 G_A: 0.506 cycle_A: 1.046 idt_A: 1.966 D_B: 4.371 G_B: 0.011 cycle_B: 1.493 idt_B: 0.959 median_A: 11.382 median_B: 22.705 
(epoch: 551, iters: 10, time: 0.226, data: 0.265) D_A: 23.834 G_A: 2.466 cycle_A: 1.767 idt_A: 1.963 D_B: 5.364 G_B: 0.709 cycle_B: 2.211 idt_B: 1.091 median_A: 11.200 median_B: 22.548 
(epoch: 560, iters: 10, time: 0.227, data: 0.247) D_A: 0.041 G_A: 0.048 cycle_A: 2.484 idt_A: 2.089 D_B: 1.883 G_B: 0.465 cycle_B: 2.134 idt_B: 1.003 median_A: 11.157 median_B: 22.759 
(epoch: 569, iters: 10, time: 0.228, data: 0.261) D_A: 1.282 G_A: 2.496 cycle_A: 4.803 idt_A: 2.092 D_B: 0.630 G_B: 0.294 cycle_B: 3.153 idt_B: 0.894 median_A: 11.878 median_B: 22.451 
(epoch: 578, iters: 10, time: 0.226, data: 0.295) D_A: 12.809 G_A: 4.766 cycle_A: 1.505 idt_A: 2.094 D_B: 1.191 G_B: 0.908 cycle_B: 2.655 idt_B: 0.925 median_A: 11.130 median_B: 22.471 
(epoch: 587, iters: 10, time: 0.226, data: 0.486) D_A: 1.535 G_A: 0.301 cycle_A: 0.741 idt_A: 2.023 D_B: 3.099 G_B: 0.010 cycle_B: 2.005 idt_B: 0.980 median_A: 11.106 median_B: 22.907 
(epoch: 596, iters: 10, time: 0.225, data: 0.463) D_A: 3.073 G_A: 0.338 cycle_A: 1.261 idt_A: 1.988 D_B: 12.843 G_B: 0.132 cycle_B: 1.655 idt_B: 1.062 median_A: 11.092 median_B: 22.834 
