================ Training Loss (Wed Mar 18 20:52:06 2026) ================
(epoch: 1, iters: 0, time: 2.718, data: 0.024) G_A: 20.968 G_B: 12.787 D_A: 7.297 D_B: 4.282 cycle_A: 31.113 cycle_B: 29.894 feedback_A: 16.532 feedback_B: 16.861 idt_A: 8.203 idt_B: 8.524 
(epoch: 1, iters: 10, time: 0.008, data: 0.001) G_A: 34.003 G_B: 221.215 D_A: 12.395 D_B: 126.118 cycle_A: 9.519 cycle_B: 10.776 feedback_A: 12.156 feedback_B: 11.731 idt_A: 5.515 idt_B: 5.791 
(epoch: 1, iters: 20, time: 0.008, data: 0.001) G_A: 126.991 G_B: 95.982 D_A: 75.377 D_B: 45.594 cycle_A: 7.045 cycle_B: 7.704 feedback_A: 10.926 feedback_B: 10.818 idt_A: 4.818 idt_B: 5.077 
(epoch: 1, iters: 30, time: 0.008, data: 0.001) G_A: 28.331 G_B: 24.992 D_A: 9.491 D_B: 19.965 cycle_A: 5.786 cycle_B: 6.481 feedback_A: 9.687 feedback_B: 9.589 idt_A: 4.333 idt_B: 4.311 
(epoch: 1, iters: 40, time: 0.008, data: 0.001) G_A: 0.160 G_B: 0.037 D_A: 2.375 D_B: 0.884 cycle_A: 6.186 cycle_B: 5.317 feedback_A: 9.774 feedback_B: 9.756 idt_A: 3.763 idt_B: 3.943 
(epoch: 1, iters: 50, time: 0.008, data: 0.001) G_A: 29.370 G_B: 1.569 D_A: 11.525 D_B: 28.159 cycle_A: 5.285 cycle_B: 4.522 feedback_A: 9.412 feedback_B: 9.347 idt_A: 3.132 idt_B: 3.424 
(epoch: 1, iters: 60, time: 0.008, data: 0.001) G_A: 14.497 G_B: 12.473 D_A: 19.006 D_B: 9.853 cycle_A: 5.187 cycle_B: 5.012 feedback_A: 9.385 feedback_B: 8.765 idt_A: 2.979 idt_B: 2.827 
(epoch: 1, iters: 70, time: 0.008, data: 0.001) G_A: 0.892 G_B: 0.023 D_A: 0.146 D_B: 42.711 cycle_A: 4.292 cycle_B: 4.030 feedback_A: 8.801 feedback_B: 8.452 idt_A: 2.513 idt_B: 2.432 
(epoch: 1, iters: 80, time: 0.008, data: 0.001) G_A: 65.964 G_B: 0.112 D_A: 29.701 D_B: 136.241 cycle_A: 5.692 cycle_B: 3.530 feedback_A: 8.796 feedback_B: 8.633 idt_A: 2.551 idt_B: 2.545 
(epoch: 1, iters: 90, time: 0.008, data: 0.001) G_A: 5.417 G_B: 1.024 D_A: 1.777 D_B: 1.542 cycle_A: 4.491 cycle_B: 4.472 feedback_A: 9.042 feedback_B: 8.468 idt_A: 2.130 idt_B: 2.985 
(epoch: 2, iters: 0, time: 0.008, data: 0.001) G_A: 1.211 G_B: 0.173 D_A: 9.456 D_B: 1.199 cycle_A: 4.652 cycle_B: 3.521 feedback_A: 8.680 feedback_B: 8.164 idt_A: 2.004 idt_B: 2.129 
(epoch: 2, iters: 10, time: 0.008, data: 0.001) G_A: 0.120 G_B: 1.948 D_A: 1.247 D_B: 29.280 cycle_A: 2.923 cycle_B: 3.363 feedback_A: 8.193 feedback_B: 8.185 idt_A: 1.769 idt_B: 1.780 
(epoch: 2, iters: 20, time: 0.008, data: 0.001) G_A: 1.435 G_B: 0.000 D_A: 5.631 D_B: 111.678 cycle_A: 3.908 cycle_B: 2.883 feedback_A: 8.524 feedback_B: 8.438 idt_A: 1.576 idt_B: 2.016 
(epoch: 2, iters: 30, time: 0.008, data: 0.001) G_A: 0.371 G_B: 0.095 D_A: 4.817 D_B: 8.452 cycle_A: 3.702 cycle_B: 3.347 feedback_A: 8.519 feedback_B: 7.875 idt_A: 1.680 idt_B: 1.679 
(epoch: 2, iters: 40, time: 0.008, data: 0.001) G_A: 7.542 G_B: 3.039 D_A: 13.657 D_B: 10.496 cycle_A: 3.290 cycle_B: 3.332 feedback_A: 8.344 feedback_B: 7.981 idt_A: 1.639 idt_B: 1.809 
(epoch: 2, iters: 50, time: 0.008, data: 0.002) G_A: 1.597 G_B: 0.585 D_A: 0.922 D_B: 0.669 cycle_A: 3.021 cycle_B: 2.873 feedback_A: 8.377 feedback_B: 7.780 idt_A: 1.403 idt_B: 1.560 
(epoch: 2, iters: 60, time: 0.008, data: 0.001) G_A: 1.202 G_B: 0.227 D_A: 10.368 D_B: 3.708 cycle_A: 2.917 cycle_B: 3.482 feedback_A: 8.591 feedback_B: 7.980 idt_A: 1.783 idt_B: 1.603 
(epoch: 2, iters: 70, time: 0.008, data: 0.001) G_A: 5.021 G_B: 0.098 D_A: 0.800 D_B: 19.775 cycle_A: 4.193 cycle_B: 2.826 feedback_A: 8.171 feedback_B: 8.019 idt_A: 1.325 idt_B: 1.869 
(epoch: 2, iters: 80, time: 0.008, data: 0.001) G_A: 281.853 G_B: 76.596 D_A: 155.218 D_B: 98.807 cycle_A: 6.018 cycle_B: 4.931 feedback_A: 7.770 feedback_B: 7.898 idt_A: 1.948 idt_B: 2.112 
(epoch: 2, iters: 90, time: 0.008, data: 0.001) G_A: 7.431 G_B: 191.591 D_A: 7.430 D_B: 126.582 cycle_A: 6.503 cycle_B: 9.460 feedback_A: 8.707 feedback_B: 7.993 idt_A: 2.709 idt_B: 3.252 
(epoch: 3, iters: 0, time: 0.008, data: 0.001) G_A: 0.569 G_B: 0.729 D_A: 0.421 D_B: 7.639 cycle_A: 3.927 cycle_B: 4.626 feedback_A: 8.209 feedback_B: 7.857 idt_A: 2.142 idt_B: 2.314 
(epoch: 3, iters: 10, time: 0.008, data: 0.001) G_A: 53.078 G_B: 0.001 D_A: 34.561 D_B: 4.620 cycle_A: 6.821 cycle_B: 5.495 feedback_A: 7.937 feedback_B: 8.457 idt_A: 2.337 idt_B: 2.165 
(epoch: 3, iters: 20, time: 0.008, data: 0.001) G_A: 0.490 G_B: 0.001 D_A: 1.473 D_B: 1.743 cycle_A: 3.584 cycle_B: 4.582 feedback_A: 8.239 feedback_B: 7.947 idt_A: 2.011 idt_B: 2.152 
(epoch: 3, iters: 30, time: 0.008, data: 0.001) G_A: 1.505 G_B: 0.684 D_A: 5.311 D_B: 0.783 cycle_A: 4.829 cycle_B: 4.095 feedback_A: 8.157 feedback_B: 7.833 idt_A: 1.627 idt_B: 2.649 
(epoch: 3, iters: 40, time: 0.008, data: 0.001) G_A: 0.178 G_B: 0.078 D_A: 0.405 D_B: 1.967 cycle_A: 2.301 cycle_B: 2.478 feedback_A: 7.672 feedback_B: 7.828 idt_A: 1.344 idt_B: 1.422 
(epoch: 3, iters: 50, time: 0.008, data: 0.001) G_A: 0.436 G_B: 1.773 D_A: 4.292 D_B: 6.082 cycle_A: 2.987 cycle_B: 3.245 feedback_A: 7.680 feedback_B: 7.827 idt_A: 1.427 idt_B: 1.622 
(epoch: 3, iters: 60, time: 0.008, data: 0.001) G_A: 0.296 G_B: 0.157 D_A: 3.184 D_B: 6.469 cycle_A: 3.556 cycle_B: 3.352 feedback_A: 7.719 feedback_B: 7.442 idt_A: 1.382 idt_B: 1.503 
(epoch: 3, iters: 70, time: 0.008, data: 0.001) G_A: 0.046 G_B: 0.006 D_A: 0.592 D_B: 0.786 cycle_A: 3.868 cycle_B: 2.428 feedback_A: 7.720 feedback_B: 7.954 idt_A: 1.487 idt_B: 1.824 
(epoch: 3, iters: 80, time: 0.008, data: 0.001) G_A: 2.192 G_B: 0.178 D_A: 0.282 D_B: 5.113 cycle_A: 3.194 cycle_B: 2.355 feedback_A: 7.564 feedback_B: 7.611 idt_A: 1.385 idt_B: 1.644 
(epoch: 3, iters: 90, time: 0.008, data: 0.001) G_A: 0.310 G_B: 3.371 D_A: 0.104 D_B: 8.484 cycle_A: 2.689 cycle_B: 4.641 feedback_A: 7.414 feedback_B: 7.350 idt_A: 1.672 idt_B: 1.521 
(epoch: 4, iters: 0, time: 0.008, data: 0.001) G_A: 7.767 G_B: 39.069 D_A: 2.050 D_B: 26.356 cycle_A: 4.727 cycle_B: 2.495 feedback_A: 7.627 feedback_B: 7.407 idt_A: 1.564 idt_B: 1.719 
(epoch: 4, iters: 10, time: 0.008, data: 0.001) G_A: 0.016 G_B: 2.109 D_A: 0.633 D_B: 1.978 cycle_A: 4.957 cycle_B: 5.854 feedback_A: 7.410 feedback_B: 7.694 idt_A: 1.876 idt_B: 2.164 
(epoch: 4, iters: 20, time: 0.008, data: 0.001) G_A: 77.680 G_B: 10.028 D_A: 48.160 D_B: 8.955 cycle_A: 6.759 cycle_B: 5.257 feedback_A: 8.014 feedback_B: 7.863 idt_A: 2.155 idt_B: 2.303 
(epoch: 4, iters: 30, time: 0.008, data: 0.001) G_A: 25.536 G_B: 2.789 D_A: 8.280 D_B: 10.220 cycle_A: 6.270 cycle_B: 3.905 feedback_A: 8.633 feedback_B: 7.775 idt_A: 2.230 idt_B: 1.862 
(epoch: 4, iters: 40, time: 0.008, data: 0.001) G_A: 32.379 G_B: 0.000 D_A: 11.030 D_B: 1.351 cycle_A: 4.298 cycle_B: 3.257 feedback_A: 8.223 feedback_B: 7.457 idt_A: 1.557 idt_B: 1.885 
(epoch: 4, iters: 50, time: 0.008, data: 0.001) G_A: 0.040 G_B: 0.005 D_A: 1.986 D_B: 2.870 cycle_A: 3.239 cycle_B: 2.645 feedback_A: 8.020 feedback_B: 7.604 idt_A: 1.287 idt_B: 1.566 
(epoch: 4, iters: 60, time: 0.008, data: 0.001) G_A: 0.167 G_B: 0.038 D_A: 1.231 D_B: 1.826 cycle_A: 5.422 cycle_B: 2.232 feedback_A: 7.196 feedback_B: 7.038 idt_A: 1.578 idt_B: 1.371 
(epoch: 4, iters: 70, time: 0.008, data: 0.001) G_A: 2.021 G_B: 0.144 D_A: 0.301 D_B: 0.498 cycle_A: 2.221 cycle_B: 2.396 feedback_A: 7.178 feedback_B: 7.492 idt_A: 1.387 idt_B: 1.304 
(epoch: 4, iters: 80, time: 0.008, data: 0.001) G_A: 0.512 G_B: 2.462 D_A: 0.168 D_B: 4.101 cycle_A: 2.358 cycle_B: 2.816 feedback_A: 7.292 feedback_B: 7.340 idt_A: 1.172 idt_B: 1.358 
(epoch: 4, iters: 90, time: 0.008, data: 0.001) G_A: 0.185 G_B: 2.224 D_A: 1.554 D_B: 0.193 cycle_A: 3.577 cycle_B: 2.229 feedback_A: 7.411 feedback_B: 7.565 idt_A: 1.151 idt_B: 1.543 
(epoch: 5, iters: 0, time: 0.008, data: 0.001) G_A: 0.821 G_B: 0.006 D_A: 2.083 D_B: 7.979 cycle_A: 2.258 cycle_B: 2.330 feedback_A: 7.600 feedback_B: 7.181 idt_A: 1.453 idt_B: 1.136 
(epoch: 5, iters: 10, time: 0.008, data: 0.001) G_A: 0.138 G_B: 3.433 D_A: 2.156 D_B: 6.934 cycle_A: 2.219 cycle_B: 2.565 feedback_A: 7.153 feedback_B: 7.170 idt_A: 1.265 idt_B: 1.304 
(epoch: 5, iters: 20, time: 0.008, data: 0.001) G_A: 0.538 G_B: 2.049 D_A: 0.340 D_B: 2.926 cycle_A: 2.599 cycle_B: 1.993 feedback_A: 7.184 feedback_B: 7.747 idt_A: 1.364 idt_B: 1.102 
(epoch: 5, iters: 30, time: 0.008, data: 0.001) G_A: 1.527 G_B: 3.578 D_A: 0.029 D_B: 1.301 cycle_A: 2.407 cycle_B: 3.384 feedback_A: 7.401 feedback_B: 7.757 idt_A: 1.540 idt_B: 1.148 
(epoch: 5, iters: 40, time: 0.008, data: 0.001) G_A: 0.234 G_B: 0.187 D_A: 0.478 D_B: 0.611 cycle_A: 2.659 cycle_B: 1.562 feedback_A: 7.150 feedback_B: 7.808 idt_A: 1.026 idt_B: 1.085 
(epoch: 5, iters: 50, time: 0.008, data: 0.001) G_A: 16.494 G_B: 0.324 D_A: 4.687 D_B: 0.099 cycle_A: 2.777 cycle_B: 2.457 feedback_A: 7.162 feedback_B: 7.750 idt_A: 1.162 idt_B: 1.362 
(epoch: 5, iters: 60, time: 0.008, data: 0.001) G_A: 0.784 G_B: 12.637 D_A: 0.261 D_B: 7.226 cycle_A: 2.686 cycle_B: 5.360 feedback_A: 8.033 feedback_B: 7.441 idt_A: 1.591 idt_B: 1.265 
(epoch: 5, iters: 70, time: 0.008, data: 0.001) G_A: 1.296 G_B: 0.591 D_A: 0.034 D_B: 1.940 cycle_A: 3.974 cycle_B: 4.807 feedback_A: 7.585 feedback_B: 7.075 idt_A: 1.769 idt_B: 1.455 
