================ Training Loss (Fri Sep 19 16:46:06 2025) ================
(epoch: 52, iters: 50, time: 0.037, data: 0.127) D_A: 0.046 G_A: 0.148 cycle_A: 3.055 idt_A: 2.032 D_B: 2.398 G_B: 3.576 cycle_B: 4.023 idt_B: 1.655 median_A: 8.742 median_B: 6.611 
(epoch: 54, iters: 50, time: 0.036, data: 0.125) D_A: 0.149 G_A: 0.045 cycle_A: 4.777 idt_A: 2.035 D_B: 4.518 G_B: 4.537 cycle_B: 4.195 idt_B: 1.684 median_A: 7.396 median_B: 6.414 
(epoch: 56, iters: 50, time: 0.037, data: 0.137) D_A: 0.843 G_A: 0.079 cycle_A: 3.172 idt_A: 2.003 D_B: 11.121 G_B: 17.386 cycle_B: 4.138 idt_B: 1.975 median_A: 6.904 median_B: 6.581 
(epoch: 58, iters: 50, time: 0.037, data: 0.126) D_A: 2.881 G_A: 1.422 cycle_A: 3.432 idt_A: 2.001 D_B: 14.964 G_B: 18.244 cycle_B: 4.561 idt_B: 1.605 median_A: 6.208 median_B: 6.197 
(epoch: 60, iters: 50, time: 0.037, data: 0.129) D_A: 0.013 G_A: 0.042 cycle_A: 4.957 idt_A: 1.996 D_B: 0.620 G_B: 0.000 cycle_B: 5.001 idt_B: 1.796 median_A: 6.617 median_B: 6.180 
(epoch: 62, iters: 50, time: 0.037, data: 0.127) D_A: 2.220 G_A: 0.961 cycle_A: 3.562 idt_A: 1.931 D_B: 0.475 G_B: 0.542 cycle_B: 4.501 idt_B: 1.880 median_A: 6.353 median_B: 5.989 
(epoch: 64, iters: 50, time: 0.037, data: 0.123) D_A: 0.659 G_A: 0.010 cycle_A: 4.447 idt_A: 1.931 D_B: 4.812 G_B: 3.589 cycle_B: 4.283 idt_B: 1.732 median_A: 5.080 median_B: 4.621 
(epoch: 66, iters: 50, time: 0.037, data: 0.128) D_A: 2.276 G_A: 1.714 cycle_A: 3.553 idt_A: 1.931 D_B: 0.494 G_B: 0.678 cycle_B: 4.276 idt_B: 1.875 median_A: 5.344 median_B: 5.746 
(epoch: 68, iters: 50, time: 0.037, data: 0.128) D_A: 1.850 G_A: 0.736 cycle_A: 3.914 idt_A: 1.938 D_B: 2.915 G_B: 7.223 cycle_B: 4.229 idt_B: 1.882 median_A: 3.412 median_B: 4.405 
(epoch: 70, iters: 50, time: 0.037, data: 0.125) D_A: 1.011 G_A: 0.169 cycle_A: 4.481 idt_A: 1.923 D_B: 2.319 G_B: 1.564 cycle_B: 3.917 idt_B: 1.574 median_A: 3.147 median_B: 3.897 
