================ Training Loss (Sun Sep 21 01:28:48 2025) ================
(epoch: 26, iters: 100, time: 0.233, data: 0.212) D_A: 58.428 G_A: 93.424 cycle_A: 5.567 idt_A: 18.816 D_B: 0.198 G_B: 0.137 cycle_B: 9.050 idt_B: 3.391 median_A: 12.273 median_B: 68.030 
(epoch: 27, iters: 100, time: 0.234, data: 0.236) D_A: 8.384 G_A: 0.023 cycle_A: 5.327 idt_A: 16.822 D_B: 3.472 G_B: 0.342 cycle_B: 9.163 idt_B: 3.382 median_A: 11.993 median_B: 67.370 
(epoch: 28, iters: 100, time: 0.234, data: 0.235) D_A: 107.672 G_A: 65.008 cycle_A: 5.455 idt_A: 14.691 D_B: 0.489 G_B: 0.000 cycle_B: 12.260 idt_B: 3.483 median_A: 13.232 median_B: 69.352 
(epoch: 29, iters: 100, time: 0.234, data: 0.206) D_A: 112.745 G_A: 1.408 cycle_A: 8.351 idt_A: 14.291 D_B: 8.128 G_B: 15.686 cycle_B: 13.568 idt_B: 3.207 median_A: 12.488 median_B: 70.625 
(epoch: 30, iters: 100, time: 0.234, data: 0.206) D_A: 187.072 G_A: 336.280 cycle_A: 9.609 idt_A: 13.879 D_B: 1.603 G_B: 2.127 cycle_B: 9.309 idt_B: 3.077 median_A: 12.435 median_B: 70.955 
(epoch: 31, iters: 100, time: 0.234, data: 0.205) D_A: 4122.869 G_A: 1884.363 cycle_A: 18.879 idt_A: 15.140 D_B: 11.103 G_B: 93.207 cycle_B: 10.470 idt_B: 3.035 median_A: 16.340 median_B: 70.400 
(epoch: 32, iters: 100, time: 0.235, data: 0.241) D_A: 5.758 G_A: 0.113 cycle_A: 6.153 idt_A: 13.635 D_B: 1.317 G_B: 0.370 cycle_B: 9.719 idt_B: 2.952 median_A: 13.133 median_B: 68.986 
(epoch: 33, iters: 100, time: 0.235, data: 0.206) D_A: 52.286 G_A: 77.485 cycle_A: 5.153 idt_A: 14.586 D_B: 0.203 G_B: 0.571 cycle_B: 10.010 idt_B: 2.981 median_A: 12.219 median_B: 69.509 
(epoch: 34, iters: 100, time: 0.233, data: 0.190) D_A: 3302.507 G_A: 6442.530 cycle_A: 15.709 idt_A: 17.427 D_B: 1.374 G_B: 0.186 cycle_B: 9.086 idt_B: 2.905 median_A: 12.006 median_B: 70.504 
(epoch: 35, iters: 100, time: 0.235, data: 0.212) D_A: 31.348 G_A: 155.998 cycle_A: 5.014 idt_A: 15.447 D_B: 0.905 G_B: 0.377 cycle_B: 7.775 idt_B: 2.894 median_A: 11.912 median_B: 67.752 
