================ Training Loss (Thu Sep 18 19:27:13 2025) ================
(epoch: 130, iters: 20, time: 0.219, data: 0.359) D_A: 46.301 G_A: 0.002 cycle_A: 1.234 idt_A: 4.115 D_B: 19.074 G_B: 0.212 cycle_B: 4.997 idt_B: 1.162 median_A: 10.638 median_B: 27.486 
(epoch: 135, iters: 20, time: 0.224, data: 0.392) D_A: 17.484 G_A: 5.174 cycle_A: 1.153 idt_A: 3.948 D_B: 1.440 G_B: 0.011 cycle_B: 5.372 idt_B: 1.230 median_A: 10.734 median_B: 27.468 
(epoch: 140, iters: 20, time: 0.221, data: 0.344) D_A: 2.302 G_A: 0.315 cycle_A: 1.167 idt_A: 4.369 D_B: 6.830 G_B: 0.391 cycle_B: 3.982 idt_B: 1.083 median_A: 10.625 median_B: 27.369 
(epoch: 145, iters: 20, time: 0.221, data: 0.415) D_A: 4.341 G_A: 1.821 cycle_A: 1.293 idt_A: 4.472 D_B: 2.200 G_B: 0.619 cycle_B: 3.700 idt_B: 1.161 median_A: 10.727 median_B: 27.375 
(epoch: 150, iters: 20, time: 0.221, data: 0.323) D_A: 13.778 G_A: 0.057 cycle_A: 1.293 idt_A: 4.620 D_B: 11.640 G_B: 1.016 cycle_B: 4.018 idt_B: 1.305 median_A: 10.731 median_B: 27.296 
(epoch: 155, iters: 20, time: 0.221, data: 0.359) D_A: 16.676 G_A: 0.006 cycle_A: 1.253 idt_A: 4.203 D_B: 3.575 G_B: 0.068 cycle_B: 3.439 idt_B: 1.279 median_A: 10.769 median_B: 27.181 
(epoch: 160, iters: 20, time: 0.226, data: 0.349) D_A: 20.544 G_A: 48.831 cycle_A: 5.828 idt_A: 3.960 D_B: 5.158 G_B: 3.342 cycle_B: 4.735 idt_B: 1.124 median_A: 11.004 median_B: 27.852 
(epoch: 165, iters: 20, time: 0.220, data: 0.362) D_A: 12.522 G_A: 0.605 cycle_A: 2.053 idt_A: 3.555 D_B: 0.703 G_B: 0.011 cycle_B: 3.772 idt_B: 1.275 median_A: 10.657 median_B: 27.596 
(epoch: 170, iters: 20, time: 0.213, data: 0.346) D_A: 2.259 G_A: 0.253 cycle_A: 2.030 idt_A: 3.652 D_B: 24.215 G_B: 7.917 cycle_B: 6.698 idt_B: 1.208 median_A: 10.881 median_B: 27.486 
(epoch: 175, iters: 20, time: 0.221, data: 0.435) D_A: 3.731 G_A: 0.013 cycle_A: 1.194 idt_A: 3.526 D_B: 1.761 G_B: 0.149 cycle_B: 4.890 idt_B: 1.030 median_A: 10.806 median_B: 27.505 
(epoch: 180, iters: 20, time: 0.220, data: 0.418) D_A: 9.721 G_A: 3.946 cycle_A: 1.279 idt_A: 3.511 D_B: 1.579 G_B: 0.235 cycle_B: 4.478 idt_B: 1.191 median_A: 10.669 median_B: 27.446 
(epoch: 185, iters: 20, time: 0.221, data: 0.414) D_A: 21.334 G_A: 0.001 cycle_A: 0.884 idt_A: 3.388 D_B: 35.856 G_B: 0.493 cycle_B: 4.109 idt_B: 1.179 median_A: 10.802 median_B: 27.399 
(epoch: 190, iters: 20, time: 0.221, data: 0.412) D_A: 29.093 G_A: 0.187 cycle_A: 1.165 idt_A: 3.283 D_B: 22.946 G_B: 0.023 cycle_B: 4.630 idt_B: 1.240 median_A: 10.657 median_B: 27.347 
(epoch: 195, iters: 20, time: 0.221, data: 0.413) D_A: 10.543 G_A: 0.462 cycle_A: 1.119 idt_A: 3.297 D_B: 6.649 G_B: 0.256 cycle_B: 4.415 idt_B: 1.450 median_A: 10.636 median_B: 27.306 
(epoch: 200, iters: 20, time: 0.222, data: 0.342) D_A: 3.863 G_A: 0.468 cycle_A: 1.430 idt_A: 3.310 D_B: 18.417 G_B: 0.005 cycle_B: 7.379 idt_B: 1.312 median_A: 10.759 median_B: 27.262 
(epoch: 205, iters: 20, time: 0.221, data: 0.734) D_A: 61.576 G_A: 0.468 cycle_A: 0.912 idt_A: 3.380 D_B: 0.463 G_B: 0.118 cycle_B: 7.403 idt_B: 1.329 median_A: 10.538 median_B: 27.184 
(epoch: 210, iters: 20, time: 0.220, data: 0.859) D_A: 40.091 G_A: 0.140 cycle_A: 1.397 idt_A: 3.367 D_B: 4.592 G_B: 0.528 cycle_B: 5.302 idt_B: 1.196 median_A: 10.758 median_B: 27.218 
(epoch: 215, iters: 20, time: 0.221, data: 0.766) D_A: 8.118 G_A: 0.494 cycle_A: 1.097 idt_A: 3.209 D_B: 0.917 G_B: 0.053 cycle_B: 3.487 idt_B: 1.290 median_A: 10.584 median_B: 27.250 
(epoch: 220, iters: 20, time: 0.221, data: 0.849) D_A: 6.890 G_A: 0.544 cycle_A: 1.524 idt_A: 3.348 D_B: 3.776 G_B: 0.144 cycle_B: 4.001 idt_B: 1.270 median_A: 10.681 median_B: 27.201 
(epoch: 225, iters: 20, time: 0.222, data: 0.828) D_A: 13.192 G_A: 1.342 cycle_A: 0.748 idt_A: 3.577 D_B: 0.720 G_B: 0.014 cycle_B: 3.420 idt_B: 1.091 median_A: 10.613 median_B: 27.086 
(epoch: 230, iters: 20, time: 0.221, data: 0.817) D_A: 12.289 G_A: 0.230 cycle_A: 0.833 idt_A: 3.374 D_B: 3.800 G_B: 0.005 cycle_B: 7.277 idt_B: 1.172 median_A: 10.529 median_B: 27.116 
(epoch: 235, iters: 20, time: 0.222, data: 0.817) D_A: 8.484 G_A: 0.232 cycle_A: 0.863 idt_A: 3.187 D_B: 0.752 G_B: 0.013 cycle_B: 10.651 idt_B: 1.177 median_A: 10.442 median_B: 26.977 
(epoch: 240, iters: 20, time: 0.222, data: 0.756) D_A: 4.534 G_A: 0.963 cycle_A: 0.974 idt_A: 3.206 D_B: 4.945 G_B: 0.253 cycle_B: 4.369 idt_B: 1.207 median_A: 10.632 median_B: 26.958 
(epoch: 245, iters: 20, time: 0.221, data: 0.826) D_A: 1.547 G_A: 1.082 cycle_A: 1.395 idt_A: 2.989 D_B: 0.122 G_B: 0.482 cycle_B: 5.629 idt_B: 1.186 median_A: 10.520 median_B: 26.881 
(epoch: 250, iters: 20, time: 0.221, data: 0.826) D_A: 0.588 G_A: 0.005 cycle_A: 2.098 idt_A: 2.922 D_B: 5.411 G_B: 0.026 cycle_B: 8.284 idt_B: 1.275 median_A: 10.472 median_B: 26.895 
(epoch: 255, iters: 20, time: 0.221, data: 0.826) D_A: 1.130 G_A: 1.609 cycle_A: 2.014 idt_A: 2.636 D_B: 2.101 G_B: 0.629 cycle_B: 9.947 idt_B: 1.117 median_A: 10.442 median_B: 26.680 
(epoch: 260, iters: 20, time: 0.221, data: 0.715) D_A: 6.309 G_A: 4.601 cycle_A: 8.315 idt_A: 3.437 D_B: 16.655 G_B: 0.037 cycle_B: 7.887 idt_B: 1.049 median_A: 10.994 median_B: 27.482 
(epoch: 265, iters: 20, time: 0.220, data: 0.767) D_A: 2.498 G_A: 0.814 cycle_A: 4.735 idt_A: 2.711 D_B: 0.173 G_B: 0.300 cycle_B: 4.448 idt_B: 1.097 median_A: 10.519 median_B: 27.223 
(epoch: 270, iters: 20, time: 0.221, data: 0.735) D_A: 0.040 G_A: 0.690 cycle_A: 3.931 idt_A: 2.490 D_B: 5.145 G_B: 0.305 cycle_B: 3.589 idt_B: 1.109 median_A: 10.542 median_B: 27.206 
(epoch: 275, iters: 20, time: 0.220, data: 0.823) D_A: 0.004 G_A: 0.832 cycle_A: 3.318 idt_A: 2.535 D_B: 2.805 G_B: 0.104 cycle_B: 5.326 idt_B: 1.085 median_A: 10.458 median_B: 27.136 
(epoch: 280, iters: 20, time: 0.221, data: 0.799) D_A: 0.249 G_A: 0.087 cycle_A: 2.972 idt_A: 2.601 D_B: 4.774 G_B: 0.381 cycle_B: 4.534 idt_B: 1.034 median_A: 10.494 median_B: 26.531 
(epoch: 285, iters: 20, time: 0.221, data: 0.801) D_A: 1.457 G_A: 1.140 cycle_A: 2.650 idt_A: 2.642 D_B: 4.886 G_B: 0.127 cycle_B: 3.614 idt_B: 1.045 median_A: 10.505 median_B: 25.563 
(epoch: 290, iters: 20, time: 0.221, data: 0.838) D_A: 2.592 G_A: 1.186 cycle_A: 3.177 idt_A: 2.475 D_B: 4.349 G_B: 0.317 cycle_B: 3.592 idt_B: 0.936 median_A: 10.562 median_B: 23.256 
(epoch: 295, iters: 20, time: 0.221, data: 0.780) D_A: 4.048 G_A: 0.001 cycle_A: 3.631 idt_A: 2.505 D_B: 5.439 G_B: 0.424 cycle_B: 11.324 idt_B: 1.116 median_A: 10.746 median_B: 19.589 
