================ Training Loss (Wed Mar 18 13:37:24 2026) ================
(epoch: 1, iters: 0, time: 0.404, data: 0.004) G_A: 63.052 G_B: 2.341 D_A: 136.711 D_B: 10.618 cycle_A: 40.805 cycle_B: 54.139 feedback_A: 39.693 feedback_B: 36.875 idt_A: 21.526 idt_B: 16.458 
(epoch: 1, iters: 10, time: 0.008, data: 0.001) G_A: 97.090 G_B: 95.221 D_A: 43.676 D_B: 58.403 cycle_A: 9.235 cycle_B: 13.699 feedback_A: 30.582 feedback_B: 30.746 idt_A: 14.623 idt_B: 8.827 
(epoch: 1, iters: 20, time: 0.008, data: 0.001) G_A: 17.005 G_B: 11.966 D_A: 13.760 D_B: 9.943 cycle_A: 5.318 cycle_B: 8.438 feedback_A: 27.947 feedback_B: 27.798 idt_A: 12.207 idt_B: 5.898 
(epoch: 1, iters: 30, time: 0.008, data: 0.001) G_A: 2.752 G_B: 0.247 D_A: 4.576 D_B: 1.122 cycle_A: 3.926 cycle_B: 6.200 feedback_A: 27.699 feedback_B: 25.692 idt_A: 9.661 idt_B: 3.172 
(epoch: 1, iters: 40, time: 0.007, data: 0.001) G_A: 5.717 G_B: 47.213 D_A: 13.910 D_B: 30.981 cycle_A: 5.293 cycle_B: 7.951 feedback_A: 26.654 feedback_B: 25.850 idt_A: 6.687 idt_B: 2.249 
(epoch: 2, iters: 0, time: 0.008, data: 0.001) G_A: 0.028 G_B: 0.999 D_A: 2.633 D_B: 2.007 cycle_A: 4.182 cycle_B: 7.792 feedback_A: 25.357 feedback_B: 27.582 idt_A: 6.123 idt_B: 1.139 
(epoch: 2, iters: 10, time: 0.008, data: 0.001) G_A: 0.073 G_B: 45.162 D_A: 4.302 D_B: 16.364 cycle_A: 2.819 cycle_B: 6.576 feedback_A: 24.727 feedback_B: 23.367 idt_A: 3.898 idt_B: 1.129 
(epoch: 2, iters: 20, time: 0.008, data: 0.001) G_A: 0.917 G_B: 0.245 D_A: 16.633 D_B: 0.176 cycle_A: 2.529 cycle_B: 3.179 feedback_A: 24.140 feedback_B: 25.595 idt_A: 2.774 idt_B: 0.878 
(epoch: 2, iters: 30, time: 0.007, data: 0.001) G_A: 7.257 G_B: 9.307 D_A: 18.458 D_B: 8.226 cycle_A: 3.881 cycle_B: 5.611 feedback_A: 23.297 feedback_B: 22.067 idt_A: 3.307 idt_B: 0.866 
(epoch: 2, iters: 40, time: 0.008, data: 0.001) G_A: 5.420 G_B: 11.928 D_A: 535.993 D_B: 3.012 cycle_A: 3.319 cycle_B: 6.805 feedback_A: 23.727 feedback_B: 23.671 idt_A: 4.082 idt_B: 1.178 
(epoch: 3, iters: 0, time: 0.008, data: 0.001) G_A: 0.830 G_B: 13.345 D_A: 59.903 D_B: 3.678 cycle_A: 2.255 cycle_B: 5.137 feedback_A: 23.034 feedback_B: 23.586 idt_A: 2.413 idt_B: 0.938 
(epoch: 3, iters: 10, time: 0.008, data: 0.001) G_A: 56.908 G_B: 33.549 D_A: 112.070 D_B: 15.454 cycle_A: 3.823 cycle_B: 8.007 feedback_A: 23.639 feedback_B: 24.547 idt_A: 2.443 idt_B: 2.071 
(epoch: 3, iters: 20, time: 0.008, data: 0.001) G_A: 0.371 G_B: 2.055 D_A: 30.479 D_B: 0.104 cycle_A: 2.809 cycle_B: 3.677 feedback_A: 23.786 feedback_B: 21.812 idt_A: 1.748 idt_B: 0.847 
