================ Training Loss (Sun Mar  2 14:20:47 2025) ================
(epoch: 10, iters: 10, time: 0.090, data: 0.179) D_A: 6.446 G_A: 0.121 cycle_A: 4.855 idt_A: 2.476 D_B: 13.580 G_B: 17.362 cycle_B: 3.924 idt_B: 2.483 median_A: 8.717 median_B: 8.814 
(epoch: 20, iters: 10, time: 0.090, data: 0.203) D_A: 8.665 G_A: 0.193 cycle_A: 2.980 idt_A: 1.644 D_B: 2.679 G_B: 1.605 cycle_B: 2.637 idt_B: 1.859 median_A: 7.854 median_B: 7.798 
(epoch: 30, iters: 10, time: 0.090, data: 0.198) D_A: 9.931 G_A: 0.103 cycle_A: 2.330 idt_A: 1.551 D_B: 0.920 G_B: 0.469 cycle_B: 1.762 idt_B: 1.693 median_A: 7.644 median_B: 7.589 
(epoch: 40, iters: 10, time: 0.091, data: 0.165) D_A: 1.478 G_A: 0.073 cycle_A: 1.648 idt_A: 1.452 D_B: 1.637 G_B: 0.214 cycle_B: 1.807 idt_B: 1.533 median_A: 7.544 median_B: 7.371 
(epoch: 50, iters: 10, time: 0.089, data: 0.197) D_A: 5.281 G_A: 0.000 cycle_A: 0.924 idt_A: 1.351 D_B: 0.701 G_B: 0.031 cycle_B: 1.249 idt_B: 1.408 median_A: 7.493 median_B: 7.219 
(epoch: 60, iters: 10, time: 0.089, data: 0.214) D_A: 0.922 G_A: 0.000 cycle_A: 0.927 idt_A: 1.243 D_B: 9.649 G_B: 0.349 cycle_B: 1.023 idt_B: 1.191 median_A: 7.433 median_B: 7.140 
(epoch: 70, iters: 10, time: 0.095, data: 0.197) D_A: 2.531 G_A: 0.417 cycle_A: 1.064 idt_A: 1.162 D_B: 1.250 G_B: 0.655 cycle_B: 1.031 idt_B: 0.997 median_A: 7.260 median_B: 6.774 
(epoch: 80, iters: 10, time: 0.093, data: 0.174) D_A: 1.100 G_A: 0.985 cycle_A: 1.290 idt_A: 1.089 D_B: 5.220 G_B: 0.082 cycle_B: 1.489 idt_B: 0.867 median_A: 7.058 median_B: 6.799 
(epoch: 90, iters: 10, time: 0.089, data: 0.160) D_A: 2.702 G_A: 0.158 cycle_A: 1.039 idt_A: 1.102 D_B: 4.817 G_B: 0.118 cycle_B: 1.562 idt_B: 0.825 median_A: 6.933 median_B: 6.474 
(epoch: 100, iters: 10, time: 0.088, data: 0.198) D_A: 0.098 G_A: 0.313 cycle_A: 1.121 idt_A: 1.078 D_B: 2.501 G_B: 0.095 cycle_B: 1.230 idt_B: 0.716 median_A: 6.692 median_B: 6.508 
(epoch: 110, iters: 10, time: 0.090, data: 0.249) D_A: 4.298 G_A: 0.999 cycle_A: 2.132 idt_A: 1.024 D_B: 0.609 G_B: 0.877 cycle_B: 1.205 idt_B: 0.608 median_A: 6.458 median_B: 6.347 
