================ Training Loss (Fri Sep 19 16:30:06 2025) ================
(epoch: 52, iters: 50, time: 0.052, data: 0.130) D_A: 0.213 G_A: 0.162 cycle_A: 4.503 idt_A: 2.542 D_B: 6.493 G_B: 1.478 cycle_B: 5.985 idt_B: 1.799 median_A: 12.820 median_B: 8.452 
(epoch: 54, iters: 50, time: 0.052, data: 0.127) D_A: 5.434 G_A: 2.890 cycle_A: 4.029 idt_A: 2.492 D_B: 0.761 G_B: 2.210 cycle_B: 5.699 idt_B: 1.816 median_A: 13.312 median_B: 8.395 
(epoch: 56, iters: 50, time: 0.051, data: 0.128) D_A: 0.346 G_A: 1.980 cycle_A: 4.272 idt_A: 2.445 D_B: 35.659 G_B: 33.973 cycle_B: 5.476 idt_B: 2.767 median_A: 13.445 median_B: 8.429 
(epoch: 58, iters: 50, time: 0.051, data: 0.131) D_A: 2.224 G_A: 0.706 cycle_A: 3.579 idt_A: 2.846 D_B: 1.658 G_B: 2.697 cycle_B: 5.489 idt_B: 2.625 median_A: 12.429 median_B: 8.383 
(epoch: 60, iters: 50, time: 0.051, data: 0.129) D_A: 0.441 G_A: 0.062 cycle_A: 3.906 idt_A: 2.395 D_B: 6.182 G_B: 7.194 cycle_B: 5.229 idt_B: 1.971 median_A: 12.770 median_B: 8.555 
(epoch: 62, iters: 50, time: 0.051, data: 0.127) D_A: 1.941 G_A: 0.051 cycle_A: 3.113 idt_A: 2.354 D_B: 2.007 G_B: 0.790 cycle_B: 5.296 idt_B: 1.943 median_A: 11.991 median_B: 8.418 
(epoch: 64, iters: 50, time: 0.052, data: 0.126) D_A: 1.013 G_A: 0.155 cycle_A: 3.187 idt_A: 2.325 D_B: 7.580 G_B: 8.008 cycle_B: 4.984 idt_B: 1.699 median_A: 12.672 median_B: 8.440 
(epoch: 66, iters: 50, time: 0.052, data: 0.127) D_A: 0.285 G_A: 0.669 cycle_A: 4.205 idt_A: 2.263 D_B: 0.017 G_B: 0.019 cycle_B: 4.901 idt_B: 2.542 median_A: 13.605 median_B: 8.378 
(epoch: 68, iters: 50, time: 0.051, data: 0.125) D_A: 0.100 G_A: 0.401 cycle_A: 3.144 idt_A: 2.333 D_B: 4.045 G_B: 1.572 cycle_B: 4.676 idt_B: 1.994 median_A: 12.578 median_B: 8.400 
(epoch: 70, iters: 50, time: 0.052, data: 0.130) D_A: 0.824 G_A: 0.002 cycle_A: 4.166 idt_A: 2.251 D_B: 2.573 G_B: 4.444 cycle_B: 4.595 idt_B: 2.214 median_A: 12.159 median_B: 8.514 
