================ Training Loss (Tue Mar 17 09:05:24 2026) ================
(epoch: 1, iters: 0, time: 0.411, data: 0.004) G_A: 9.922 G_B: 24.185 D_A: 5.125 D_B: 8.144 cycle_A: 32.503 cycle_B: 30.004 feedback_A: 16.318 feedback_B: 16.957 idt_A: 7.813 idt_B: 8.568 
(epoch: 1, iters: 10, time: 0.008, data: 0.001) G_A: 338.994 G_B: 88.243 D_A: 154.025 D_B: 54.393 cycle_A: 10.235 cycle_B: 9.647 feedback_A: 11.995 feedback_B: 12.280 idt_A: 5.519 idt_B: 5.701 
(epoch: 1, iters: 20, time: 0.008, data: 0.001) G_A: 0.833 G_B: 262.548 D_A: 0.211 D_B: 116.762 cycle_A: 6.973 cycle_B: 6.274 feedback_A: 10.448 feedback_B: 10.979 idt_A: 4.699 idt_B: 5.196 
(epoch: 1, iters: 30, time: 0.008, data: 0.001) G_A: 18.741 G_B: 25.471 D_A: 15.494 D_B: 12.587 cycle_A: 5.909 cycle_B: 5.949 feedback_A: 9.594 feedback_B: 10.341 idt_A: 4.316 idt_B: 4.406 
(epoch: 1, iters: 40, time: 0.008, data: 0.001) G_A: 18.493 G_B: 1.637 D_A: 6.578 D_B: 14.044 cycle_A: 4.762 cycle_B: 5.026 feedback_A: 9.244 feedback_B: 9.744 idt_A: 3.655 idt_B: 4.089 
(epoch: 1, iters: 50, time: 0.008, data: 0.001) G_A: 48.269 G_B: 1.497 D_A: 20.271 D_B: 0.026 cycle_A: 5.243 cycle_B: 4.490 feedback_A: 9.153 feedback_B: 9.502 idt_A: 3.177 idt_B: 3.580 
(epoch: 1, iters: 60, time: 0.008, data: 0.001) G_A: 11.383 G_B: 3.700 D_A: 14.741 D_B: 9.528 cycle_A: 5.573 cycle_B: 4.287 feedback_A: 9.004 feedback_B: 9.002 idt_A: 2.855 idt_B: 3.147 
(epoch: 1, iters: 70, time: 0.008, data: 0.001) G_A: 8.238 G_B: 0.010 D_A: 12.420 D_B: 1.702 cycle_A: 4.099 cycle_B: 4.334 feedback_A: 8.863 feedback_B: 8.675 idt_A: 2.181 idt_B: 2.915 
(epoch: 1, iters: 80, time: 0.008, data: 0.001) G_A: 1.758 G_B: 0.884 D_A: 14.836 D_B: 2.260 cycle_A: 3.682 cycle_B: 3.264 feedback_A: 8.918 feedback_B: 8.503 idt_A: 1.841 idt_B: 2.606 
(epoch: 1, iters: 90, time: 0.008, data: 0.001) G_A: 2.490 G_B: 0.141 D_A: 55.898 D_B: 1.176 cycle_A: 4.439 cycle_B: 3.984 feedback_A: 8.363 feedback_B: 8.244 idt_A: 2.039 idt_B: 2.301 
(epoch: 2, iters: 0, time: 0.008, data: 0.001) G_A: 19.112 G_B: 46.082 D_A: 62.355 D_B: 44.301 cycle_A: 3.242 cycle_B: 3.530 feedback_A: 8.347 feedback_B: 8.063 idt_A: 1.484 idt_B: 2.015 
(epoch: 2, iters: 10, time: 0.007, data: 0.001) G_A: 45.206 G_B: 41.538 D_A: 16.858 D_B: 159.251 cycle_A: 4.469 cycle_B: 4.434 feedback_A: 8.574 feedback_B: 8.020 idt_A: 2.020 idt_B: 2.236 
(epoch: 2, iters: 20, time: 0.008, data: 0.001) G_A: 1.943 G_B: 9.388 D_A: 10.076 D_B: 2.482 cycle_A: 3.805 cycle_B: 4.317 feedback_A: 8.447 feedback_B: 8.069 idt_A: 1.573 idt_B: 2.052 
