================ Training Loss (Sat Sep 20 15:21:17 2025) ================
(epoch: 18, iters: 50, time: 0.227, data: 0.002) D_A: 9.541 G_A: 0.001 cycle_A: 6.213 idt_A: 6.029 D_B: 0.108 G_B: 0.641 cycle_B: 6.375 idt_B: 3.345 median_A: 10.380 median_B: 13.816 
(epoch: 18, iters: 150, time: 0.227, data: 0.002) D_A: 37.220 G_A: 2.072 cycle_A: 5.335 idt_A: 5.857 D_B: 1.862 G_B: 0.015 cycle_B: 5.583 idt_B: 3.365 median_A: 9.774 median_B: 14.109 
(epoch: 19, iters: 100, time: 0.227, data: 0.206) D_A: 17.176 G_A: 0.003 cycle_A: 5.041 idt_A: 4.011 D_B: 13.895 G_B: 0.037 cycle_B: 4.768 idt_B: 2.594 median_A: 11.023 median_B: 12.887 
(epoch: 20, iters: 50, time: 0.227, data: 0.002) D_A: 6.782 G_A: 0.029 cycle_A: 6.201 idt_A: 5.869 D_B: 6.600 G_B: 0.976 cycle_B: 6.192 idt_B: 3.012 median_A: 10.340 median_B: 12.966 
(epoch: 20, iters: 150, time: 0.227, data: 0.002) D_A: 34.457 G_A: 0.082 cycle_A: 5.664 idt_A: 5.789 D_B: 4.967 G_B: 7.513 cycle_B: 12.117 idt_B: 3.242 median_A: 10.976 median_B: 13.458 
(epoch: 21, iters: 100, time: 0.227, data: 0.207) D_A: 1.807 G_A: 0.002 cycle_A: 5.599 idt_A: 3.718 D_B: 2.292 G_B: 1.180 cycle_B: 4.993 idt_B: 2.461 median_A: 11.120 median_B: 11.889 
(epoch: 22, iters: 50, time: 0.227, data: 0.002) D_A: 2.100 G_A: 0.454 cycle_A: 6.709 idt_A: 5.677 D_B: 2.171 G_B: 1.233 cycle_B: 6.227 idt_B: 2.829 median_A: 10.325 median_B: 12.034 
(epoch: 22, iters: 150, time: 0.227, data: 0.002) D_A: 10.735 G_A: 0.407 cycle_A: 6.423 idt_A: 5.632 D_B: 0.209 G_B: 0.041 cycle_B: 6.658 idt_B: 3.030 median_A: 9.729 median_B: 12.527 
(epoch: 23, iters: 100, time: 0.227, data: 0.209) D_A: 0.514 G_A: 0.165 cycle_A: 5.406 idt_A: 3.526 D_B: 25.042 G_B: 0.024 cycle_B: 4.496 idt_B: 2.373 median_A: 10.941 median_B: 11.353 
(epoch: 24, iters: 50, time: 0.227, data: 0.002) D_A: 0.718 G_A: 0.290 cycle_A: 6.155 idt_A: 5.520 D_B: 2.203 G_B: 0.474 cycle_B: 5.832 idt_B: 2.528 median_A: 10.281 median_B: 11.397 
(epoch: 24, iters: 150, time: 0.227, data: 0.002) D_A: 1.292 G_A: 0.060 cycle_A: 6.671 idt_A: 5.461 D_B: 2.478 G_B: 0.000 cycle_B: 5.263 idt_B: 2.889 median_A: 9.750 median_B: 11.801 
(epoch: 25, iters: 100, time: 0.227, data: 0.205) D_A: 3.697 G_A: 2.435 cycle_A: 6.830 idt_A: 3.419 D_B: 0.418 G_B: 0.720 cycle_B: 3.563 idt_B: 2.083 median_A: 10.839 median_B: 10.827 
(epoch: 26, iters: 50, time: 0.227, data: 0.002) D_A: 3.977 G_A: 0.001 cycle_A: 5.996 idt_A: 5.449 D_B: 4.730 G_B: 0.064 cycle_B: 5.592 idt_B: 2.402 median_A: 10.306 median_B: 11.129 
(epoch: 26, iters: 150, time: 0.227, data: 0.002) D_A: 0.168 G_A: 0.232 cycle_A: 8.221 idt_A: 5.243 D_B: 4.762 G_B: 0.450 cycle_B: 5.759 idt_B: 2.748 median_A: 9.728 median_B: 11.620 
(epoch: 27, iters: 100, time: 0.227, data: 0.209) D_A: 0.450 G_A: 0.581 cycle_A: 8.868 idt_A: 4.373 D_B: 4.663 G_B: 0.127 cycle_B: 6.365 idt_B: 2.048 median_A: 10.917 median_B: 10.590 
(epoch: 28, iters: 50, time: 0.227, data: 0.002) D_A: 5.094 G_A: 0.658 cycle_A: 8.277 idt_A: 5.189 D_B: 0.349 G_B: 0.076 cycle_B: 5.537 idt_B: 2.256 median_A: 10.318 median_B: 10.370 
(epoch: 28, iters: 150, time: 0.227, data: 0.002) D_A: 0.355 G_A: 0.039 cycle_A: 7.566 idt_A: 5.165 D_B: 10.826 G_B: 0.003 cycle_B: 5.460 idt_B: 2.753 median_A: 9.711 median_B: 10.984 
(epoch: 29, iters: 100, time: 0.225, data: 0.184) D_A: 8.038 G_A: 0.011 cycle_A: 9.893 idt_A: 3.665 D_B: 2.258 G_B: 1.376 cycle_B: 3.996 idt_B: 1.994 median_A: 10.850 median_B: 10.196 
(epoch: 30, iters: 50, time: 0.227, data: 0.002) D_A: 0.002 G_A: 0.147 cycle_A: 9.488 idt_A: 5.085 D_B: 21.077 G_B: 0.305 cycle_B: 6.794 idt_B: 2.241 median_A: 10.315 median_B: 9.732 
(epoch: 30, iters: 150, time: 0.227, data: 0.002) D_A: 0.625 G_A: 0.009 cycle_A: 9.338 idt_A: 5.069 D_B: 2.070 G_B: 0.806 cycle_B: 4.958 idt_B: 2.623 median_A: 9.648 median_B: 9.769 
(epoch: 31, iters: 100, time: 0.227, data: 0.174) D_A: 0.474 G_A: 0.029 cycle_A: 10.456 idt_A: 3.253 D_B: 1.447 G_B: 0.242 cycle_B: 4.331 idt_B: 1.927 median_A: 10.800 median_B: 9.405 
(epoch: 32, iters: 50, time: 0.227, data: 0.002) D_A: 4.650 G_A: 1.047 cycle_A: 10.038 idt_A: 4.943 D_B: 0.084 G_B: 0.450 cycle_B: 5.390 idt_B: 1.939 median_A: 10.179 median_B: 8.987 
(epoch: 32, iters: 150, time: 0.227, data: 0.002) D_A: 1.136 G_A: 5.034 cycle_A: 9.380 idt_A: 4.936 D_B: 1.674 G_B: 0.654 cycle_B: 5.470 idt_B: 2.485 median_A: 9.555 median_B: 9.286 
(epoch: 33, iters: 100, time: 0.226, data: 0.188) D_A: 2.571 G_A: 0.300 cycle_A: 10.506 idt_A: 3.097 D_B: 5.621 G_B: 0.423 cycle_B: 3.856 idt_B: 1.884 median_A: 10.675 median_B: 8.887 
(epoch: 34, iters: 50, time: 0.227, data: 0.002) D_A: 0.425 G_A: 0.235 cycle_A: 10.309 idt_A: 4.805 D_B: 0.753 G_B: 2.720 cycle_B: 6.981 idt_B: 1.919 median_A: 10.392 median_B: 8.484 
(epoch: 34, iters: 150, time: 0.227, data: 0.002) D_A: 0.143 G_A: 0.220 cycle_A: 11.497 idt_A: 4.700 D_B: 18.610 G_B: 50.339 cycle_B: 17.595 idt_B: 2.444 median_A: 11.888 median_B: 8.886 
(epoch: 35, iters: 100, time: 0.227, data: 0.207) D_A: 0.811 G_A: 0.072 cycle_A: 10.153 idt_A: 2.993 D_B: 5.133 G_B: 0.049 cycle_B: 4.010 idt_B: 1.860 median_A: 10.692 median_B: 8.641 
(epoch: 36, iters: 50, time: 0.227, data: 0.002) D_A: 0.793 G_A: 0.078 cycle_A: 9.355 idt_A: 4.593 D_B: 1.478 G_B: 0.113 cycle_B: 4.935 idt_B: 2.091 median_A: 10.176 median_B: 8.088 
(epoch: 36, iters: 150, time: 0.227, data: 0.002) D_A: 0.716 G_A: 0.025 cycle_A: 9.388 idt_A: 4.436 D_B: 4.147 G_B: 0.027 cycle_B: 4.654 idt_B: 2.334 median_A: 9.550 median_B: 8.472 
(epoch: 37, iters: 100, time: 0.225, data: 0.171) D_A: 0.488 G_A: 0.726 cycle_A: 10.539 idt_A: 2.994 D_B: 0.292 G_B: 0.018 cycle_B: 8.035 idt_B: 1.862 median_A: 10.716 median_B: 8.418 
