================ Training Loss (Sun Mar  2 17:06:09 2025) ================
(epoch: 4, iters: 10, time: 0.090, data: 0.179) D_A: 8.489 G_A: 0.636 cycle_A: 4.370 idt_A: 1.869 D_B: 70.639 G_B: 2.358 cycle_B: 4.780 idt_B: 2.746 median_A: 9.513 median_B: 8.832 
(epoch: 7, iters: 20, time: 0.088, data: 0.003) D_A: 0.881 G_A: 2.305 cycle_A: 3.485 idt_A: 1.781 D_B: 6.459 G_B: 6.546 cycle_B: 3.721 idt_B: 1.853 median_A: 8.188 median_B: 7.923 
(epoch: 10, iters: 30, time: 0.089, data: 0.003) D_A: 3.159 G_A: 1.091 cycle_A: 2.947 idt_A: 1.540 D_B: 63.463 G_B: 0.125 cycle_B: 3.024 idt_B: 1.721 median_A: 7.981 median_B: 7.693 
(epoch: 14, iters: 10, time: 0.087, data: 0.167) D_A: 24.825 G_A: 6.531 cycle_A: 2.351 idt_A: 1.063 D_B: 3.364 G_B: 0.002 cycle_B: 1.968 idt_B: 1.333 median_A: 7.785 median_B: 7.233 
(epoch: 17, iters: 20, time: 0.090, data: 0.003) D_A: 0.205 G_A: 0.007 cycle_A: 2.456 idt_A: 1.469 D_B: 20.368 G_B: 0.927 cycle_B: 2.396 idt_B: 1.521 median_A: 6.889 median_B: 6.998 
(epoch: 20, iters: 30, time: 0.089, data: 0.003) D_A: 2.027 G_A: 0.821 cycle_A: 2.534 idt_A: 1.394 D_B: 18.788 G_B: 0.637 cycle_B: 2.211 idt_B: 1.486 median_A: 7.288 median_B: 6.715 
(epoch: 24, iters: 10, time: 0.090, data: 0.180) D_A: 0.124 G_A: 0.257 cycle_A: 2.490 idt_A: 0.949 D_B: 0.283 G_B: 0.018 cycle_B: 1.646 idt_B: 1.164 median_A: 6.567 median_B: 6.212 
(epoch: 27, iters: 20, time: 0.089, data: 0.002) D_A: 0.962 G_A: 0.145 cycle_A: 2.283 idt_A: 1.294 D_B: 7.051 G_B: 0.198 cycle_B: 1.917 idt_B: 1.327 median_A: 5.960 median_B: 5.908 
(epoch: 30, iters: 30, time: 0.089, data: 0.003) D_A: 1.928 G_A: 0.042 cycle_A: 1.928 idt_A: 1.199 D_B: 1.436 G_B: 0.470 cycle_B: 1.868 idt_B: 1.362 median_A: 6.062 median_B: 5.884 
(epoch: 34, iters: 10, time: 0.090, data: 0.201) D_A: 1.358 G_A: 0.361 cycle_A: 1.730 idt_A: 0.926 D_B: 1.058 G_B: 0.128 cycle_B: 1.555 idt_B: 1.040 median_A: 5.530 median_B: 5.199 
(epoch: 37, iters: 20, time: 0.090, data: 0.002) D_A: 1.509 G_A: 1.265 cycle_A: 2.262 idt_A: 1.207 D_B: 0.303 G_B: 0.055 cycle_B: 2.121 idt_B: 1.290 median_A: 5.461 median_B: 5.497 
(epoch: 40, iters: 30, time: 0.090, data: 0.003) D_A: 0.595 G_A: 0.006 cycle_A: 1.864 idt_A: 1.234 D_B: 1.558 G_B: 0.401 cycle_B: 1.852 idt_B: 1.202 median_A: 5.628 median_B: 5.605 
(epoch: 44, iters: 10, time: 0.089, data: 0.201) D_A: 2.869 G_A: 0.909 cycle_A: 1.645 idt_A: 0.805 D_B: 0.382 G_B: 0.098 cycle_B: 1.505 idt_B: 0.995 median_A: 5.475 median_B: 5.414 
(epoch: 47, iters: 20, time: 0.090, data: 0.003) D_A: 0.125 G_A: 0.275 cycle_A: 1.838 idt_A: 1.151 D_B: 0.118 G_B: 0.283 cycle_B: 1.737 idt_B: 1.138 median_A: 5.518 median_B: 5.609 
(epoch: 50, iters: 30, time: 0.090, data: 0.003) D_A: 0.328 G_A: 0.039 cycle_A: 1.495 idt_A: 1.050 D_B: 1.060 G_B: 0.074 cycle_B: 1.753 idt_B: 1.081 median_A: 5.966 median_B: 6.079 
(epoch: 54, iters: 10, time: 0.091, data: 0.317) D_A: 0.008 G_A: 0.118 cycle_A: 1.701 idt_A: 0.762 D_B: 0.058 G_B: 0.033 cycle_B: 1.702 idt_B: 0.926 median_A: 5.973 median_B: 6.067 
(epoch: 57, iters: 20, time: 0.089, data: 0.002) D_A: 0.589 G_A: 0.007 cycle_A: 1.927 idt_A: 1.045 D_B: 0.003 G_B: 1.057 cycle_B: 1.575 idt_B: 1.005 median_A: 6.034 median_B: 6.615 
(epoch: 60, iters: 30, time: 0.090, data: 0.002) D_A: 0.012 G_A: 0.982 cycle_A: 1.544 idt_A: 1.080 D_B: 0.180 G_B: 0.000 cycle_B: 1.477 idt_B: 0.978 median_A: 6.326 median_B: 6.848 
(epoch: 64, iters: 10, time: 0.090, data: 0.174) D_A: 0.167 G_A: 0.184 cycle_A: 1.722 idt_A: 0.737 D_B: 0.465 G_B: 0.001 cycle_B: 1.472 idt_B: 0.925 median_A: 6.473 median_B: 6.844 
(epoch: 67, iters: 20, time: 0.089, data: 0.003) D_A: 1.016 G_A: 0.437 cycle_A: 2.148 idt_A: 0.988 D_B: 0.685 G_B: 0.393 cycle_B: 1.533 idt_B: 0.901 median_A: 6.405 median_B: 7.226 
(epoch: 70, iters: 30, time: 0.090, data: 0.003) D_A: 0.045 G_A: 0.522 cycle_A: 1.721 idt_A: 0.921 D_B: 0.211 G_B: 0.174 cycle_B: 1.634 idt_B: 1.001 median_A: 6.743 median_B: 7.338 
(epoch: 74, iters: 10, time: 0.090, data: 0.179) D_A: 0.022 G_A: 1.423 cycle_A: 1.711 idt_A: 0.758 D_B: 0.262 G_B: 0.123 cycle_B: 1.752 idt_B: 0.843 median_A: 6.837 median_B: 7.191 
(epoch: 77, iters: 20, time: 0.087, data: 0.003) D_A: 0.484 G_A: 0.026 cycle_A: 2.029 idt_A: 0.971 D_B: 0.225 G_B: 0.119 cycle_B: 1.350 idt_B: 0.844 median_A: 6.589 median_B: 7.482 
(epoch: 80, iters: 30, time: 0.091, data: 0.002) D_A: 1.036 G_A: 0.004 cycle_A: 1.701 idt_A: 0.880 D_B: 0.348 G_B: 0.033 cycle_B: 1.621 idt_B: 0.977 median_A: 7.212 median_B: 7.662 
(epoch: 84, iters: 10, time: 0.089, data: 0.176) D_A: 0.050 G_A: 0.732 cycle_A: 1.602 idt_A: 0.720 D_B: 0.289 G_B: 0.066 cycle_B: 1.642 idt_B: 0.846 median_A: 7.196 median_B: 7.389 
(epoch: 87, iters: 20, time: 0.090, data: 0.003) D_A: 0.026 G_A: 0.001 cycle_A: 2.193 idt_A: 0.887 D_B: 0.047 G_B: 0.198 cycle_B: 1.618 idt_B: 0.846 median_A: 7.044 median_B: 7.600 
(epoch: 90, iters: 30, time: 0.089, data: 0.003) D_A: 0.483 G_A: 0.041 cycle_A: 1.525 idt_A: 0.887 D_B: 2.471 G_B: 1.493 cycle_B: 2.748 idt_B: 0.991 median_A: 7.369 median_B: 7.555 
(epoch: 94, iters: 10, time: 0.089, data: 0.195) D_A: 0.050 G_A: 0.473 cycle_A: 1.655 idt_A: 0.749 D_B: 1.359 G_B: 0.420 cycle_B: 1.663 idt_B: 0.924 median_A: 7.468 median_B: 7.206 
(epoch: 97, iters: 20, time: 0.091, data: 0.002) D_A: 0.085 G_A: 0.476 cycle_A: 2.093 idt_A: 0.827 D_B: 0.295 G_B: 0.894 cycle_B: 1.411 idt_B: 0.891 median_A: 7.398 median_B: 7.398 
(epoch: 100, iters: 30, time: 0.091, data: 0.003) D_A: 0.144 G_A: 0.136 cycle_A: 1.526 idt_A: 0.812 D_B: 0.132 G_B: 0.082 cycle_B: 1.565 idt_B: 0.835 median_A: 7.661 median_B: 7.670 
(epoch: 104, iters: 10, time: 0.089, data: 0.282) D_A: 0.050 G_A: 0.011 cycle_A: 1.618 idt_A: 0.699 D_B: 0.561 G_B: 1.860 cycle_B: 1.978 idt_B: 0.836 median_A: 7.496 median_B: 7.219 
(epoch: 107, iters: 20, time: 0.090, data: 0.003) D_A: 0.337 G_A: 1.166 cycle_A: 1.991 idt_A: 0.896 D_B: 0.159 G_B: 1.449 cycle_B: 2.177 idt_B: 0.888 median_A: 7.746 median_B: 7.403 
(epoch: 110, iters: 30, time: 0.089, data: 0.003) D_A: 0.124 G_A: 0.255 cycle_A: 1.711 idt_A: 0.744 D_B: 0.498 G_B: 0.002 cycle_B: 2.144 idt_B: 0.917 median_A: 7.816 median_B: 7.514 
(epoch: 114, iters: 10, time: 0.091, data: 0.220) D_A: 0.017 G_A: 0.747 cycle_A: 1.385 idt_A: 0.676 D_B: 0.038 G_B: 0.659 cycle_B: 1.369 idt_B: 0.778 median_A: 7.721 median_B: 7.177 
(epoch: 117, iters: 20, time: 0.090, data: 0.002) D_A: 0.285 G_A: 0.452 cycle_A: 2.078 idt_A: 0.977 D_B: 0.442 G_B: 0.389 cycle_B: 1.389 idt_B: 0.826 median_A: 7.598 median_B: 7.379 
(epoch: 120, iters: 30, time: 0.088, data: 0.003) D_A: 0.052 G_A: 0.015 cycle_A: 1.967 idt_A: 0.719 D_B: 0.055 G_B: 0.621 cycle_B: 1.495 idt_B: 0.787 median_A: 7.860 median_B: 7.344 
(epoch: 124, iters: 10, time: 0.089, data: 0.157) D_A: 0.592 G_A: 0.324 cycle_A: 1.473 idt_A: 0.678 D_B: 0.004 G_B: 1.183 cycle_B: 1.488 idt_B: 0.745 median_A: 7.667 median_B: 7.150 
(epoch: 127, iters: 20, time: 0.090, data: 0.003) D_A: 0.035 G_A: 1.016 cycle_A: 1.452 idt_A: 0.747 D_B: 0.481 G_B: 0.000 cycle_B: 1.801 idt_B: 0.812 median_A: 7.509 median_B: 7.036 
(epoch: 130, iters: 30, time: 0.089, data: 0.002) D_A: 0.054 G_A: 0.480 cycle_A: 1.571 idt_A: 0.862 D_B: 0.139 G_B: 0.125 cycle_B: 1.334 idt_B: 0.719 median_A: 7.917 median_B: 7.136 
(epoch: 134, iters: 10, time: 0.086, data: 0.159) D_A: 0.137 G_A: 0.674 cycle_A: 1.387 idt_A: 0.678 D_B: 0.016 G_B: 0.670 cycle_B: 1.926 idt_B: 0.744 median_A: 7.989 median_B: 6.702 
(epoch: 137, iters: 20, time: 0.090, data: 0.002) D_A: 0.081 G_A: 0.920 cycle_A: 2.046 idt_A: 0.785 D_B: 0.515 G_B: 0.868 cycle_B: 1.418 idt_B: 0.808 median_A: 7.520 median_B: 6.926 
(epoch: 140, iters: 30, time: 0.089, data: 0.003) D_A: 0.041 G_A: 1.483 cycle_A: 1.129 idt_A: 0.690 D_B: 0.029 G_B: 1.244 cycle_B: 1.580 idt_B: 0.725 median_A: 7.803 median_B: 7.093 
(epoch: 144, iters: 10, time: 0.088, data: 0.180) D_A: 0.026 G_A: 1.448 cycle_A: 1.461 idt_A: 0.674 D_B: 1.012 G_B: 0.165 cycle_B: 1.428 idt_B: 0.756 median_A: 7.911 median_B: 6.832 
(epoch: 147, iters: 20, time: 0.089, data: 0.002) D_A: 0.013 G_A: 0.706 cycle_A: 1.871 idt_A: 0.626 D_B: 0.193 G_B: 0.187 cycle_B: 1.682 idt_B: 0.778 median_A: 7.652 median_B: 6.989 
(epoch: 150, iters: 30, time: 0.089, data: 0.003) D_A: 0.133 G_A: 0.715 cycle_A: 1.394 idt_A: 0.695 D_B: 0.133 G_B: 0.247 cycle_B: 1.320 idt_B: 0.728 median_A: 7.981 median_B: 7.209 
(epoch: 154, iters: 10, time: 0.091, data: 0.282) D_A: 1.198 G_A: 0.283 cycle_A: 1.821 idt_A: 0.805 D_B: 0.052 G_B: 0.543 cycle_B: 2.094 idt_B: 0.737 median_A: 7.865 median_B: 6.755 
(epoch: 157, iters: 20, time: 0.090, data: 0.002) D_A: 0.357 G_A: 0.059 cycle_A: 1.663 idt_A: 0.665 D_B: 0.048 G_B: 0.475 cycle_B: 1.836 idt_B: 0.797 median_A: 7.457 median_B: 6.988 
(epoch: 160, iters: 30, time: 0.090, data: 0.002) D_A: 0.039 G_A: 1.511 cycle_A: 1.474 idt_A: 0.731 D_B: 0.197 G_B: 0.061 cycle_B: 1.552 idt_B: 0.695 median_A: 7.782 median_B: 7.061 
(epoch: 164, iters: 10, time: 0.089, data: 0.175) D_A: 0.030 G_A: 0.902 cycle_A: 1.766 idt_A: 0.714 D_B: 0.251 G_B: 1.254 cycle_B: 1.385 idt_B: 0.715 median_A: 8.007 median_B: 6.746 
(epoch: 167, iters: 20, time: 0.090, data: 0.003) D_A: 0.247 G_A: 1.041 cycle_A: 2.088 idt_A: 0.588 D_B: 0.093 G_B: 1.172 cycle_B: 1.413 idt_B: 0.742 median_A: 7.728 median_B: 7.139 
(epoch: 170, iters: 30, time: 0.090, data: 0.002) D_A: 0.023 G_A: 0.293 cycle_A: 0.998 idt_A: 0.668 D_B: 0.635 G_B: 0.016 cycle_B: 2.139 idt_B: 0.704 median_A: 8.050 median_B: 7.151 
(epoch: 174, iters: 10, time: 0.089, data: 0.180) D_A: 0.167 G_A: 0.351 cycle_A: 1.275 idt_A: 0.662 D_B: 0.029 G_B: 1.071 cycle_B: 1.363 idt_B: 0.769 median_A: 7.994 median_B: 7.041 
(epoch: 177, iters: 20, time: 0.089, data: 0.003) D_A: 0.203 G_A: 0.665 cycle_A: 2.200 idt_A: 0.598 D_B: 0.081 G_B: 0.636 cycle_B: 1.396 idt_B: 0.665 median_A: 7.669 median_B: 7.360 
(epoch: 180, iters: 30, time: 0.090, data: 0.003) D_A: 0.037 G_A: 0.262 cycle_A: 0.972 idt_A: 0.642 D_B: 0.070 G_B: 0.101 cycle_B: 1.528 idt_B: 0.715 median_A: 7.926 median_B: 7.103 
(epoch: 184, iters: 10, time: 0.088, data: 0.177) D_A: 0.325 G_A: 0.039 cycle_A: 1.443 idt_A: 0.662 D_B: 0.012 G_B: 0.187 cycle_B: 1.834 idt_B: 0.731 median_A: 8.047 median_B: 6.791 
(epoch: 187, iters: 20, time: 0.089, data: 0.002) D_A: 0.897 G_A: 0.112 cycle_A: 1.758 idt_A: 0.618 D_B: 0.467 G_B: 1.128 cycle_B: 0.997 idt_B: 0.727 median_A: 7.734 median_B: 7.257 
(epoch: 190, iters: 30, time: 0.090, data: 0.002) D_A: 0.029 G_A: 0.807 cycle_A: 1.218 idt_A: 0.663 D_B: 0.136 G_B: 0.232 cycle_B: 1.337 idt_B: 0.723 median_A: 7.924 median_B: 7.053 
(epoch: 194, iters: 10, time: 0.089, data: 0.153) D_A: 0.045 G_A: 1.379 cycle_A: 1.456 idt_A: 0.741 D_B: 0.098 G_B: 0.312 cycle_B: 1.513 idt_B: 0.742 median_A: 7.908 median_B: 6.823 
(epoch: 197, iters: 20, time: 0.090, data: 0.003) D_A: 0.065 G_A: 0.428 cycle_A: 2.364 idt_A: 0.578 D_B: 0.037 G_B: 0.926 cycle_B: 1.100 idt_B: 0.729 median_A: 7.610 median_B: 6.888 
(epoch: 200, iters: 30, time: 0.091, data: 0.002) D_A: 0.001 G_A: 0.010 cycle_A: 1.478 idt_A: 0.683 D_B: 0.031 G_B: 0.888 cycle_B: 1.598 idt_B: 0.698 median_A: 7.861 median_B: 6.719 
(epoch: 204, iters: 10, time: 0.090, data: 0.289) D_A: 0.044 G_A: 1.007 cycle_A: 1.446 idt_A: 0.639 D_B: 0.068 G_B: 1.639 cycle_B: 1.465 idt_B: 0.715 median_A: 7.908 median_B: 6.286 
(epoch: 207, iters: 20, time: 0.089, data: 0.002) D_A: 0.215 G_A: 0.130 cycle_A: 1.594 idt_A: 0.560 D_B: 0.078 G_B: 0.586 cycle_B: 2.866 idt_B: 0.771 median_A: 7.513 median_B: 6.345 
(epoch: 210, iters: 30, time: 0.093, data: 0.003) D_A: 0.021 G_A: 0.657 cycle_A: 2.083 idt_A: 0.695 D_B: 0.072 G_B: 0.409 cycle_B: 1.360 idt_B: 0.730 median_A: 7.614 median_B: 6.466 
(epoch: 214, iters: 10, time: 0.090, data: 0.161) D_A: 0.041 G_A: 0.192 cycle_A: 1.235 idt_A: 0.682 D_B: 0.132 G_B: 0.237 cycle_B: 1.930 idt_B: 0.686 median_A: 7.143 median_B: 6.220 
(epoch: 217, iters: 20, time: 0.087, data: 0.002) D_A: 0.269 G_A: 0.106 cycle_A: 1.606 idt_A: 0.454 D_B: 0.015 G_B: 0.682 cycle_B: 0.959 idt_B: 0.694 median_A: 6.464 median_B: 5.399 
(epoch: 220, iters: 30, time: 0.090, data: 0.002) D_A: 0.594 G_A: 0.001 cycle_A: 2.668 idt_A: 0.709 D_B: 0.926 G_B: 0.100 cycle_B: 3.732 idt_B: 0.730 median_A: 2.567 median_B: 2.390 
(epoch: 224, iters: 10, time: 0.089, data: 0.203) D_A: 0.501 G_A: 0.048 cycle_A: 1.738 idt_A: 0.636 D_B: 0.555 G_B: 0.046 cycle_B: 1.414 idt_B: 0.701 median_A: 1.934 median_B: 1.596 
(epoch: 227, iters: 20, time: 0.090, data: 0.002) D_A: 0.158 G_A: 0.097 cycle_A: 1.736 idt_A: 0.471 D_B: 0.350 G_B: 0.163 cycle_B: 1.081 idt_B: 0.657 median_A: 2.068 median_B: 1.558 
(epoch: 230, iters: 30, time: 0.090, data: 0.002) D_A: 0.372 G_A: 0.035 cycle_A: 1.651 idt_A: 0.644 D_B: 0.344 G_B: 0.126 cycle_B: 2.039 idt_B: 0.512 median_A: 1.420 median_B: 1.921 
(epoch: 234, iters: 10, time: 0.089, data: 0.193) D_A: 0.304 G_A: 0.217 cycle_A: 1.641 idt_A: 0.645 D_B: 0.300 G_B: 0.240 cycle_B: 1.342 idt_B: 0.761 median_A: 1.657 median_B: 1.464 
