================ Training Loss (Thu Sep 25 01:40:40 2025) ================
(epoch: 52, iters: 50, time: 0.233, data: 0.238) D_A: 2.034 G_A: 1.427 cycle_A: 9.204 idt_A: 10.267 D_B: 0.736 G_B: 49.898 cycle_B: 23.472 idt_B: 2.078 median_A: 14.885 median_B: 27.151 
(epoch: 54, iters: 50, time: 0.235, data: 0.221) D_A: 34.059 G_A: 0.040 cycle_A: 5.162 idt_A: 9.941 D_B: 2.613 G_B: 1.043 cycle_B: 9.972 idt_B: 1.857 median_A: 14.434 median_B: 26.001 
(epoch: 56, iters: 50, time: 0.235, data: 0.246) D_A: 114.922 G_A: 0.112 cycle_A: 4.993 idt_A: 9.430 D_B: 0.377 G_B: 0.607 cycle_B: 7.688 idt_B: 1.881 median_A: 12.170 median_B: 24.290 
(epoch: 58, iters: 50, time: 0.234, data: 0.289) D_A: 118.604 G_A: 4.507 cycle_A: 4.960 idt_A: 8.877 D_B: 3.001 G_B: 0.235 cycle_B: 7.180 idt_B: 1.763 median_A: 11.472 median_B: 22.905 
(epoch: 60, iters: 50, time: 0.233, data: 0.227) D_A: 93.993 G_A: 2.074 cycle_A: 5.044 idt_A: 8.533 D_B: 4.021 G_B: 1.042 cycle_B: 7.236 idt_B: 1.844 median_A: 11.257 median_B: 22.381 
(epoch: 62, iters: 50, time: 0.234, data: 0.236) D_A: 59.025 G_A: 0.138 cycle_A: 5.825 idt_A: 8.177 D_B: 3.560 G_B: 0.028 cycle_B: 8.604 idt_B: 1.746 median_A: 12.395 median_B: 20.794 
(epoch: 64, iters: 50, time: 0.235, data: 0.231) D_A: 20.911 G_A: 0.112 cycle_A: 5.003 idt_A: 7.935 D_B: 0.872 G_B: 0.031 cycle_B: 10.119 idt_B: 1.599 median_A: 11.662 median_B: 19.737 
(epoch: 66, iters: 50, time: 0.232, data: 0.229) D_A: 4.339 G_A: 0.166 cycle_A: 4.601 idt_A: 7.657 D_B: 0.113 G_B: 0.689 cycle_B: 8.148 idt_B: 1.624 median_A: 11.756 median_B: 20.053 
(epoch: 68, iters: 50, time: 0.233, data: 0.269) D_A: 1.539 G_A: 6.497 cycle_A: 9.303 idt_A: 7.758 D_B: 1.173 G_B: 0.003 cycle_B: 6.932 idt_B: 1.596 median_A: 11.401 median_B: 18.973 
(epoch: 70, iters: 50, time: 0.234, data: 0.230) D_A: 0.993 G_A: 0.012 cycle_A: 6.634 idt_A: 7.835 D_B: 1.958 G_B: 0.135 cycle_B: 8.469 idt_B: 1.541 median_A: 11.391 median_B: 18.096 
(epoch: 72, iters: 50, time: 0.235, data: 0.230) D_A: 4.986 G_A: 0.642 cycle_A: 5.395 idt_A: 7.785 D_B: 2.498 G_B: 0.016 cycle_B: 10.711 idt_B: 1.419 median_A: 11.234 median_B: 17.499 
(epoch: 74, iters: 50, time: 0.235, data: 0.259) D_A: 6.514 G_A: 0.605 cycle_A: 5.030 idt_A: 7.894 D_B: 1.936 G_B: 0.022 cycle_B: 15.274 idt_B: 1.309 median_A: 11.122 median_B: 17.265 
(epoch: 76, iters: 50, time: 0.234, data: 0.265) D_A: 5.134 G_A: 11.326 cycle_A: 4.885 idt_A: 8.173 D_B: 3.727 G_B: 0.782 cycle_B: 6.569 idt_B: 1.261 median_A: 11.402 median_B: 17.498 
(epoch: 78, iters: 50, time: 0.234, data: 0.244) D_A: 3.539 G_A: 0.248 cycle_A: 4.820 idt_A: 8.156 D_B: 8.090 G_B: 0.063 cycle_B: 7.496 idt_B: 1.240 median_A: 11.327 median_B: 16.868 
(epoch: 80, iters: 50, time: 0.235, data: 0.232) D_A: 5.244 G_A: 0.517 cycle_A: 4.849 idt_A: 8.280 D_B: 3.499 G_B: 0.012 cycle_B: 7.826 idt_B: 1.266 median_A: 11.351 median_B: 16.113 
(epoch: 82, iters: 50, time: 0.234, data: 0.246) D_A: 0.965 G_A: 0.039 cycle_A: 4.892 idt_A: 8.300 D_B: 0.325 G_B: 0.278 cycle_B: 7.971 idt_B: 1.264 median_A: 11.581 median_B: 16.226 
(epoch: 84, iters: 50, time: 0.233, data: 0.274) D_A: 2.936 G_A: 2.704 cycle_A: 4.994 idt_A: 7.957 D_B: 3.783 G_B: 0.034 cycle_B: 15.553 idt_B: 1.292 median_A: 11.970 median_B: 16.483 
