================ Training Loss (Wed Sep 24 05:40:58 2025) ================
(epoch: 52, iters: 50, time: 0.233, data: 0.227) D_A: 5.160 G_A: 0.931 cycle_A: 4.291 idt_A: 5.563 D_B: 0.870 G_B: 0.133 cycle_B: 5.465 idt_B: 1.651 median_A: 8.557 median_B: 12.933 
(epoch: 54, iters: 50, time: 0.233, data: 0.226) D_A: 4.184 G_A: 0.835 cycle_A: 4.199 idt_A: 5.496 D_B: 8.419 G_B: 0.894 cycle_B: 7.434 idt_B: 1.530 median_A: 8.600 median_B: 12.711 
(epoch: 56, iters: 50, time: 0.234, data: 0.229) D_A: 2.614 G_A: 0.105 cycle_A: 4.264 idt_A: 5.312 D_B: 1.865 G_B: 0.033 cycle_B: 5.458 idt_B: 1.447 median_A: 8.622 median_B: 12.408 
(epoch: 58, iters: 50, time: 0.231, data: 0.231) D_A: 2.235 G_A: 0.089 cycle_A: 4.278 idt_A: 5.162 D_B: 2.930 G_B: 0.003 cycle_B: 7.493 idt_B: 1.495 median_A: 8.482 median_B: 12.014 
(epoch: 60, iters: 50, time: 0.233, data: 0.228) D_A: 1.086 G_A: 0.011 cycle_A: 5.424 idt_A: 5.145 D_B: 0.551 G_B: 0.262 cycle_B: 5.201 idt_B: 1.534 median_A: 8.472 median_B: 11.686 
(epoch: 62, iters: 50, time: 0.233, data: 0.239) D_A: 0.687 G_A: 0.428 cycle_A: 4.506 idt_A: 5.083 D_B: 4.115 G_B: 0.004 cycle_B: 4.981 idt_B: 1.524 median_A: 8.465 median_B: 11.264 
(epoch: 64, iters: 50, time: 0.231, data: 0.235) D_A: 2.979 G_A: 0.274 cycle_A: 4.313 idt_A: 5.042 D_B: 1.692 G_B: 0.115 cycle_B: 4.402 idt_B: 1.649 median_A: 8.581 median_B: 11.344 
(epoch: 66, iters: 50, time: 0.232, data: 0.237) D_A: 0.496 G_A: 0.330 cycle_A: 4.282 idt_A: 4.896 D_B: 10.990 G_B: 0.040 cycle_B: 5.869 idt_B: 1.321 median_A: 8.505 median_B: 11.080 
(epoch: 68, iters: 50, time: 0.233, data: 0.235) D_A: 2.196 G_A: 1.166 cycle_A: 4.292 idt_A: 4.764 D_B: 12.540 G_B: 0.002 cycle_B: 4.324 idt_B: 1.330 median_A: 8.501 median_B: 10.557 
(epoch: 70, iters: 50, time: 0.234, data: 0.237) D_A: 0.544 G_A: 0.314 cycle_A: 5.519 idt_A: 4.698 D_B: 0.301 G_B: 0.006 cycle_B: 5.724 idt_B: 1.396 median_A: 8.484 median_B: 10.163 
