================ Training Loss (Fri Sep 19 21:09:31 2025) ================
(epoch: 26, iters: 100, time: 0.228, data: 0.183) D_A: 23.225 G_A: 0.200 cycle_A: 6.295 idt_A: 6.453 D_B: 0.530 G_B: 0.062 cycle_B: 6.438 idt_B: 3.179 median_A: 9.571 median_B: 18.663 
(epoch: 27, iters: 100, time: 0.228, data: 0.182) D_A: 24.027 G_A: 0.202 cycle_A: 6.330 idt_A: 6.403 D_B: 0.278 G_B: 0.176 cycle_B: 6.048 idt_B: 3.101 median_A: 9.500 median_B: 18.154 
(epoch: 28, iters: 100, time: 0.226, data: 0.212) D_A: 14.273 G_A: 4.297 cycle_A: 6.230 idt_A: 6.353 D_B: 0.375 G_B: 0.288 cycle_B: 6.184 idt_B: 3.072 median_A: 9.476 median_B: 17.147 
(epoch: 29, iters: 100, time: 0.226, data: 0.214) D_A: 10.522 G_A: 1.902 cycle_A: 6.219 idt_A: 6.322 D_B: 3.891 G_B: 0.038 cycle_B: 5.996 idt_B: 2.947 median_A: 9.472 median_B: 16.759 
(epoch: 30, iters: 100, time: 0.227, data: 0.193) D_A: 0.828 G_A: 0.003 cycle_A: 6.190 idt_A: 6.245 D_B: 0.329 G_B: 0.482 cycle_B: 5.970 idt_B: 2.913 median_A: 9.615 median_B: 16.406 
(epoch: 31, iters: 100, time: 0.228, data: 0.181) D_A: 1.477 G_A: 0.513 cycle_A: 6.234 idt_A: 6.189 D_B: 3.117 G_B: 0.149 cycle_B: 5.820 idt_B: 2.772 median_A: 9.553 median_B: 16.126 
(epoch: 32, iters: 100, time: 0.228, data: 0.181) D_A: 4.259 G_A: 0.058 cycle_A: 6.183 idt_A: 6.100 D_B: 5.290 G_B: 0.147 cycle_B: 5.647 idt_B: 2.759 median_A: 9.411 median_B: 15.635 
(epoch: 33, iters: 100, time: 0.226, data: 0.218) D_A: 3.956 G_A: 0.589 cycle_A: 6.183 idt_A: 6.018 D_B: 2.004 G_B: 0.074 cycle_B: 5.451 idt_B: 2.667 median_A: 9.367 median_B: 15.429 
(epoch: 34, iters: 100, time: 0.227, data: 0.213) D_A: 9.783 G_A: 0.008 cycle_A: 6.254 idt_A: 5.936 D_B: 0.687 G_B: 0.025 cycle_B: 5.557 idt_B: 2.629 median_A: 9.414 median_B: 15.370 
(epoch: 35, iters: 100, time: 0.226, data: 0.215) D_A: 3.454 G_A: 0.774 cycle_A: 6.461 idt_A: 5.824 D_B: 2.770 G_B: 0.625 cycle_B: 5.747 idt_B: 2.528 median_A: 9.432 median_B: 14.746 
(epoch: 36, iters: 100, time: 0.227, data: 0.213) D_A: 2.567 G_A: 2.358 cycle_A: 6.521 idt_A: 5.688 D_B: 3.501 G_B: 1.378 cycle_B: 5.921 idt_B: 2.486 median_A: 9.486 median_B: 14.432 
(epoch: 37, iters: 100, time: 0.228, data: 0.213) D_A: 4.683 G_A: 0.111 cycle_A: 6.436 idt_A: 5.589 D_B: 1.116 G_B: 0.025 cycle_B: 6.010 idt_B: 2.430 median_A: 9.379 median_B: 14.250 
(epoch: 38, iters: 100, time: 0.228, data: 0.184) D_A: 1.441 G_A: 0.799 cycle_A: 6.462 idt_A: 5.494 D_B: 2.092 G_B: 0.172 cycle_B: 6.648 idt_B: 2.245 median_A: 9.352 median_B: 14.242 
