================ Training Loss (Thu Nov 13 19:46:39 2025) ================
(epoch: 236, iters: 10, time: 0.235, data: 0.380) D_A: 575.879 G_A: 0.201 cycle_A: 1.962 idt_A: 11.937 D_B: 6.243 G_B: 4.648 cycle_B: 13.322 idt_B: 1.452 median_A: 14.245 median_B: 72.472 
(epoch: 245, iters: 10, time: 0.236, data: 0.388) D_A: 582.562 G_A: 1.285 cycle_A: 1.859 idt_A: 10.783 D_B: 1275.714 G_B: 2449.036 cycle_B: 65.344 idt_B: 1.487 median_A: 29.339 median_B: 72.459 
(epoch: 254, iters: 10, time: 0.236, data: 0.419) D_A: 531.242 G_A: 503.727 cycle_A: 16.480 idt_A: 9.858 D_B: 14.841 G_B: 12.724 cycle_B: 60.055 idt_B: 1.640 median_A: 27.677 median_B: 71.770 
(epoch: 263, iters: 10, time: 0.235, data: 0.178) D_A: 14274.519 G_A: 241.750 cycle_A: 15.547 idt_A: 10.085 D_B: 1778.139 G_B: 44.971 cycle_B: 52.345 idt_B: 1.807 median_A: 14.384 median_B: 71.457 
(epoch: 272, iters: 10, time: 0.234, data: 0.170) D_A: 152.465 G_A: 0.039 cycle_A: 5.316 idt_A: 9.607 D_B: 1052.467 G_B: 8.647 cycle_B: 25.471 idt_B: 1.633 median_A: 10.951 median_B: 72.692 
(epoch: 281, iters: 10, time: 0.236, data: 0.227) D_A: 9044.145 G_A: 2.335 cycle_A: 3.130 idt_A: 9.728 D_B: 22.734 G_B: 0.007 cycle_B: 6.818 idt_B: 1.328 median_A: 14.736 median_B: 72.512 
(epoch: 290, iters: 10, time: 0.235, data: 0.232) D_A: 45.772 G_A: 0.059 cycle_A: 3.006 idt_A: 8.957 D_B: 14.630 G_B: 0.105 cycle_B: 6.573 idt_B: 1.558 median_A: 14.848 median_B: 72.488 
(epoch: 299, iters: 10, time: 0.235, data: 0.244) D_A: 99.008 G_A: 0.058 cycle_A: 2.533 idt_A: 9.009 D_B: 0.093 G_B: 1.101 cycle_B: 7.049 idt_B: 1.659 median_A: 14.780 median_B: 72.459 
(epoch: 308, iters: 10, time: 0.235, data: 0.256) D_A: 63.321 G_A: 0.011 cycle_A: 2.077 idt_A: 8.975 D_B: 0.009 G_B: 0.756 cycle_B: 13.807 idt_B: 1.347 median_A: 13.115 median_B: 72.356 
(epoch: 317, iters: 10, time: 0.235, data: 0.233) D_A: 32.480 G_A: 0.072 cycle_A: 2.461 idt_A: 8.578 D_B: 0.926 G_B: 0.119 cycle_B: 6.338 idt_B: 1.410 median_A: 12.823 median_B: 72.231 
(epoch: 326, iters: 10, time: 0.235, data: 0.236) D_A: 10.836 G_A: 0.062 cycle_A: 2.031 idt_A: 8.666 D_B: 0.100 G_B: 0.595 cycle_B: 6.259 idt_B: 1.261 median_A: 12.667 median_B: 71.818 
(epoch: 335, iters: 10, time: 0.235, data: 0.270) D_A: 1.932 G_A: 0.018 cycle_A: 2.178 idt_A: 8.593 D_B: 0.312 G_B: 0.044 cycle_B: 7.008 idt_B: 1.377 median_A: 17.503 median_B: 71.629 
(epoch: 344, iters: 10, time: 0.234, data: 0.276) D_A: 28.444 G_A: 0.631 cycle_A: 1.756 idt_A: 9.129 D_B: 0.305 G_B: 0.006 cycle_B: 6.272 idt_B: 1.482 median_A: 11.344 median_B: 71.648 
(epoch: 353, iters: 10, time: 0.235, data: 0.331) D_A: 49.318 G_A: 0.045 cycle_A: 2.669 idt_A: 10.231 D_B: 5.277 G_B: 0.949 cycle_B: 72.553 idt_B: 1.340 median_A: 10.062 median_B: 71.346 
(epoch: 362, iters: 10, time: 0.236, data: 0.317) D_A: 22.771 G_A: 10.977 cycle_A: 5.921 idt_A: 9.472 D_B: 304.225 G_B: 4.380 cycle_B: 45.432 idt_B: 1.440 median_A: 20.879 median_B: 70.732 
(epoch: 371, iters: 10, time: 0.233, data: 0.400) D_A: 7.102 G_A: 51.916 cycle_A: 5.093 idt_A: 8.314 D_B: 31.400 G_B: 0.810 cycle_B: 72.172 idt_B: 1.245 median_A: 10.055 median_B: 68.764 
(epoch: 380, iters: 10, time: 0.234, data: 0.213) D_A: 239.173 G_A: 1.896 cycle_A: 3.671 idt_A: 7.878 D_B: 14.715 G_B: 0.625 cycle_B: 72.062 idt_B: 0.965 median_A: 10.050 median_B: 68.189 
(epoch: 389, iters: 10, time: 0.235, data: 0.212) D_A: 251.096 G_A: 2.077 cycle_A: 3.548 idt_A: 7.711 D_B: 3.328 G_B: 0.815 cycle_B: 72.029 idt_B: 1.053 median_A: 10.055 median_B: 66.714 
(epoch: 398, iters: 10, time: 0.236, data: 0.299) D_A: 256.624 G_A: 1.459 cycle_A: 3.146 idt_A: 7.710 D_B: 0.008 G_B: 0.776 cycle_B: 72.008 idt_B: 1.334 median_A: 10.055 median_B: 67.048 
(epoch: 407, iters: 10, time: 0.235, data: 0.319) D_A: 297.453 G_A: 0.387 cycle_A: 3.622 idt_A: 7.669 D_B: 0.754 G_B: 0.420 cycle_B: 71.887 idt_B: 1.123 median_A: 10.018 median_B: 67.773 
(epoch: 416, iters: 10, time: 0.237, data: 0.330) D_A: 129.564 G_A: 5.205 cycle_A: 3.481 idt_A: 7.676 D_B: 0.756 G_B: 0.955 cycle_B: 71.898 idt_B: 1.219 median_A: 10.055 median_B: 64.204 
(epoch: 425, iters: 10, time: 0.235, data: 0.308) D_A: 1.210 G_A: 0.550 cycle_A: 4.003 idt_A: 8.528 D_B: 0.480 G_B: 0.938 cycle_B: 71.822 idt_B: 1.187 median_A: 10.055 median_B: 63.006 
(epoch: 434, iters: 10, time: 0.237, data: 0.352) D_A: 142.174 G_A: 0.037 cycle_A: 2.735 idt_A: 9.227 D_B: 0.003 G_B: 0.966 cycle_B: 71.705 idt_B: 1.122 median_A: 10.055 median_B: 64.725 
(epoch: 443, iters: 10, time: 0.236, data: 0.351) D_A: 2199.376 G_A: 0.324 cycle_A: 2.921 idt_A: 9.254 D_B: 0.088 G_B: 1.023 cycle_B: 71.556 idt_B: 0.991 median_A: 10.055 median_B: 65.115 
(epoch: 452, iters: 10, time: 0.234, data: 0.423) D_A: 462.319 G_A: 2.701 cycle_A: 2.399 idt_A: 8.976 D_B: 0.001 G_B: 1.093 cycle_B: 71.347 idt_B: 1.118 median_A: 10.055 median_B: 61.713 
(epoch: 461, iters: 10, time: 0.237, data: 0.484) D_A: 24.193 G_A: 0.038 cycle_A: 2.185 idt_A: 7.811 D_B: 0.007 G_B: 1.176 cycle_B: 71.066 idt_B: 1.289 median_A: 10.055 median_B: 58.357 
(epoch: 470, iters: 10, time: 0.234, data: 0.464) D_A: 71.313 G_A: 0.428 cycle_A: 3.432 idt_A: 8.073 D_B: 0.205 G_B: 1.767 cycle_B: 70.673 idt_B: 1.153 median_A: 10.054 median_B: 65.096 
(epoch: 479, iters: 10, time: 0.231, data: 0.447) D_A: 78.311 G_A: 2.093 cycle_A: 2.884 idt_A: 8.020 D_B: 0.215 G_B: 1.115 cycle_B: 70.676 idt_B: 1.143 median_A: 10.055 median_B: 54.714 
(epoch: 488, iters: 10, time: 0.233, data: 0.192) D_A: 8.159 G_A: 1.304 cycle_A: 2.937 idt_A: 7.445 D_B: 0.107 G_B: 1.114 cycle_B: 70.615 idt_B: 1.047 median_A: 10.055 median_B: 53.205 
(epoch: 497, iters: 10, time: 0.235, data: 0.190) D_A: 0.619 G_A: 0.024 cycle_A: 2.039 idt_A: 7.184 D_B: 0.003 G_B: 1.089 cycle_B: 70.498 idt_B: 1.108 median_A: 10.055 median_B: 55.209 
(epoch: 506, iters: 10, time: 0.235, data: 0.236) D_A: 1.526 G_A: 0.238 cycle_A: 2.748 idt_A: 7.612 D_B: 0.001 G_B: 1.068 cycle_B: 70.291 idt_B: 1.196 median_A: 10.055 median_B: 51.119 
(epoch: 515, iters: 10, time: 0.236, data: 0.226) D_A: 74.233 G_A: 33.308 cycle_A: 2.375 idt_A: 7.965 D_B: 0.000 G_B: 1.041 cycle_B: 69.988 idt_B: 1.197 median_A: 10.055 median_B: 53.604 
(epoch: 524, iters: 10, time: 0.236, data: 0.253) D_A: 134.060 G_A: 1.201 cycle_A: 2.807 idt_A: 7.363 D_B: 0.000 G_B: 1.008 cycle_B: 69.527 idt_B: 1.093 median_A: 10.056 median_B: 49.350 
(epoch: 533, iters: 10, time: 0.235, data: 0.234) D_A: 127.017 G_A: 21.306 cycle_A: 4.040 idt_A: 8.252 D_B: 0.000 G_B: 0.970 cycle_B: 68.827 idt_B: 1.090 median_A: 10.056 median_B: 44.940 
(epoch: 542, iters: 10, time: 0.233, data: 0.245) D_A: 607.174 G_A: 53.934 cycle_A: 4.922 idt_A: 6.810 D_B: 55.986 G_B: 1.003 cycle_B: 68.100 idt_B: 1.133 median_A: 10.055 median_B: 54.522 
(epoch: 551, iters: 10, time: 0.236, data: 0.272) D_A: 31.174 G_A: 3.328 cycle_A: 2.101 idt_A: 7.655 D_B: 36968.617 G_B: 1.407 cycle_B: 66.905 idt_B: 1.104 median_A: 10.055 median_B: 55.895 
(epoch: 560, iters: 10, time: 0.234, data: 0.280) D_A: 4.161 G_A: 0.408 cycle_A: 2.510 idt_A: 9.077 D_B: 1.435 G_B: 1.262 cycle_B: 65.013 idt_B: 1.495 median_A: 10.055 median_B: 46.366 
(epoch: 569, iters: 10, time: 0.237, data: 0.285) D_A: 13.450 G_A: 8.985 cycle_A: 2.899 idt_A: 8.556 D_B: 0.011 G_B: 1.240 cycle_B: 65.151 idt_B: 1.102 median_A: 10.048 median_B: 48.276 
(epoch: 578, iters: 10, time: 0.235, data: 0.313) D_A: 2.926 G_A: 0.037 cycle_A: 2.211 idt_A: 9.114 D_B: 0.010 G_B: 1.256 cycle_B: 64.613 idt_B: 1.128 median_A: 10.055 median_B: 44.115 
(epoch: 587, iters: 10, time: 0.237, data: 0.316) D_A: 1.062 G_A: 0.714 cycle_A: 2.083 idt_A: 8.493 D_B: 0.007 G_B: 1.225 cycle_B: 63.920 idt_B: 1.040 median_A: 10.056 median_B: 48.502 
(epoch: 596, iters: 10, time: 0.235, data: 0.183) D_A: 45.203 G_A: 1.343 cycle_A: 2.578 idt_A: 8.216 D_B: 0.004 G_B: 1.183 cycle_B: 62.743 idt_B: 1.149 median_A: 10.056 median_B: 41.961 
(epoch: 605, iters: 10, time: 0.234, data: 0.170) D_A: 104.348 G_A: 10.411 cycle_A: 2.567 idt_A: 7.566 D_B: 0.002 G_B: 1.135 cycle_B: 60.893 idt_B: 1.203 median_A: 10.056 median_B: 38.737 
(epoch: 614, iters: 10, time: 0.236, data: 0.254) D_A: 230.916 G_A: 1.250 cycle_A: 2.019 idt_A: 6.877 D_B: 0.345 G_B: 0.997 cycle_B: 59.393 idt_B: 0.933 median_A: 10.056 median_B: 45.484 
(epoch: 623, iters: 10, time: 0.235, data: 0.294) D_A: 204.768 G_A: 2.396 cycle_A: 2.819 idt_A: 6.536 D_B: 0.027 G_B: 0.951 cycle_B: 55.003 idt_B: 1.151 median_A: 10.057 median_B: 41.219 
(epoch: 632, iters: 10, time: 0.235, data: 0.367) D_A: 123.764 G_A: 15.523 cycle_A: 3.385 idt_A: 7.769 D_B: 0.002 G_B: 0.897 cycle_B: 46.814 idt_B: 1.034 median_A: 10.059 median_B: 50.440 
(epoch: 641, iters: 10, time: 0.236, data: 0.369) D_A: 125.421 G_A: 4.947 cycle_A: 2.057 idt_A: 9.156 D_B: 0.004 G_B: 0.830 cycle_B: 30.178 idt_B: 0.946 median_A: 10.061 median_B: 48.008 
(epoch: 650, iters: 10, time: 0.235, data: 0.369) D_A: 62.259 G_A: 3.333 cycle_A: 2.101 idt_A: 7.244 D_B: 0.009 G_B: 0.749 cycle_B: 8.121 idt_B: 0.975 median_A: 10.063 median_B: 46.826 
(epoch: 659, iters: 10, time: 0.236, data: 0.374) D_A: 54.105 G_A: 17.150 cycle_A: 2.048 idt_A: 7.523 D_B: 0.010 G_B: 0.740 cycle_B: 8.397 idt_B: 1.000 median_A: 10.063 median_B: 44.327 
(epoch: 668, iters: 10, time: 0.235, data: 0.381) D_A: 99.603 G_A: 50.696 cycle_A: 2.466 idt_A: 6.951 D_B: 0.010 G_B: 0.733 cycle_B: 7.224 idt_B: 1.022 median_A: 10.063 median_B: 45.450 
(epoch: 677, iters: 10, time: 0.235, data: 0.430) D_A: 110.643 G_A: 26.954 cycle_A: 3.064 idt_A: 5.844 D_B: 0.012 G_B: 0.713 cycle_B: 6.204 idt_B: 1.010 median_A: 10.063 median_B: 34.717 
(epoch: 686, iters: 10, time: 0.235, data: 0.395) D_A: 115.853 G_A: 0.903 cycle_A: 3.260 idt_A: 5.945 D_B: 0.015 G_B: 0.685 cycle_B: 5.621 idt_B: 1.003 median_A: 10.063 median_B: 39.282 
(epoch: 695, iters: 10, time: 0.235, data: 0.403) D_A: 278.489 G_A: 72.055 cycle_A: 3.747 idt_A: 6.518 D_B: 0.011 G_B: 0.650 cycle_B: 5.407 idt_B: 0.876 median_A: 10.063 median_B: 50.173 
(epoch: 704, iters: 10, time: 0.236, data: 0.188) D_A: 216.819 G_A: 2.028 cycle_A: 3.612 idt_A: 6.061 D_B: 0.014 G_B: 0.636 cycle_B: 5.423 idt_B: 1.012 median_A: 10.059 median_B: 43.549 
(epoch: 713, iters: 10, time: 0.234, data: 0.163) D_A: 139.266 G_A: 0.030 cycle_A: 2.699 idt_A: 6.775 D_B: 0.018 G_B: 0.564 cycle_B: 5.396 idt_B: 0.999 median_A: 10.063 median_B: 39.184 
(epoch: 722, iters: 10, time: 0.235, data: 0.179) D_A: 82.761 G_A: 70.579 cycle_A: 3.309 idt_A: 5.998 D_B: 0.037 G_B: 0.550 cycle_B: 5.383 idt_B: 1.095 median_A: 10.063 median_B: 30.393 
(epoch: 731, iters: 10, time: 0.233, data: 0.217) D_A: 2.018 G_A: 1.013 cycle_A: 4.429 idt_A: 5.739 D_B: 0.044 G_B: 0.496 cycle_B: 5.353 idt_B: 0.998 median_A: 10.063 median_B: 28.772 
(epoch: 740, iters: 10, time: 0.236, data: 0.232) D_A: 93.846 G_A: 0.044 cycle_A: 3.830 idt_A: 6.276 D_B: 0.053 G_B: 0.454 cycle_B: 5.314 idt_B: 1.234 median_A: 10.063 median_B: 37.492 
