threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5691111111111111,3911,3150,2561
0.001,0.5839603596990274,4680,3951,3182
0.01,0.6093494119398541,5721,5089,4093
0.05,0.6433000126534227,6796,6191,5084
0.1,0.6744241272856804,7324,6778,5680
0.2,0.7146829810901001,7935,7480,6425
0.5,0.8107161257083977,8907,8666,7868
1.0,1.0,10042,10042,10042
