threshold,jaccard,n_real
0.0001,0.33708950418544753,2951
0.001,0.35130890052356023,3644
0.01,0.35826691191498056,4625
0.05,0.3741043159473421,5696
0.1,0.3887133182844244,6295
0.2,0.41815977367641116,7040
0.5,0.6769214278057669,8358
