threshold,jaccard,n_real
0.0001,0.8577791918549157,2951
0.001,0.8572532852357639,3644
0.01,0.857405140758874,4625
0.05,0.8522462562396007,5696
0.1,0.8546029832755763,6295
0.2,0.8563944116066631,7040
0.5,0.8825529985262441,8358
