threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5258113700718797,3907,3098,2414
0.001,0.5466031862296282,4645,3801,2985
0.01,0.5753445176752546,5668,4849,3841
0.05,0.615987662254209,6682,5892,4793
0.1,0.6413381123058542,7255,6483,5368
0.2,0.6814238042269188,7868,7248,6126
0.5,0.8029490616621984,8915,8570,7787
1.0,1.0,10042,10042,10042
