threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5724508050089445,3125,3907,2560
0.001,0.5849442379182156,3878,4649,3147
0.01,0.6040288634996993,5004,5666,4018
0.05,0.6462215320910973,6051,6671,4994
0.1,0.670995670995671,6639,7257,5580
0.2,0.7060340960071781,7350,7861,6295
0.5,0.8116721854304636,8595,8913,7844
1.0,1.0,10042,10042,10042
