threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5735063772656075,3125,3907,2563
0.001,0.5856744186046512,3878,4645,3148
0.01,0.6050533914874417,5004,5668,4023
0.05,0.646579593948015,6051,6682,5000
0.1,0.6703534503486415,6639,7255,5576
0.2,0.706436420722135,7350,7868,6300
0.5,0.8122541916787415,8595,8915,7848
1.0,1.0,10042,10042,10042
