threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.571748376986792,3907,3114,2554
0.001,0.5873015873015873,4645,3855,3145
0.01,0.6070780399274047,5668,4958,4014
0.05,0.6458387347679544,6682,6014,4982
0.1,0.6685116111177957,7255,6612,5556
0.2,0.7055917359083764,7868,7322,6284
0.5,0.8121958794906305,8915,8589,7845
1.0,1.0,10042,10042,10042
