threshold,jaccard,n_real
0.0001,0.599308300395257,2951
0.001,0.6145982416683705,3644
0.01,0.6213958060288336,4625
0.05,0.6513913886196872,5696
0.1,0.6688843398157626,6295
0.2,0.696071512585274,7040
0.5,0.7848248205994091,8358
