================ Training Loss (Sat Mar  7 12:33:49 2026) ================
(epoch: 5, iters: 40, time: 0.009, data: 0.001) G_A: 16.382 G_B: 3.112 D_A: 5.942 D_B: 2.864 cycle_A: 0.499 cycle_B: 0.453 feedback_A: 8.623 feedback_B: 7.837 idt_A: 0.258 idt_B: 0.208 
(epoch: 6, iters: 0, time: 0.009, data: 0.001) G_A: 31.895 G_B: 1.174 D_A: 19.997 D_B: 0.413 cycle_A: 0.403 cycle_B: 0.237 feedback_A: 7.902 feedback_B: 7.950 idt_A: 0.222 idt_B: 0.200 
(epoch: 6, iters: 10, time: 0.009, data: 0.001) G_A: 0.245 G_B: 0.236 D_A: 0.176 D_B: 13.012 cycle_A: 0.317 cycle_B: 0.276 feedback_A: 8.126 feedback_B: 7.785 idt_A: 0.215 idt_B: 0.183 
(epoch: 6, iters: 20, time: 0.009, data: 0.001) G_A: 1.663 G_B: 1.523 D_A: 2.466 D_B: 2.704 cycle_A: 0.393 cycle_B: 0.459 feedback_A: 7.943 feedback_B: 7.907 idt_A: 0.188 idt_B: 0.234 
(epoch: 6, iters: 30, time: 0.009, data: 0.001) G_A: 1.236 G_B: 10.447 D_A: 6.575 D_B: 9.084 cycle_A: 0.362 cycle_B: 0.516 feedback_A: 7.963 feedback_B: 8.075 idt_A: 0.188 idt_B: 0.240 
(epoch: 6, iters: 40, time: 0.009, data: 0.001) G_A: 566.980 G_B: 22.854 D_A: 260.239 D_B: 72.218 cycle_A: 1.102 cycle_B: 0.559 feedback_A: 7.960 feedback_B: 9.576 idt_A: 0.340 idt_B: 0.205 
(epoch: 7, iters: 0, time: 0.009, data: 0.001) G_A: 509.962 G_B: 1.259 D_A: 233.341 D_B: 4.667 cycle_A: 0.911 cycle_B: 0.563 feedback_A: 8.216 feedback_B: 8.719 idt_A: 0.248 idt_B: 0.241 
(epoch: 7, iters: 10, time: 0.008, data: 0.001) G_A: 12.355 G_B: 10.095 D_A: 3.177 D_B: 9.409 cycle_A: 0.393 cycle_B: 0.648 feedback_A: 8.835 feedback_B: 8.148 idt_A: 0.226 idt_B: 0.221 
(epoch: 7, iters: 20, time: 0.008, data: 0.001) G_A: 2.427 G_B: 0.012 D_A: 1.449 D_B: 13.960 cycle_A: 0.333 cycle_B: 0.323 feedback_A: 7.726 feedback_B: 7.835 idt_A: 0.200 idt_B: 0.203 
(epoch: 7, iters: 30, time: 0.008, data: 0.001) G_A: 5.416 G_B: 0.003 D_A: 1.985 D_B: 5.149 cycle_A: 0.537 cycle_B: 0.432 feedback_A: 8.460 feedback_B: 8.141 idt_A: 0.236 idt_B: 0.222 
(epoch: 7, iters: 40, time: 0.008, data: 0.001) G_A: 0.497 G_B: 0.735 D_A: 0.099 D_B: 2.602 cycle_A: 0.250 cycle_B: 0.313 feedback_A: 8.410 feedback_B: 8.040 idt_A: 0.199 idt_B: 0.169 
(epoch: 8, iters: 0, time: 0.008, data: 0.001) G_A: 0.095 G_B: 0.857 D_A: 0.990 D_B: 8.306 cycle_A: 0.288 cycle_B: 0.275 feedback_A: 7.720 feedback_B: 7.957 idt_A: 0.161 idt_B: 0.170 
(epoch: 8, iters: 10, time: 0.008, data: 0.001) G_A: 0.009 G_B: 0.651 D_A: 0.899 D_B: 0.079 cycle_A: 0.392 cycle_B: 0.336 feedback_A: 7.500 feedback_B: 7.887 idt_A: 0.158 idt_B: 0.190 
(epoch: 8, iters: 20, time: 0.008, data: 0.001) G_A: 20.976 G_B: 3.050 D_A: 16.424 D_B: 1.040 cycle_A: 0.695 cycle_B: 0.489 feedback_A: 7.070 feedback_B: 7.611 idt_A: 0.214 idt_B: 0.191 
(epoch: 8, iters: 30, time: 0.008, data: 0.001) G_A: 0.507 G_B: 22.243 D_A: 0.271 D_B: 16.455 cycle_A: 0.303 cycle_B: 0.596 feedback_A: 8.308 feedback_B: 7.734 idt_A: 0.158 idt_B: 0.208 
(epoch: 8, iters: 40, time: 0.008, data: 0.001) G_A: 3.720 G_B: 12.792 D_A: 4.301 D_B: 10.983 cycle_A: 0.425 cycle_B: 0.570 feedback_A: 8.418 feedback_B: 7.833 idt_A: 0.171 idt_B: 0.218 
(epoch: 9, iters: 0, time: 0.008, data: 0.001) G_A: 2.601 G_B: 0.059 D_A: 0.284 D_B: 1.649 cycle_A: 0.260 cycle_B: 0.293 feedback_A: 7.767 feedback_B: 7.686 idt_A: 0.137 idt_B: 0.149 
(epoch: 9, iters: 10, time: 0.008, data: 0.001) G_A: 1.860 G_B: 1.415 D_A: 0.677 D_B: 2.975 cycle_A: 0.272 cycle_B: 0.393 feedback_A: 7.681 feedback_B: 7.558 idt_A: 0.140 idt_B: 0.181 
(epoch: 9, iters: 20, time: 0.008, data: 0.001) G_A: 1.277 G_B: 23.830 D_A: 2.389 D_B: 7.682 cycle_A: 0.504 cycle_B: 0.384 feedback_A: 7.705 feedback_B: 7.899 idt_A: 0.213 idt_B: 0.213 
(epoch: 9, iters: 30, time: 0.008, data: 0.001) G_A: 0.961 G_B: 1.056 D_A: 1.041 D_B: 0.140 cycle_A: 0.324 cycle_B: 0.253 feedback_A: 7.820 feedback_B: 7.553 idt_A: 0.115 idt_B: 0.163 
(epoch: 9, iters: 40, time: 0.008, data: 0.001) G_A: 0.521 G_B: 2.509 D_A: 0.040 D_B: 1.044 cycle_A: 0.292 cycle_B: 0.280 feedback_A: 8.459 feedback_B: 7.593 idt_A: 0.136 idt_B: 0.173 
(epoch: 10, iters: 0, time: 0.008, data: 0.001) G_A: 5.795 G_B: 1.771 D_A: 1.534 D_B: 0.144 cycle_A: 0.424 cycle_B: 0.251 feedback_A: 8.199 feedback_B: 7.487 idt_A: 0.160 idt_B: 0.163 
(epoch: 10, iters: 10, time: 0.008, data: 0.001) G_A: 1.229 G_B: 24.588 D_A: 2.937 D_B: 17.955 cycle_A: 0.359 cycle_B: 0.481 feedback_A: 7.282 feedback_B: 7.069 idt_A: 0.129 idt_B: 0.165 
(epoch: 10, iters: 20, time: 0.008, data: 0.001) G_A: 0.066 G_B: 0.119 D_A: 0.797 D_B: 0.751 cycle_A: 0.430 cycle_B: 0.263 feedback_A: 7.937 feedback_B: 7.069 idt_A: 0.164 idt_B: 0.199 
(epoch: 10, iters: 30, time: 0.008, data: 0.001) G_A: 2.947 G_B: 1.119 D_A: 4.619 D_B: 0.014 cycle_A: 0.454 cycle_B: 0.587 feedback_A: 7.200 feedback_B: 7.884 idt_A: 0.143 idt_B: 0.141 
(epoch: 10, iters: 40, time: 0.009, data: 0.001) G_A: 0.403 G_B: 0.850 D_A: 0.156 D_B: 3.442 cycle_A: 0.291 cycle_B: 0.412 feedback_A: 8.187 feedback_B: 7.663 idt_A: 0.130 idt_B: 0.163 
(epoch: 11, iters: 0, time: 0.010, data: 0.002) G_A: 14.844 G_B: 42.530 D_A: 11.782 D_B: 17.379 cycle_A: 0.668 cycle_B: 0.613 feedback_A: 7.062 feedback_B: 7.463 idt_A: 0.182 idt_B: 0.193 
(epoch: 11, iters: 10, time: 0.009, data: 0.001) G_A: 0.486 G_B: 1.564 D_A: 1.457 D_B: 0.155 cycle_A: 0.454 cycle_B: 0.337 feedback_A: 8.153 feedback_B: 7.127 idt_A: 0.187 idt_B: 0.150 
(epoch: 11, iters: 20, time: 0.009, data: 0.001) G_A: 2.156 G_B: 0.968 D_A: 3.221 D_B: 0.108 cycle_A: 0.469 cycle_B: 0.303 feedback_A: 7.320 feedback_B: 6.959 idt_A: 0.143 idt_B: 0.164 
(epoch: 11, iters: 30, time: 0.010, data: 0.001) G_A: 1.347 G_B: 0.025 D_A: 0.180 D_B: 0.767 cycle_A: 0.327 cycle_B: 0.331 feedback_A: 7.149 feedback_B: 7.431 idt_A: 0.119 idt_B: 0.179 
(epoch: 11, iters: 40, time: 0.009, data: 0.001) G_A: 0.027 G_B: 2.062 D_A: 0.680 D_B: 1.147 cycle_A: 0.643 cycle_B: 0.298 feedback_A: 7.050 feedback_B: 6.336 idt_A: 0.150 idt_B: 0.180 
(epoch: 12, iters: 0, time: 0.009, data: 0.001) G_A: 0.161 G_B: 0.020 D_A: 0.179 D_B: 0.660 cycle_A: 0.313 cycle_B: 0.391 feedback_A: 6.679 feedback_B: 7.437 idt_A: 0.138 idt_B: 0.191 
(epoch: 12, iters: 10, time: 0.011, data: 0.001) G_A: 2.143 G_B: 0.971 D_A: 3.242 D_B: 0.007 cycle_A: 0.522 cycle_B: 0.370 feedback_A: 6.195 feedback_B: 6.810 idt_A: 0.181 idt_B: 0.225 
(epoch: 12, iters: 20, time: 0.009, data: 0.001) G_A: 9.092 G_B: 0.317 D_A: 2.065 D_B: 0.583 cycle_A: 0.327 cycle_B: 0.387 feedback_A: 6.081 feedback_B: 6.759 idt_A: 0.165 idt_B: 0.219 
(epoch: 12, iters: 30, time: 0.009, data: 0.001) G_A: 0.054 G_B: 0.282 D_A: 0.772 D_B: 0.687 cycle_A: 0.414 cycle_B: 0.345 feedback_A: 6.166 feedback_B: 6.982 idt_A: 0.150 idt_B: 0.213 
(epoch: 12, iters: 40, time: 0.011, data: 0.001) G_A: 3.135 G_B: 3.604 D_A: 0.458 D_B: 2.082 cycle_A: 0.333 cycle_B: 0.343 feedback_A: 6.028 feedback_B: 6.307 idt_A: 0.156 idt_B: 0.231 
(epoch: 13, iters: 0, time: 0.009, data: 0.001) G_A: 0.014 G_B: 0.084 D_A: 0.525 D_B: 0.986 cycle_A: 0.307 cycle_B: 0.280 feedback_A: 6.172 feedback_B: 5.944 idt_A: 0.154 idt_B: 0.221 
(epoch: 13, iters: 10, time: 0.009, data: 0.001) G_A: 0.205 G_B: 3.839 D_A: 1.115 D_B: 5.227 cycle_A: 0.387 cycle_B: 0.246 feedback_A: 6.048 feedback_B: 5.891 idt_A: 0.133 idt_B: 0.247 
(epoch: 13, iters: 20, time: 0.009, data: 0.001) G_A: 0.005 G_B: 1.410 D_A: 0.430 D_B: 0.045 cycle_A: 0.275 cycle_B: 0.254 feedback_A: 6.372 feedback_B: 5.863 idt_A: 0.131 idt_B: 0.218 
(epoch: 13, iters: 30, time: 0.009, data: 0.001) G_A: 0.042 G_B: 1.028 D_A: 0.339 D_B: 3.553 cycle_A: 0.309 cycle_B: 0.286 feedback_A: 6.396 feedback_B: 5.963 idt_A: 0.135 idt_B: 0.231 
