================ Training Loss (Mon Mar  9 11:11:31 2026) ================
(epoch: 5, iters: 40, time: 0.008, data: 0.001) G_A: 0.683 G_B: 0.247 D_A: 57.268 D_B: 5.856 cycle_A: 2.659 cycle_B: 3.546 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.598 idt_B: 1.345 
(epoch: 6, iters: 0, time: 0.008, data: 0.001) G_A: 26.620 G_B: 1.861 D_A: 53.466 D_B: 1.897 cycle_A: 3.220 cycle_B: 2.413 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.156 idt_B: 1.444 
(epoch: 6, iters: 10, time: 0.008, data: 0.001) G_A: 0.493 G_B: 0.693 D_A: 2.725 D_B: 5.821 cycle_A: 2.969 cycle_B: 3.009 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.300 idt_B: 1.273 
(epoch: 6, iters: 20, time: 0.007, data: 0.001) G_A: 0.028 G_B: 0.003 D_A: 2.629 D_B: 1.038 cycle_A: 3.784 cycle_B: 2.999 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.191 idt_B: 1.997 
(epoch: 6, iters: 30, time: 0.008, data: 0.001) G_A: 16.281 G_B: 0.255 D_A: 6.227 D_B: 0.458 cycle_A: 3.075 cycle_B: 1.700 feedback_A: 0.000 feedback_B: 0.000 idt_A: 0.945 idt_B: 1.551 
(epoch: 6, iters: 40, time: 0.008, data: 0.001) G_A: 61.839 G_B: 6.265 D_A: 30.264 D_B: 6.536 cycle_A: 6.260 cycle_B: 5.179 feedback_A: 0.000 feedback_B: 0.000 idt_A: 2.049 idt_B: 1.685 
(epoch: 7, iters: 0, time: 0.008, data: 0.001) G_A: 35.899 G_B: 6.816 D_A: 61.218 D_B: 36.479 cycle_A: 5.034 cycle_B: 4.942 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.828 idt_B: 1.811 
(epoch: 7, iters: 10, time: 0.008, data: 0.001) G_A: 57.379 G_B: 41.349 D_A: 45.927 D_B: 47.770 cycle_A: 6.205 cycle_B: 4.934 feedback_A: 0.000 feedback_B: 0.000 idt_A: 2.246 idt_B: 1.821 
(epoch: 7, iters: 20, time: 0.007, data: 0.001) G_A: 1.880 G_B: 0.393 D_A: 5.360 D_B: 6.021 cycle_A: 4.303 cycle_B: 4.389 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.756 idt_B: 2.010 
(epoch: 7, iters: 30, time: 0.007, data: 0.001) G_A: 0.373 G_B: 1.257 D_A: 3.524 D_B: 0.492 cycle_A: 3.371 cycle_B: 4.550 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.817 idt_B: 1.962 
(epoch: 7, iters: 40, time: 0.008, data: 0.001) G_A: 0.651 G_B: 5.306 D_A: 0.033 D_B: 4.614 cycle_A: 2.189 cycle_B: 2.898 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.594 idt_B: 1.414 
(epoch: 8, iters: 0, time: 0.008, data: 0.001) G_A: 0.761 G_B: 0.814 D_A: 0.150 D_B: 39.609 cycle_A: 3.768 cycle_B: 2.203 feedback_A: 0.000 feedback_B: 0.000 idt_A: 1.328 idt_B: 1.378 
