threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.2833573602434727,4124,3888,1769
0.001,0.34323339871112357,4868,4720,2450
0.01,0.4318740777176586,5867,5777,3512
0.05,0.5356099752864525,6913,6757,4768
0.1,0.590446273830156,7405,7278,5451
0.2,0.6621621621621622,8004,7863,6321
0.5,0.8010703827123093,8953,8883,7933
1.0,1.0,10042,10042,10042
