threshold,jaccard,n_real
0.0001,0.5748792270531401,3010
0.001,0.589196462898885,3703
0.01,0.6036708663866853,4746
0.05,0.6376329787234043,5748
0.1,0.6554178426800834,6362
0.2,0.6951498512926104,7086
0.5,0.7896000835334656,8345
