threshold,jaccard,n_real
0.0001,0.25330475169703465,3010
0.001,0.30555978674790557,3703
0.01,0.3879859576127942,4746
0.05,0.47795146990200654,5748
0.1,0.5359812562758005,6362
0.2,0.6042022184300341,7086
0.5,0.7556119857795836,8345
