threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.5370170515864451,3975,3146,2488
0.001,0.5505150912705584,4734,3845,3046
0.01,0.5810670233318472,5754,4885,3910
0.05,0.616991643454039,6823,5948,4873
0.1,0.6407446683162484,7377,6548,5438
0.2,0.6862137641071033,7948,7292,6202
0.5,0.7992178655963775,8937,8546,7766
1.0,1.0,10042,10042,10042
