threshold,jaccard,n_real,n_fake,n_overlap
0.0001,0.336613892454714,4119,5252,2360
0.001,0.39249806651198765,4851,5952,3045
0.01,0.47685508257734355,5853,6845,4100
0.05,0.5740599455040872,6852,7590,5267
0.1,0.6298928609313673,7376,7989,5938
0.2,0.6949152542372882,7966,8434,6724
0.5,0.8258330816470352,8956,9180,8203
1.0,1.0,10042,10042,10042
