set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
AGE-RAGE signaling pathway in diabetic complications,0.9546734071516392,16/33,PLCD4;COL4A4;THBD;CCL2;AGT;F3;COL4A2;SELE;PLCG2;AKT3;MAPK11;COL4A5;EGR1;JAK2;EDN1;ICAM1,0.36727229212346074,23/33,CCL2;JAK2;PLCD4;COL1A1;AGT;NRAS;PLCG2;MAPK11;COL4A3;EDN1;ICAM1;COL4A4;SELE;TGFB1;NOX1;EGR1;PIK3CB;F3;COL4A2;AKT3;PLCD3;THBD;PLCB3,33
Bile secretion,0.95543253545239,22/44,SLC5A1;ATP1A3;UGT1A8;UGT2A3;SLC27A5;ATP1B2;AQP9;ABCB11;NR0B2;ATP1A2;SLCO1B1;ABCC3;ABCB1;CYP3A4;SLC9A3;CA2;SLC4A2;EPHX1;SLC9A1;ATP1A1;ATP1B3;ADCY4,0.9484198478618157,24/44,UGT2A1;SLC5A1;ATP1A3;CYP7A1;ABCG5;SLC22A8;ATP1B2;AQP9;ABCB11;SLC10A1;ATP1A2;SLCO1B1;ABCC3;ABCB1;AQP8;SLC9A3;SCT;SLC4A2;CA2;EPHX1;SLC9A1;ATP1A1;ATP1B3;ADCY4,44
Tryptophan metabolism,0.9573488503479812,9/20,CYP1A1;AFMID;EHHADH;ALDH7A1;CYP1B1;ALDH9A1;IL4I1;AADAT;ASMT,0.9944049017414348,8/20,CYP1A1;AFMID;EHHADH;CYP1B1;ALDH9A1;MAOA;INMT;AADAT,20
NOD-like receptor signaling pathway,0.9578669415873982,37/71,GBP2;RIPK3;IKBKE;GABARAP;NLRC4;CCL2;CAMP;STAT2;IRF3;NLRP3;DEFA4;DNM1L;RIPK1;RNASEL;IRF9;MAPK11;TRPV2;IL18;ATG16L1;TRAF2;ITPR3;CASP5;PSTPIP1;GSDMD;PYCARD;CCL5;TANK;CYBA;DEFA1;CARD6;IFNA8;TXN2;IFNA10;RBCK1;NFKBIA;NOD2;BIRC2,0.3879827139386903,48/71,GBP2;RIPK3;IKBKE;GABARAP;NLRC4;CCL2;PYDC1;CAMP;STAT2;IRF3;IFNAR1;NLRP6;CASR;NLRP3;DEFA4;DNM1L;RIPK1;RNASEL;IRF9;GBP7;MAPK11;TRPV2;IFNA14;ATG16L1;NFKBIB;IL18;TRAF2;IKBKG;NOD1;ITPR3;CASP5;IFNA21;NEK7;PSTPIP1;GSDMD;CCL5;GPRC6A;RNF31;TANK;CYBA;CARD6;ITPR2;TXN2;RBCK1;NFKBIA;NOD2;BIRC2;PLCB3,71
Rap1 signaling pathway,0.9578669415873982,37/71,ADORA2B;PARD3;NGFR;GNAI3;FARP2;LCP2;RAF1;FGF10;SIPA1;FPR1;INS;GNAI1;CALML6;F2RL3;SIPA1L2;MAPK11;RASSF5;FGF3;MAP2K2;FGF6;TEK;RASGRP3;BRAF;CSF1R;PRKCG;MAP2K6;FGFR2;FGF22;EPHA2;FGF17;CALML4;MAP2K1;ITGAM;AKT3;CTNND1;PFN3;ADCY4,0.6784735701915178,45/71,FGF8;NGFR;GNAI3;FARP2;LCP2;RAF1;FGF10;SIPA1;FPR1;INS;GNAI1;KRIT1;CALML6;F2RL3;NRAS;NGF;SIPA1L2;MAPK11;RASSF5;FGF3;FGF4;MAP2K2;TEK;RASGRP3;BRAF;CSF1R;PRKCG;FGF21;MAP2K6;FGFR2;FGF22;GNAQ;EPHA2;PIK3CB;FGF23;FGF17;EFNA4;MAP2K1;ITGAM;AKT3;CTNND1;PFN3;ADCY4;EGF;PLCB3,71
Cholesterol metabolism,0.9590622874106025,10/22,LPL;NPC2;APOA1;APOC2;APOA2;LCAT;OSBPL5;ABCB11;NPC1;CETP,0.4826901796133233,15/22,ANGPTL4;LIPC;LPL;APOC2;NPC2;LRP2;SOAT2;LCAT;OSBPL5;CYP7A1;ABCB11;CYP27A1;NPC1;ABCG5;CETP,22
Chagas disease,0.9647552019067072,20/41,IL12A;CCL2;IFNGR1;GNAI3;CALR;GNAI1;MAPK11;CD3G;IFNGR2;BDKRB2;TLR2;CCL5;PPP2R2B;FOS;TLR9;PPP2R2A;NFKBIA;MAP2K4;AKT3;TNFRSF1A,0.5386353737732861,27/41,IL12A;IL10;CCL2;IFNGR1;GNAI3;CALR;GNAI1;IL12B;MAPK11;CD3G;IFNGR2;BDKRB2;GNA15;IKBKG;CCL5;TGFB1;PPP2R2B;FOS;GNAQ;TLR9;PIK3CB;PPP2R2A;NFKBIA;MAP2K4;AKT3;TNFRSF1A;PLCB3,41
IL-17 signaling pathway,0.9669101380652054,21/43,MMP9;IKBKE;CCL2;IL17RB;IL17B;S100A8;MAPK11;MAPK4;IL17C;S100A7;TRAF2;CCL20;CCL17;IL17A;FOS;S100A9;IL17D;MMP1;CCL7;NFKBIA;MMP13,0.9962889760599194,20/43,MMP9;IKBKE;CCL2;IL17F;IL17RB;JUND;IL17B;S100A8;MAPK11;MAPK4;S100A7;TRAF2;IKBKG;FOS;S100A9;MMP1;CCL7;NFKBIA;MMP13;TRAF3IP2,43
Morphine addiction,0.9689335811793208,22/45,GABRR1;GRK6;GABBR2;GNG3;GABRP;GABRA3;GNAI3;PDE3B;GABRA6;KCNJ3;GNAI1;GNG8;GNG12;GNG5;PRKCG;PDE7B;GABRA5;PDE7A;KCNJ6;PDE2A;ADCY4;GABRG3,0.8856350236507268,26/45,GABRR1;GABBR2;GNG3;DRD1;GABRP;GABRA3;GNAI3;PDE3B;GNG13;KCNJ3;GNAI1;CACNA1A;PDE8A;GNG8;KCNJ9;GNG12;PDE3A;ADCY4;PRKCG;CACNA1B;PDE7B;GABRA5;PDE7A;KCNJ6;PDE2A;GNB3,45
TGF-beta signaling pathway,0.9698565202541751,16/34,RPS6KB2;FMOD;BAMBI;AMH;RGMB;TGIF2;SMURF2;AMHR2;BMP2;HAMP;GDF5;BMP8B;LEFTY1;RBX1;BMPR1B;GREM1,0.9519070917425649,18/34,BAMBI;FMOD;AMH;RGMB;LEFTY2;GREM1;TGIF2;AMHR2;HAMP;TGFB1;BMP8B;BMP6;LEFTY1;RBX1;BMPR1B;NODAL;INHBE;NEO1,34
