set,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes,Genes
Glioma,0.3109461249970621,0.9999978724542887,19/28,RAF1;AKT3;SHC3;CAMK4;CALML6;CALML4;ARAF;GADD45A;CAMK1D;GADD45G;PLCG2;DDB2;CAMK2D;E2F3;PRKCG;MAP2K2;BRAF;MAP2K1;E2F1,0.4305570966927388,0.9441683531405975,20/28,RAF1;AKT3;SHC3;CALML6;PIK3CA;ARAF;GADD45A;GADD45G;PLCG2;DDB2;NRAS;EGF;E2F3;BAK1;PRKCG;MAP2K2;PIK3CB;BRAF;MAP2K1;E2F1,28
Glucagon signaling pathway,0.9108724073209195,0.9999978724542887,26/49,PRKAB1;PFKM;AKT3;ITPR3;CREB3L1;PPP4C;PHKG1;FBP2;CALML6;CALML4;PPP3CC;CREB3;GYS1;LDHAL6A;CAMK2D;PHKA2;PRKAG1;GCK;CREB3L4;CPT1C;PRKAA1;PDHA1;FBP1;PDE3B;PYGM;GCGR,0.710084580033566,0.9999999908549448,32/49,PRKAB1;PFKM;PGAM2;AKT3;ITPR3;PDHB;LDHC;GNAQ;PPP4C;FBP2;PDHA2;CALML6;SIRT1;PPP3CC;PGAM1;GYS1;PFKP;LDHAL6A;PFKFB1;PHKA2;PRKAG1;GCK;CREB3L4;CPT1C;PRKAA1;PDHA1;FBP1;PDE3B;PYGM;SLC2A1;GCGR;G6PC3,49
Glutamatergic synapse,0.9855922982170633,0.9999978724542887,22/47,PLD2;ITPR3;GRM6;SLC17A7;GRIN3A;KCNJ3;PPP3CC;SLC1A7;PLA2G4A;SHANK3;ADCY4;GNG5;GNG8;GNAI3;GNAI1;GRIA1;GNG12;PRKCG;SLC1A6;GRM4;HOMER1;GNG3,0.9522024556871806,0.9999999908549448,27/47,PLD2;ITPR3;GNAQ;GRM6;SLC17A7;PLA2G4F;GRIN3A;KCNJ3;SHANK1;PPP3CC;GRM3;SLC1A7;PLA2G4A;SHANK3;ADCY4;GNG8;GNAI3;GNAI1;GRIA1;GNG12;PRKCG;SLC1A6;GRM4;GNGT2;GNG13;HOMER1;GNG3,47
Glutathione metabolism,0.20795109133623607,0.9999978724542887,25/36,GSS;GSR;GSTA4;RRM1;GPX3;G6PD;GSTM2;PRDX6;TXNDC12;GGCT;GSTA2;GCLM;CHAC1;GPX6;GSTA5;SRM;GSTO2;CHAC2;GSTK1;GPX4;RRM2B;GPX2;ODC1;GSTA3;GPX5,0.13566573406994079,0.6378669601884935,28/36,GSS;GSR;GSTA4;RRM1;GSTP1;MGST3;NAT8B;GPX3;G6PD;GSTM1;GSTM2;PRDX6;GGCT;GSTA2;NAT8;CHAC1;GPX6;LAP3;SRM;GSTO2;CHAC2;GPX1;GSTK1;GPX4;RRM2B;GPX2;ODC1;GSTA3,36
Glycerolipid metabolism,0.5845103291443143,0.9999978724542887,19/31,GLA;MBOAT1;LPIN3;PNPLA3;DGKH;LPL;GK;LPIN1;DGKQ;DGKB;DGKI;AGPAT1;ALDH9A1;MGLL;LIPF;MOGAT2;ALDH7A1;DGAT1;MOGAT1,0.9812709808569591,0.9999999908549448,16/31,LPL;GK;PNLIPRP1;LPIN1;GLA;DGKQ;MBOAT1;DGKH;DGKB;MGLL;GLYCTK;LPIN3;DGAT1;MOGAT1;AKR1B1;PNPLA3,31
Glycerophospholipid metabolism,0.8514516915076846,0.9999978724542887,19/35,PLD2;PLA2G12A;MBOAT1;PLA2G1B;PLA2G2A;LPIN3;PNPLA7;DGKH;PLA2G4A;PCYT1A;PLA2G10;LCAT;LPIN1;DGKQ;DGKB;DGKI;AGPAT1;PTDSS2;LPCAT3,0.9864241911025412,0.9999999908549448,18/35,PLA2G4F;LCAT;PLD2;PLA2G6;GNPAT;LPIN1;PTDSS2;DGKQ;PLA2G10;CHPT1;MBOAT1;DGKH;PLA2G2A;DGKB;LPIN3;PLA2G4A;LPCAT3;PNPLA7,35
"Glycine, serine and threonine metabolism",0.9054705021519751,0.9999978724542887,11/22,CHDH;AOC3;GNMT;PIPOX;GCSH;GATM;GAMT;SDSL;SRR;GCAT;ALDH7A1,0.11774593246221403,0.595394526412705,18/22,CHDH;PGAM2;DAO;GNMT;PIPOX;AOC3;AGXT;GCSH;DLD;GATM;MAOA;GAMT;DMGDH;SDSL;SRR;PGAM1;GLYCTK;GCAT,22
Glycolysis / Gluconeogenesis,0.7585240927198957,0.9999978724542887,20/35,PFKM;GPI;PGM1;GAPDHS;GAPDH;FBP2;ADH7;ADPGK;LDHAL6A;PGM2;ALDH7A1;GCK;MINPP1;PDHA1;ALDH3A1;FBP1;ALDH9A1;ADH1C;ALDOC;TPI1,0.40240079541299506,0.9139272302600226,25/35,PFKM;PGAM2;GPI;PDHB;LDHC;GAPDH;FBP2;PDHA2;ADPGK;ADH4;PGAM1;PFKP;LDHAL6A;ALDH3B2;PGM2;GCK;MINPP1;PDHA1;ALDH3A1;FBP1;DLD;ALDOC;G6PC3;TPI1;PGK2,35
Focal adhesion,0.5735305083666449,0.9999978724542887,44/72,MYL2;RAF1;AKT3;CAPN2;TNR;SHC3;LAMC3;ITGB5;COL6A3;PIP5K1B;COL4A4;MYLPF;FLNB;LAMB2;COL9A3;MYL7;BAD;PAK6;LAMB1;COL2A1;LAMA2;BIRC2;PPP1R12C;ITGA7;FLNC;MYLK2;COL9A2;ITGB6;PARVB;LAMA3;PRKCG;ITGA4;COL6A2;ITGA11;COL4A2;PARVG;ITGA6;BRAF;COL4A5;ITGB7;LAMB4;DOCK1;MAP2K1;ITGA8,0.6413779113870726,0.9999999908549448,48/72,MYL2;RAF1;AKT3;LAMA5;TNR;SHC3;LAMC3;COL4A3;PIK3CA;ITGB5;COL6A3;PIP5K1B;COL4A4;CHAD;FLNB;LAMB2;COL9A3;MYL7;BAD;EGF;THBS4;PAK6;COL2A1;LAMA2;ITGA10;BIRC2;PPP1R12C;ITGA7;FLNC;MYLK2;COL9A2;ITGB6;PARVB;LAMA3;PRKCG;ITGA4;ITGA11;COL4A2;PARVG;PIK3CB;ITGA6;BRAF;ITGB7;TNN;LAMB4;DOCK1;MAP2K1;ITGA8,72
FoxO signaling pathway,0.8972454023441689,0.9999978724542887,24/45,PRKAB1;RAF1;AKT3;PLK2;GABARAP;ARAF;GADD45A;GADD45G;INS;SGK3;IL7R;IRS1;RAG2;CCNB3;SGK1;HOMER1;PRKAG1;PRKAA1;MAP2K2;MAPK11;BRAF;S1PR1;MAP2K1;CCNB2,0.05245271107120992,0.40163790191669313,36/45,PRKAB1;SOD2;RAF1;AKT3;PLK2;NLK;PIK3CA;SIRT1;GABARAP;ARAF;GADD45A;IL10;GADD45G;INS;IRS4;NRAS;SGK3;IL7R;IRS1;EGF;BNIP3;RAG2;CCNB3;SGK1;HOMER1;PRKAG1;PRKAA1;MAP2K2;PIK3CB;MAPK11;BRAF;S1PR1;TGFB1;G6PC3;MAP2K1;CCNB2,45
